name,rating,rating_count,types,address,region_level_1,phone,website,weighted_score
Myeongdong Kyoja Main Restaurant,4.2,13470,"[dumpling_restaurant, kalguksu_restaurant, korean_restaurant]","29 Myeongdong 10-gil, Jung District, Seoul, South Korea",Seoul,+82 2-776-5348,http://www.mdkj.co.kr/,56574
Tosokchon Samgyetang,4.2,11409,"[samgyetang_restaurant, restaurant]","5 Jahamun-ro 5-gil, Jongno District, Seoul, South Korea",Seoul,+82 2-737-7444,http://tosokchon.com/,47917.8
Ujin Haejangguk,4.1,9214,"[korean_restaurant, hangover_soup_restaurant]","11 Seosa-ro, 특별자치도, Jeju-si, Jeju-do, South Korea",Jeju-do,+82 64-757-3393,,37777.4
Ungteori Myeongdong Korean BBQ Restaurant | All you can eat | BUFFET | kbbq | 明洞 サムギョプサル 明洞美食 明洞五花肉 l AYCE 명동 엉터리생고기 무한리필,4.8,7070,"[korean_barbecue_restaurant, barbecue_restaurant, barbecue_spots, korean_beef_restaurant, korean_restaurant, meat_buffet_restaurant, pork_belly_barbeque_restaurant, restaurant, wok_restaurant]","South Korea, Seoul, Jung District, 4길 23 2층",Seoul,+82 10-9511-0020,http://www.ungteori.com/,33936
Gozip Dol Wooluck Jungmun,4.7,6683,[fish_restaurant],"879 Iljuseo-ro, 특별자치도 Seogwipo-si, Jeju-do, South Korea",Jeju-do,+82 64-738-1540,https://www.gozipfish.com/,31410.1
"Geumsubokguk, Haeundae Head Store",4.2,7394,[fugu_restaurant],"23 Jungdong 1-ro 43beon-gil, Haeundae-gu, Busan, South Korea",Busan,+82 51-742-3600,,31054.8
"Ssada Gimbab, Myeongdong Station",4.9,5854,[korean_restaurant],"26 Myeongdong 8ga-gil, Jung District, Seoul, South Korea",Seoul,+82 2-318-1153,https://www.youtube.com/%40mss.rollitup,28684.6
Pizzeria O,4.8,5759,"[pizza_restaurant, italian_restaurant, spaghetti_restaurant]","86 Dongsung-gil, Jongno District, Seoul, South Korea",Seoul,+82 2-3673-5005,http://pizzeriao.com/,27643.2
Wangbijip Myeongdong Main store,4.7,5864,"[korean_barbecue_restaurant, barbecue_restaurant, korean_beef_restaurant, meat_restaurant, restaurant]","26 Myeongdong 8ga-gil, Jung District, Seoul, South Korea",Seoul,+82 2-3789-1945,https://www.instagram.com/wangbijib_official%3Figsh%3DMTBhZHVzcTRtNG83MA%3D%3D,27560.8
Woo Lae Oak,4.2,6305,[cold_noodle_restaurant],"62-29 Changgyeonggung-ro, Jung District, Seoul, South Korea",Seoul,+82 2-2265-0151,,26481
MUTAN COEX,4.9,5144,"[chinese_restaurant, fine_dining_restaurant, restaurant]","South Korea, Seoul, Gangnam District, Yeongdong-daero, 513 코엑스몰 B1층 H121호",Seoul,+82 2-551-7774,,25205.6
Joongang Haejang,4.3,5654,[korean_restaurant],"17 Yeongdong-daero 86-gil, Gangnam District, Seoul, South Korea",Seoul,+82 2-558-7905,http://www.joongangfnb.com/,24312.2
Somunnan Seongsu Gamjatang (Pork Bone Soup),4.1,5622,[korean_restaurant],"45 Yeonmujang-gil, Seongdong-gu, Seoul, South Korea",Seoul,+82 2-465-6580,,23050.2
합천일류돼지국밥,4.1,5139,"[pork_rice_soup_restaurant, korean_restaurant]","34 Gwangjang-ro, Sasang-gu, Busan, South Korea",Busan,+82 51-317-2478,,21069.9
Myeongjin Jeonbok Abalone Restaurant,4.1,5119,[seafood_restaurant],"1282 Haemajihaean-ro, Gujwa-eup, Jeju-si, Jeju-do, South Korea",Jeju-do,+82 64-782-9944,,20987.9
Gozip Dol Wooluck,4.6,4403,[korean_restaurant],"30 Imhang-ro, 특별자치도, Jeju-si, Jeju-do, South Korea",Jeju-do,+82 50-71436-1008,https://www.instagram.com/gozip_airport/,20253.8
Odarijip Ganjang Gejang,4.7,4266,"[crab_dish_restaurant, korean_restaurant, restaurant]","2F, 28 Myeongdong 8na-gil, Jung District, Seoul, South Korea",Seoul,+82 10-8487-3663,http://www.odarijip.com/,20050.2
Wangbijib Myeongdong Center store,4.8,4060,"[korean_barbecue_restaurant, barbecue_restaurant, korean_beef_restaurant, korean_rib_restaurant, meat_restaurant, pork_belly_barbeque_restaurant, restaurant]","45 Myeongdong 8na-gil, Jung District, Seoul, South Korea",Seoul,+82 2-776-2361,https://youtu.be/DvYl5s8Tjx8,19488
Bonjeon Dwaeji Gukbap,4.1,4572,[pork_rice_soup_restaurant],"3-8 Jungang-daero 214beon-gil, Dong-gu, Busan, South Korea",Busan,+82 51-441-2946,,18745.2
Eulmildae,4.2,4378,[cold_noodle_restaurant],"24 Sungmun-gil, Mapo-gu, Seoul, South Korea",Seoul,+82 2-717-1922,,18387.6
Ollae Guksu,4.1,4389,[noodle_shop],"24 Gwiarang-gil, 특별자치도, Jeju-si, Jeju-do, South Korea",Jeju-do,+82 64-742-7355,,17994.9
"Lee Jae Mo Pizza, Busan Headstore",4.4,4069,"[pizza_restaurant, western_restaurant]","31 Gwangbokjungang-ro, Jung-gu, Busan, South Korea",Busan,+82 51-245-1478,,17903.6
ungteori saenggogi - Hongdae (Korean bbq restaurant),4.8,3689,"[korean_barbecue_restaurant, barbecue_restaurant, barbecue_spots, korean_beef_restaurant, korean_restaurant, meat_buffet_restaurant, pork_belly_barbeque_restaurant, restaurant]","118 Eoulmadang-ro, Mapo-gu, Seoul, South Korea",Seoul,+82 2-324-9588,http://www.ungteori.com/,17707.2
PLE:EATING Terminal 2 Food Court,4.1,4283,[food_court],"272 Gonghang-ro, Jung-gu, Incheon, South Korea",Incheon,+82 1577-2600,,17560.3
일편등심 명동점 | Myeongdong Beef Korean BBQ restaurant kbbq Beef | 焼き肉 焼肉 グルメ レストラン| 烤肉美食餐廳 一片里脊 明洞店,4.9,3538,"[korean_beef_restaurant, barbecue_restaurant, fine_dining_restaurant, korean_barbecue_restaurant, korean_restaurant, meat_restaurant, restaurant]","South Korea, Seoul, Jung District, Myeongdong 10-gil, 18 KR 서울특별시 중구 명동2가 32-17 3층",Seoul,+82 2-6092-1092,https://g.page/r/CbB8IuZbskO1EAE/review,17336.2
Myeongdong Kyoja Branch,4.2,4063,"[kalguksu_restaurant, korean_restaurant, noodle_shop, steamed_bun_shop]","10 Myeongdong 10-gil, Seoul, South Korea",Seoul,+82 2-776-3424,http://www.mdkj.co.kr/,17064.6
Wangbijib Myeongdong 2nd store,4.8,3506,[korean_barbecue_restaurant],"13 Myeongdong 9-gil, Jung District, Seoul, South Korea",Seoul,+82 2-3789-1946,http://naver.me/5Q4WOwhI,16828.8
함경도찹쌀순대,4.2,4005,[soondae_restaurant],"32 Songpa-daero 28-gil, Songpa District, Seoul, South Korea",Seoul,+82 2-403-8822,,16821
Wangbijib Myeongdong Yukho(왕비집 육호점),4.8,3470,[korean_barbecue_restaurant],"64 Namdaemun-ro, Jung District, Seoul, South Korea",Seoul,+82 2-3789-1544,https://www.instagram.com/wangbijib_official%3Figsh%3DMTBhZHVzcTRtNG83MA%3D%3D,16656
Mugyo-dong Bugeo-guk,4.5,3698,[korean_restaurant],"38 Eulji-ro 1-gil, Jung District, Seoul, South Korea",Seoul,+82 2-777-3891,,16641
Myeongdong Korean BBQ restaurant Beef All You Can Eat Mongvely,4.9,3343,"[korean_barbecue_restaurant, korean_beef_restaurant, meat_buffet_restaurant, restaurant]","South Korea, Seoul, Jung District, Myeongdong 8na-gil, 9 3층",Seoul,+82 2-318-2688,/sites.google.com/view/korean-bbq-restaurant-mongvely/,16380.7
Hwanggeum Mokjang(Main Branch),4.8,3270,[korean_beef_restaurant],"6 Myeongdong 8na-gil, Jung District, Seoul, South Korea",Seoul,+82 2-753-3536,http://mgoldfarm.modoo.at/,15696
Vatos Itaewon,4.3,3613,[mexican_restaurant],"1 Itaewon-ro 15-gil, Yongsan District, Seoul, South Korea",Seoul,+82 2-797-8226,http://www.vatoskorea.com/,15535.9
Jinju House,4.2,3633,[noodle_shop],"South Korea, Seoul, Yeongdeungpo District, Gukjegeumyung-ro 6-gil, 33 지하 1층",Seoul,+82 2-780-6108,,15258.6
양자강,4.7,3209,[chinese_restaurant],"494 Yongyuseo-ro, Jung-gu, Incheon, South Korea",Incheon,+82 32-746-2666,https://m.place.naver.com/restaurant/20243525,15082.3
MUTAN Apgujeong Main Store(restaurants),4.8,3117,"[chinese_restaurant, fine_dining_restaurant, restaurant]","22 Nonhyeon-ro 176-gil, Gangnam District, Seoul, South Korea",Seoul,+82 2-549-9339,,14961.6
Yookji Hongdae,4.9,3000,"[korean_barbecue_restaurant, restaurant]","34 Dongmak-ro 3-gil, Seoul, South Korea",Seoul,+82 2-2088-3905,,14700
CHUNSHIM,4.2,3493,[fish_restaurant],"16 Changcheonjungang-ro 24beon-gil, Andeok-myeon, Seogwipo-si, Jeju-do, South Korea",Jeju-do,+82 64-794-4010,https://www.instagram.com/chunsim_official/,14670.6
