sic_4_digit,sic_2_digit
-1,-1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,2
34,2
35,2
36,2
37,3
38,3
39,3
40,3
41,5
42,5
43,6
44,6
45,7
46,7
47,7
48,8
49,8
50,8
51,8
52,8
53,8
54,9
55,9
56,10
57,10
58,10
59,10
60,10
61,10
62,10
63,10
64,10
65,10
66,10
67,10
68,10
69,10
70,10
71,10
72,10
73,10
74,10
75,10
76,10
77,10
78,10
79,10
80,10
81,11
82,11
83,11
84,11
85,11
86,11
87,11
88,12
89,13
90,13
91,13
92,13
93,13
94,13
95,13
96,13
97,13
98,13
99,14
100,14
101,14
102,14
103,14
104,14
105,14
106,14
107,15
108,15
109,15
110,16
111,16
112,16
113,16
114,16
115,16
116,17
117,17
118,17
119,17
120,17
121,17
122,17
123,18
124,18
125,18
126,18
127,18
128,19
129,19
130,20
131,20
132,20
133,20
134,20
135,20
136,20
137,20
138,20
139,20
140,20
141,20
142,20
143,20
144,20
145,20
146,21
147,21
148,22
149,22
150,22
151,22
152,22
153,22
154,23
155,23
156,23
157,23
158,23
159,23
160,23
161,23
162,23
163,23
164,23
165,23
166,23
167,23
168,23
169,23
170,23
171,23
172,23
173,23
174,23
175,23
176,23
177,23
178,24
179,24
180,24
181,24
182,24
183,24
184,24
185,24
186,24
187,24
188,24
189,24
190,24
191,24
192,24
193,24
194,25
195,25
196,25
197,25
198,25
199,25
200,25
201,25
202,25
203,25
204,25
205,25
206,25
207,25
208,25
209,25
210,25
211,26
212,26
213,26
214,26
215,26
216,26
217,26
218,26
219,26
220,26
221,27
222,27
223,27
224,27
225,27
226,27
227,27
228,27
229,27
230,27
231,28
232,28
233,28
234,28
235,28
236,28
237,28
238,28
239,28
240,28
241,28
242,28
243,28
244,28
245,28
246,28
247,28
248,28
249,28
250,28
251,28
252,29
253,29
254,29
255,29
256,30
257,30
258,30
259,30
260,30
261,30
262,30
263,30
264,31
265,31
266,31
267,31
268,32
269,32
270,32
271,32
272,32
273,32
274,32
275,32
276,32
277,33
278,33
279,33
280,33
281,33
282,33
283,33
284,33
285,33
286,35
287,35
288,35
289,35
290,35
291,35
292,35
293,35
294,36
295,37
296,38
297,38
298,38
299,38
300,38
301,38
302,39
303,41
304,41
305,42
306,42
307,42
308,42
309,42
310,42
311,42
312,43
313,43
314,43
315,43
316,43
317,43
318,43
319,43
320,43
321,43
322,43
323,43
324,43
325,45
326,45
327,45
328,45
329,45
330,45
331,46
332,46
333,46
334,46
335,46
336,46
337,46
338,46
339,46
340,46
341,46
342,46
343,46
344,46
345,46
346,46
347,46
348,46
349,46
350,46
351,46
352,46
353,46
354,46
355,46
356,46
357,46
358,46
359,46
360,46
361,46
362,46
363,46
364,46
365,46
366,46
367,46
368,46
369,46
370,46
371,46
372,46
373,46
374,46
375,46
376,46
377,46
378,46
379,47
380,47
381,47
382,47
383,47
384,47
385,47
386,47
387,47
388,47
389,47
390,47
391,47
392,47
393,47
394,47
395,47
396,47
397,47
398,47
399,47
400,47
401,47
402,47
403,47
404,47
405,47
406,47
407,47
408,47
409,47
410,47
411,47
412,47
413,47
414,47
415,47
416,49
417,49
418,49
419,49
420,49
421,49
422,49
423,49
424,50
425,50
426,50
427,50
428,51
429,51
430,51
431,52
432,52
433,52
434,52
435,52
436,52
437,53
438,53
439,55
440,55
441,55
442,55
443,56
444,56
445,56
446,56
447,58
448,58
449,58
450,58
451,58
452,58
453,58
454,59
455,59
456,59
457,59
458,59
459,60
460,60
461,61
462,61
463,61
464,61
465,62
466,62
467,62
468,62
469,63
470,63
471,63
472,63
473,64
474,64
475,64
476,64
477,64
478,64
479,64
480,65
481,65
482,65
483,65
484,66
485,66
486,66
487,66
488,66
489,66
490,66
491,68
492,68
493,68
494,68
495,69
496,69
497,70
498,70
499,70
500,71
501,71
502,71
503,72
504,72
505,72
506,73
507,73
508,73
509,74
510,74
511,74
512,74
513,75
514,77
515,77
516,77
517,77
518,77
519,77
520,77
521,77
522,77
523,77
524,77
525,77
526,78
527,78
528,78
529,79
530,79
531,79
532,80
533,80
534,80
535,81
536,81
537,81
538,81
539,81
540,82
541,82
542,82
543,82
544,82
545,82
546,82
547,84
548,84
549,84
550,84
551,84
552,84
553,84
554,84
555,84
556,85
557,85
558,85
559,85
560,85
561,85
562,85
563,85
564,85
565,85
566,85
567,86
568,86
569,86
570,86
571,86
572,87
573,87
574,87
575,87
576,88
577,88
578,88
579,90
580,90
581,90
582,90
583,91
584,91
585,91
586,91
587,92
588,93
589,93
590,93
591,93
592,93
593,93
594,94
595,94
596,94
597,94
598,94
599,94
600,95
601,95
602,95
603,95
604,95
605,95
606,95
607,95
608,96
609,96
610,96
611,96
612,96
613,97
614,98
615,98
616,99
