Variable,Description
basmid,unique child identifier
path,d-questionnaire path
qtype,d-survey path
grade,e1. grade attending
scpubpri,e2. type of school
distassi,e3. district-assigned school
schrtschl,e4. charter school
sneighbrx,e5. move to attend school
spubchoix,e6. choice of public school
sconsidr,e7. other schools considered
sperform,e8. seek information on school performance
s1stchoi,e9. first choice school
ssamsc,e10. same school since beginning of school year
smvmth,e11. month started current school
seenjoy,e12. child enjoyment of school
segrades,e13. child's grades
seadplcxx,e14. advanced placement enrollment
sebehavx,e15. times contacted about behavior problems
seschwrk,e15. times contacted about problems with school work
segbehav,e15. times contacted about very good behavior
segwork,e15. times contacted about very good school work
seabsnt,e16. days absent
serepeat,e17. grades repeated
sereptk,e18. which grades repeated -k
serept1,e18. which grades repeated -1
serept2,e18. which grades repeated -2
serept3,e18. which grades repeated -3
serept4,e18. which grades repeated -4
serept5,e18. which grades repeated -5
serept6,e18. which grades repeated -6
serept7,e18. which grades repeated -7
serept8,e18. which grades repeated -8
serept9,e18. which grades repeated -9
serept10,e18. which grades repeated -10
serept11,e18. which grades repeated -11
serept12,e18. which grades repeated -12
sesusout,e19. out of school suspension
sesuspin,e19. in school suspension
seexpel,e19. expelled
sefuturex,e20. expectations for child's future education
segradeq,e21. description of school work
snetcrsx,e22. internet instruction
spbsch,e23. internet instruction provided by - local public
sstate,e23. internet instruction provided by - state
schrtr,e23. internet instruction provided by - charter
sapbsch,e23. internet instruction provided by - other public
sprivsch,e23. internet instruction provided by - private
sunivsch,e23. internet instruction provided by - college
sothsch,e23. internet instruction provided by - other
sinstfee,e24. fee for instruction
homeschlx,e25. homeschooled for some classes or subjects
hmscharr,e26. how much homeschooling
fssportx,e30. attend a school event
fsvol,e30. serve as a volunteer
fsmtng,e30. attend a school meeting
fsptmtng,e30. attend a parent-teacher organization meeting
fsatcnfn,e30. attend parent-teacher conference
fsfundrs,e30. participate in fundraising
fscommte,e30. serve on school committee
fscounslr,e30. meet with guidance counselor
fsfreq,e31. times participated in school meetings
fsnotesx,e32. receive notes or emails
fsmemo,e32. receive newsletters
fsphonchx,e32. receive phone calls
fsspperf,e33. school provides child progress between report
fssphw,e33. school provides information on homework help
fsspcour,e33. school provides information on class placement
fssprole,e33. school provides information on your expected
fsspcoll,e33. school provides information on college
fcschool,e34. satisfaction with schools
fcteachr,e34. satisfaction with teachers
fcstds,e34. satisfaction with academic standards
fcorder,e34. satisfaction with discipline
fcsupprt,e34. satisfaction with school staff/parent
fhhome,e35. time spent doing homework
fhwkhrs,e36. hours spent doing homework
fhamount,e37. adult's feelings about amount of homework
fhcamt,e38. child's feelings about amount of homework
fhplace,e39. place at home to do homework
fhcheckx,e40. check for homework completion
fhhelp,e41. days help with homework
hswhox,h1. person providing homeschool instruction
hstutor,h2. homeschool instruction by tutor
hscoop,h3. homeschool instruction by homeschool group
hscoll,h4. homeschool instruction at public or private
hspublic,h5. homeschool type of school - public
hsprivate,h5. homeschool type of school - private
hscollege,h5. homeschool type of school - college
hsschr,e27/h6. hours spent in public or private school
gradeeq,h7. homeschool grade - equivalent k-12
hsdays,h8. days a week homeschooled
hshours,h8. hours a week homeschooled
hskactiv,h9. participated in activities while homeschooled
hsstyl,h10. homeschool teaching style
hsclibrx,h11. homeschool curriculum source - library
hschspubx,h11. homeschool curriculum source - homeschool
hscedpubx,h11. homeschool curriculum source - educational
hscorgx,h11. homeschool curriculum source - homeschooling
hscchurx,h11. homeschool curriculum source - church
hscpublx,h11. homeschool curriculum source - public school
hscprivx,h11. homeschool curriculum source - private school
hscrelx,h11. homeschool curriculum source - bookstore
hscnetx,h11. homeschool curriculum source - websites
hscoth,h11. homeschool curriculum source - other source
hscvtlcr,h11. homeschool curriculum source - virtual school
hscours,h12. family member courses taken for homeschool
hsintnet,h13. internet homeschool instruction
hsintpub,h14. homeschool instruction provided by - local
hsintst,h14. homeschool instruction provided by - state
hsintch,h14. homeschool instruction provided by - charter
hsintapb,h14. homeschool instruction provided by - another
hsintpri,h14. homeschool instruction provided by - private
hsintcol,h14. homeschool instruction provided by - college
hsintoh,h14. homeschool instruction provided by - someplace
hsfee,h15. fee charged for homeschool instruction
homekx,h16. homeschooled in kindergarten
home1,h16. homeschooled in first grade
home2,h16. homeschooled in second grade
home3,h16. homeschooled in third grade
home4,h16. homeschooled in fourth grade
home5,h16. homeschooled in fifth grade
home6,h16. homeschooled in sixth grade
home7,h16. homeschooled in seventh grade
home8,h16. homeschooled in eighth grade
home9,h16. homeschooled in ninth grade
home10,h16. homeschooled in tenth grade
home11,h16. homeschooled in eleventh grade
home12,h16. homeschooled in twelfth grade
hssafetyx,e28/h17. why homeschool - peer pressure
hsdissatx,e28/h17. why homeschool - dissatisfied with
hsrelgon,e28/h17. why homeschool - religious instruction
hsmoral,e28/h17. why homeschool - moral instruction
hsdisablx,e28/h17. why homeschool - health problem
hsillx,e28/h17. why homeschool - temporary illness
hsspclndx,e28/h17. why homeschool - special needs
hsaltx,e28/h17. why homeschool - nontraditional education
hsotherx,e28/h17. why homeschool - other
hsmostx,e29/h18. why homeschool - most important reason
hsfuturex,h19. expectations for child's homeschool education
hsart,h20. homeschool subject areas taught - art
hsmusic,h20. homeschool subject areas taught - music
hsarith,h20. homeschool subject areas taught - arithmetic
hsalg1,h20. homeschool subject areas taught - algebra
hsalg2,h20. homeschool subject areas taught - algebra ii
hsgeom,h20. homeschool subject areas taught - geometry
hscalc,h20. homeschool subject areas taught - calculus
hsprob,h20. homeschool subject areas taught - probability
hsscien,h20. homeschool subject areas taught - scientific
hsgeol,h20. homeschool subject areas taught - earth science
hsbiol,h20. homeschool subject areas taught - biology
hschem,h20. homeschool subject areas taught - chemistry
hsgeog,h20. homeschool subject areas taught - geography
hsread,h20. homeschool subject areas taught - reading
hsspell,h20. homeschool subject areas taught - spelling
hsengl,h20. homeschool subject areas taught - english
hscomsci,h20. homeschool subject areas taught - computer
hshist,h20. homeschool subject areas taught - social studies
hsfolang,h20. homeschool subject areas taught - foreign
hsphyed,h20. homeschool subject areas taught - physical
hshealth,h20 homeschool subject areas taught - health
hsnart,h21. subject areas taught now - art
hsnmusic,h21. subject areas taught now - music
hsnarith,h21. subject areas taught now - arithmetic
hsnalg1,h21. subject areas taught now - algebra
hsnalg2,h21. subject areas taught now - algebra ii
hsngeom,h21. subject areas taught now - geometry
hsncalc,h21. subject areas taught now - calculus
hsnprob,h21. subject areas taught now - probability
hsnscien,h21. subject areas taught now - scientific inquiry
hsngeol,h21. subject areas taught now - earth science
hsnbiol,h21. subject areas taught now - biology
hsnchem,h21. subject areas taught now - chemistry
hsngeog,h21. subject areas taught now - geography
