Variable,Description
aialanga,language of the mec acasi interview instrument
dmdborn4,in what country {were you/was sp} born?
dmdcitzn,{are you/is sp} a citizen of the united states? [information about citizenship is being collected by the u.s. public health service to perform health related research. providing this information is voluntary and is collected under the authority of the public health service act. there will be no effect on pending immigration or citizenship petitions.]
dmdeduc2,what is the highest grade or level of school {you have/sp has} completed or the highest degree {you have/s/he has} received?
dmdeduc3,what is the highest grade or level of school {you have/sp has} completed or the highest degree {you have/s/he has} received?
dmdfmsiz,total number of people in the family
dmdhhsiz,total number of people in the household
dmdhhsza,number of children aged 5 years or younger in the household
dmdhhszb,number of children aged 6-17 years old in the household
dmdhhsze,number of adults aged 60 years or older in the household
dmdhrage,hh reference person's age in years
dmdhrbr4,hh reference person's country of birth
dmdhredu,hh reference person's education level
dmdhrgnd,hh reference person's gender
dmdhrmar,hh reference person's marital status
dmdhsedu,hh reference person's spouse's education level
dmdmartl,marital status
dmdyrsus,length of time the participant has been in the us.
dmqadfc,"did {you/sp} ever serve in a foreign country during a time of armed conflict or on a humanitarian or peace-keeping mission? (this would include national guard or reserve or active duty monitoring or conducting peace keeping operations in bosnia and kosovo, in the sinai between egypt and israel, or in response to the 2004 tsunami or haiti in 2010.)"
dmqmiliz,"{have you/has sp} ever served on active duty in the u.s. armed forces, military reserves, or national guard? (active duty does not include training for the reserves or national guard, but does include activation, for service in the u.s. or in a foreign country, in support of military or humanitarian operations.)"
fiaintrp,was an interpreter used to conduct the family interview?
fialang,language of the family interview instrument
fiaproxy,was a proxy respondent used in conducting the family interview?
indfmin2,total family income (reported as a range value in dollars)
indfmpir,a ratio of family income to poverty guidelines.
indhhin2,total household income (reported as a range value in dollars)
miaintrp,was an interpreter used to conduct the mec capi interview?
mialang,language of the mec capi interview instrument
miaproxy,was a proxy respondent used in conducting the mec capi interview?
riagendr,gender of the participant.
ridagemn,age in months of the participant at the time of screening. reported for persons aged 24 months or younger at the time of exam (or screening if not examined).
ridageyr,age in years of the participant at the time of screening. individuals 80 and over are topcoded at 80 years of age.
ridexagm,age in months of the participant at the time of examination. reported for persons aged 19 years or younger at the time of examination.
ridexmon,"six month time period when the examination was performed - two categories: november 1 through april 30, may 1 through october 31."
ridexprg,pregnancy status for females between 20 and 44 years of age at the time of mec exam.
ridreth1,recode of reported race and hispanic origin information
ridreth3,"recode of reported race and hispanic origin information, with non-hispanic asian category"
ridstatr,interview and examination status of the participant.
sddsrvyr,data release cycle
sdmvpsu,masked variance unit pseudo-psu variable for variance estimation
sdmvstra,masked variance unit pseudo-stratum variable for variance estimation
seqn,respondent sequence number.
siaintrp,was an interpreter used to conduct the sample person (sp) interview?
sialang,language of the sample person interview instrument
siaproxy,was a proxy respondent used in conducting the sample person (sp) interview?
wtint2yr,full sample 2 year interview weight.
wtmec2yr,full sample 2 year mec exam weight.
