Variable,Description
caseid,case identification number
lst,state abbreviations
mhintake,offers mental health intake services (q.a1)
mhdiageval,offers mental health diagnostic evaluation (q.a1)
mhreferral,offers mental health information and referral services (q.a1)
smisedsud,offered co-occurring smi/sed and sud (q.a1)
treatmt,offers substance abuse treatment services (q.a1)
adminserv,offers administrative services (q.a1)
settingip,24-hour hospital inpatient (q.a3)
settingrc,24-hour residential (q.a3)
settingdtph,partial hospitalization/day treatment (q.a3)
settingop,outpatient (q.a3)
facilitytype,facility type (q.a4)
focus,primary focus (q.a7)
ownershp,ownership (q.a9)
publicagency,public agency or department (q.a9a)
relig,facility is affiliated with a religious organization (q.a10)
treatpsychothrpy,individual psychotherapy (q.a11)
treatfamthrpy,couples/family therapy (q.a11)
treatgrpthrpy,group therapy (q.a11)
treatcogthrpy,cognitive behavioral therapy (q.a11)
treatdialthrpy,dialectical behavior therapy (q.a11)
treatcogrem,facility provides cognitive remediation therapy (q.a12)
treatbehavmod,behavior modification (q.a11)
treatdualmhsa,integrated dual disorders treatment (q.a11)
treattraumathrpy,trauma therapy (q.a11)
treatactvtythrpy,activity therapy (q.a11)
treatelectro,electroconvulsive therapy (q.a11)
treattms,facility provides transcranial magnetic stimulation (tms) (q.a12)
treatkit,facility provides ketamine infusion therapy (kit) (q.a12)
treatemdr,facility provides eye movement desensitization and reprocessing (emdr) (q.a12)
treattelemedince,telemedicine therapy (q.a11)
treatoth,other (q.a11)
notreat,none of these mental health treatment approaches are offered (q.a11)
antipsych,antipsychotics for the treatment of serious mental illness (smi) (q.a13)
chlor_no,chlorpromazine not used at this facility for treatment of smi (q.a13a)
chlor_oral,oral chlorpromazine used at this facility for treatment of smi (q.a13a)
chlor_inj,injectable chlorpromazine used at this facility for treatment of smi (q.a13a)
chlor_rec,rectal chlorpromazine used at this facility for treatment of smi (q.a13a)
drope_no,droperidol not used at this facility for treatment of smi (q.a13a)
drope_inj,injectable droperidol used at this facility for treatment of smi (q.a13a)
fluph_no,fluphenazine not used at this facility for treatment of smi (q.a13a)
fluph_oral,oral fluphenazine used at this facility for treatment of smi (q.a13a)
fluph_inj,injectable fluphenazine used at this facility for treatment of smi (q.a13a)
fluph_lai,long-acting injectable fluphenazine used at this facility for treatment of smi (q.a13a)
halop_no,haloperidol not used at this facility for treatment of smi (q.a13a)
halop_oral,oral haloperidol used at this facility for treatment of smi (q.a13a)
halop_inj,injectable haloperidol used at this facility for treatment of smi (q.a13a)
halop_lai,long-acting injectable haloperidol used at this facility for treatment of smi (q.a13a)
loxap_no,loxapine not used at this facility for treatment of smi (q.a13a)
loxap_oral,oral loxapine used at this facility for treatment of smi (q.a13a)
loxap_inj,injectable loxapine used at this facility for treatment of smi (q.a13a)
perph_no,perphenazine not used at this facility for treatment of smi (q.a13a)
perph_oral,oral perphenazine used at this facility for treatment of smi (q.a13a)
perph_inj,injectable perphenazine used at this facility for treatment of smi (q.a13a)
pimoz_no,pimozide not used at this facility for treatment of smi (q.a13a)
pimoz_oral,oral pimozide used at this facility for treatment of smi (q.a13a)
pimoz_top,topical pimozide used at this facility for treatment of smi (q.a13a)
proch_no,prochlorperazine not used at this facility for treatment of smi (q.a13a)
proch_oral,oral prochlorperazine used at this facility for treatment of smi (q.a13a)
proch_inj,injectable prochlorperazine used at this facility for treatment of smi (q.a13a)
proch_rec,rectal prochlorperazine used at this facility for treatment of smi (q.a13a)
thiot_no,thiothixene not used at this facility for treatment of smi (q.a13a)
thiot_oral,oral thiothixene used at this facility for treatment of smi (q.a13a)
thiot_inj,injectable thiothixene used at this facility for treatment of smi (q.a13a)
thior_no,thioridazine not used at this facility for treatment of smi (q.a13a)
thior_oral,oral thioridazine used at this facility for treatment of smi (q.a13a)
trifl_no,trifluoperazine not used at this facility for treatment of smi (q.a13a)
trifl_oral,oral trifluoperazine used at this facility for treatment of smi (q.a13a)
trifl_inj,injectable trifluoperazine used at this facility for treatment of smi (q.a13a)
fstgenoth_no,other first-generation antipsychotics not used at this facility for treatment of smi (q.a13a)
fstgenoth_oral,other oral first-generation antipsychotics used at this facility for treatment of smi (q.a13a)
fstgenoth_inj,other injectable first-generation antipsychotics used at this facility for treatment of smi (q.a13a)
fstgenoth_lai,other long-acting injectable first-generation antipsychotics used at this facility for treatment of smi (q.a13a)
fstgenoth_rec,other rectal first-generation antipsychotics used at this facility for treatment of smi (q.a13a)
fstgenoth_top,other topical first-generation antipsychotics used at this facility for treatment of smi (q.a13a)
aripi_no,aripiprazole not used at this facility for treatment of smi (q.a13a)
