Variable,Description,,,,,,,,,,
questid2,respondent identification,,,,,,,,,,
filedate,creation date of the data file,,,,,,,,,,
analwt2_c,fin prsn-level smple wght 2,,,,,,,,,,
vestr_c,variance stratum,,,,,,,,,,
verep,variance primary sampling unit,,,,,,,,,,
pden10,population density 2010 - three levels,,,,,,,,,,
coutyp4,county metro/nonmetro status (2013 3-level),,,,,,,,,,
maiin102,majority amer indian area indicator for segment,,,,,,,,,,
aiind102,amer indian area indicator,,,,,,,,,,
age3,recode - final edited age,,,,,,,,,,
nomarr2,number of times married,,,,,,,,,,
service,ever been in the us armed forces,,,,,,,,,,
milstat,current military status,,,,,,,,,,
actdever,ever on active duty in us military/reserv,,,,,,,,,,
actd2001,september 2001 or later,,,,,,,,,,
actd9001,aug 1990 to aug 2001 (including persian gulf war),,,,,,,,,,
actd7590,may 1975 to july 1990,,,,,,,,,,
actdviet,vietnam era (march 1961 to april 1975),,,,,,,,,,
actdpriv,any time before vietnam era (march 1961),,,,,,,,,,
combatpy,ever in combat zone on active duty,,,,,,,,,,
health,overall health,,,,,,,,,,
movsinpyr2,# times moved past 12 months- recoded,,,,,,,,,,
sexatract,sexual attraction,,,,,,,,,,
sexident,sexual identity,,,,,,,,,,
speakengl,how well speak english,,,,,,,,,,
lvldifsee2,level of difficulty seeing even with glasses,,,,,,,,,,
lvldifhear2,level of difficulty hearing even with hearing aids,,,,,,,,,,
lvldifwalk2,level of difficulty walking or climbing steps,,,,,,,,,,
lvldifmem2,level of difficulty remembering or concentrating,,,,,,,,,,
lvldifcare2,level of difficulty with self-care,,,,,,,,,,
lvldifcomm2,level of difficulty communicating using your usual language,,,,,,,,,,
irsex,gender - imputation revised,,,,,,,,,,
irmarit,imputation revised marital status,,,,,,,,,,
iimarit,imputation indicator marital status,,,,,,,,,,
ireduhighst2,education - recoded imputation revised,,,,,,,,,,
iieduhighst2,education indicator - imputation indicator,,,,,,,,,,
catage,rc-age category,,,,,,,,,,
catag2,rc-age category recode (3 levels),,,,,,,,,,
catag3,rc-age category recode (5 levels),,,,,,,,,,
catag6,rc-age category recode (6 levels),,,,,,,,,,
catag7,rc-age category recode (7 levels),,,,,,,,,,
pregage2,rc-pregnancy age category recode,,,,,,,,,,
drvinage,rc-dui age category recode,,,,,,,,,,
drvindetag,rc-dui detailed age category recode,,,,,,,,,,
sexage,rc-combined gender by age category indicator,,,,,,,,,,
newrace2,rc-race/hispanicity recode (7 levels),,,,,,,,,,
sexrace,rc-combined gender by race indicator,,,,,,,,,,
eduhighcat,rc-education categories,,,,,,,,,,
health2,rc-overall health recode,,,,,,,,,,
eduschlgo,now going to school,,,,,,,,,,
eduschgrd2,what grade in now/will be in,,,,,,,,,,
