Variable,Description
totrooms,total number of rooms
perpovlvl,household income as percent of poverty threshold (rounded)
jacprimary,edit flag for acprimary
jacsecndry,edit flag for acsecndry
jadequacy,edit flag for adequacy
jbathexclu,edit flag for bathexclu
jbathrooms,edit flag for bathrooms
jbedrooms,edit flag for bedrooms
jbld,edit flag for bld
jcane,edit flag for cane
jcellphone,edit flag for cellphone
jcold,edit flag for cold
jcoldcost,edit flag for coldcost
jcoldeq,edit flag for coldeq
jcoldeqfreq,edit flag for coldeqfreq
jcoldhtcap,edit flag for coldhtcap
jcoldinsul,edit flag for coldinsul
jcoldother,edit flag for coldother
jcoldutil,edit flag for coldutil
jcondo,edit flag for condo
jcookfuel,edit flag for cookfuel
jcooktype,edit flag for cooktype
jcrutch,edit flag for crutch
jdining,edit flag for dining
jdishh,edit flag for dishh
jdishwash,edit flag for dishwash
jdisrpcom,edit flag for disrpcom
jdisrpfema,edit flag for disrpfema
jdryer,edit flag for dryer
jdwnpaypct,edit flag for dwnpaypct
jechair,edit flag for echair
jelecamt,edit flag for elecamt
jentrysys,edit flag for entrysys
jfincp,edit flag for fincp
jfinrooms,edit flag for finrooms
jfireplace,edit flag for fireplace
jfirsthome,edit flag for firsthome
jfloorhole,edit flag for floorhole
jfndcrumb,edit flag for fndcrumb
jfoundtype,edit flag for foundtype
jfridge,edit flag for fridge
jfs,edit flag for fs
jfsafford,edit flag for fsafford
jfseatless,edit flag for fseatless
jfshungry,edit flag for fshungry
jfslast,edit flag for fslast
jfslostwgt,edit flag for fslostwgt
jfsmealdays,edit flag for fsmealdays
jfsnodays,edit flag for fsnodays
jfsnofood,edit flag for fsnofood
jfsskipmeal,edit flag for fsskipmeal
jfsstatus,edit flag for fsstatus
jfsworry,edit flag for fsworry
jfuseblow,edit flag for fuseblow
jgarage,edit flag for garage
jgasamt,edit flag for gasamt
jgrandhh,edit flag for grandhh
jgutrehb,edit flag for gutrehb
jhabathadd,edit flag for habathadd
jhabathentry,edit flag for habathentry
jhabathuse,edit flag for habathuse
jhabedadd,edit flag for habedadd
jhabedentry,edit flag for habedentry
jhabeduse,edit flag for habeduse
jhafuture,edit flag for hafuture
jhagetbath,edit flag for hagetbath
jhagetbed,edit flag for hagetbed
jhagethome,edit flag for hagethome
jhagetkit,edit flag for hagetkit
jhakituse,edit flag for hakituse
jhalift,edit flag for halift
jharamp,edit flag for haramp
jhasupp,edit flag for hasupp
jheatfuel,edit flag for heatfuel
jheattype,edit flag for heattype
jhhadltkids,edit flag for hhadltkids
jhhage,edit flag for hhage
jhhcare,edit flag for hhcare
jhhcitshp,edit flag for hhcitshp
jhhdthsp,edit flag for hhdthsp
jhhenroll,edit flag for hhenroll
jhherrnd,edit flag for hherrnd
jhhgrad,edit flag for hhgrad
jhhhear,edit flag for hhhear
jhhinusyr,edit flag for hhinusyr
jhhmar,edit flag for hhmar
jhhmemry,edit flag for hhmemry
jhhmove,edit flag for hhmove
jhhnatvty,edit flag for hhnatvty
jhholdkids,edit flag for hholdkids
jhhrace,edit flag for hhrace
jhhraceas,edit flag for hhraceas
jhhracepi,edit flag for hhracepi
jhhsee,edit flag for hhsee
jhhsex,edit flag for hhsex
jhhspan,edit flag for hhspan
jhhwalk,edit flag for hhwalk
jhhyngkids,edit flag for hhyngkids
jhincp,edit flag for hincp
jhmraccess,edit flag for hmraccess
jhmreneff,edit flag for hmreneff
jhmrsale,edit flag for hmrsale
jhoa,edit flag for hoa
jhoaamt,edit flag for hoaamt
jhotwater,edit flag for hotwater
jhowbuy,edit flag for howbuy
jhrate,edit flag for hrate
jhshldtype,edit flag for hshldtype
jhudsub,edit flag for hudsub
jinsuramt,edit flag for insuramt
jkitchens,edit flag for kitchens
jkitchsink,edit flag for kitchsink
jkitexclu,edit flag for kitexclu
jlandline,edit flag for landline
jlaundy,edit flag for laundy
jleadinsp,edit flag for leadinsp
jleaki,edit flag for leaki
jleakidk,edit flag for leakidk
jleakioth,edit flag for leakioth
jleakipipe,edit flag for leakipipe
jleakiplum,edit flag for leakiplum
jleakiwath,edit flag for leakiwath
jleako,edit flag for leako
jleakobase,edit flag for leakobase
jleakooth,edit flag for leakooth
jleakoroof,edit flag for leakoroof
jleakowall,edit flag for leakowall
jlotamt,edit flag for lotamt
jlotsize,edit flag for lotsize
jmaintamt,edit flag for maintamt
jmarketval,edit flag for marketval
jmgronsite,edit flag for mgronsite
jmhanchor,edit flag for mhanchor
jmhmove,edit flag for mhmove
jmhwide,edit flag for mhwide
jmilhh,edit flag for milhh
jmobother,edit flag for mobother
jmoldbasem,edit flag for moldbasem
jmoldbath,edit flag for moldbath
jmoldbedrm,edit flag for moldbedrm
jmoldkitch,edit flag for moldkitch
jmoldlroom,edit flag for moldlroom
jmoldother,edit flag for moldother
jmonlstocc,edit flag for monlstocc
