Variable,Description
aggregation_method,aggregation period used to compute this metric
date,date of the data
version,version of the table
airport_name,aggregation period used to compute this metric
percent_of_baseline,proportion of trips on this date as compared to avg number of trips on the same day of week in baseline period i.e 1st february 2020 - 15th march 2020
center_point_geom,geographic representation of the centroid of the airport polygon
city,city within which the airport is located
state_region,state within which the airport is located
country_iso_code_2,iso 3166-2 code representing the county and subdivision within which the airport is located
country_name,full text name of the country within which the airport is located
airport_geom,geographic representation of the airport polygon
city_name,name of city
date_time,date and time of the measurement
percent_congestion,percent of congestion relative to the baseline
alpha_code_3,if the record contains country-level stats: 3-letter country code
country_iso_code_2,"if the record contains state-level stats: 2-letter country code, followed by dash, then 2-letter state code."
region,if the record contains region-level stats: region description as found in `bigquery-public-data.covid19_geotab_mobility_impact.lookup_region`
date,date of the data
day_of_week,"day of week starting with sunday as day 1. range between [1,7]"
percent_of_baseline_activity,"number of trips taken on date, relative to the median value for the same day-of-week during baseline period"
percent_of_baseline_commercial,"percent_of_baseline_activity counting only trips starting around commercial buildings, as labelled by openstreetmap"
percent_of_baseline_industrial,"percent_of_baseline_activity counting only trips starting around industrial buildings, as labelled by openstreetmap"
percent_of_baseline_warehouse,"percent_of_baseline_activity counting only trips starting around warehouse buildings, as labelled by openstreetmap"
percent_of_baseline_grocery_store,"percent_of_baseline_activity counting only trips starting around grocery store buildings, as labelled by openstreetmap"
percent_of_baseline_other_retail,"percent_of_baseline_activity counting only trips starting around all retail buildings, excluding those classified as grocerystore, as labelled by openstreetmap"
region_geom,"geographic shape of the country, region, or state; for performance, shapes of regions and states are rough approximates of real boundaries."
version,version of the table
alpha_code_3,if the record contains country-level stats: 3-letter country code
region,if the record contains region-level stats: region description as found in `bigquery-public-data.covid19_geotab_mobility_impact.lookup_region`
industry,major industry impacted by covid.
date,date of the data
percent_of_baseline,percent of baseline activity for the corresponding industry and region.
version,version of the table
date,date of the data
vehicle_class,vehicle class
percent_of_normal_volume,the percentage of fuelling events at fuel stations relative to the baseline period.
version,version of the table
week_start,the start of the week in which fuelling events at fuel stations was measured.
week_end,the end of the week in which fuelling events at fuel stations was measured.
state_province,the state where fuelling events was measured.
country_iso_code_2,iso 3166-2 code representing the county and state/province of the aggregation
percent_of_normal_volume,the percentage of fuelling events at fuel stations relative to the baseline period.
version,version of the table
country_iso_code_2,iso 3166-2 code representing the county and state/province
region_id,unique identifier for each region
region_description,name of the region
states,concatenated list of states that are contained within the region. values are separated by a semi-colon (;)
country_iso_code_2,iso 3166-2 code representing the county and state/province where the port is located
port_id,unique port identifier
port,port name
year_week,concatenation of the year and week for which the aggregation values are calculated. format <yyyyww>
