Variable,Description
questid2,respondent identification
filedate,creation date of the data file
cigever,ever smoked a cigarette
cigofrsm,"if best friend offered, would you smoke cig"
cigwilyr,"do you think you""ll smoke cig in next 12 mos"
cigtry,age when first smoked a cigarette
cigyfu,year of first cigarette use - recode
cigmfu,month of first cigarette use - recode
cigrec,time since last smoked cigarettes
cig30use,how many days smoked cig in past 30 days
cg30est,best est. # days smoked cig past 30 days
cig30av,avg # cigs smoked per day/on day smoked
cig30br2,cig brand used most often past mo - recode
cig30tpe,what type of cig smoked most past 30 days
cig30men,menthol or reg cig smoked most past 30 days
cig30mln,"marlboro cig smoked past 30 days short, reg, 100""s"
cig30ro2,have you smoked roll-own cig in past 30 days
cigdlymo,ever smoked cig every day for 30 days
cigage,age when first started smoking cigarettes everyday
cigdlyfu,year of first cigarette use every day - recode
cigdlmfu,month of first cigarette use every day - recode
cig100lf,have you smoked 100 cigs in your life
smklssevr,ever used smokeless tobacco
smklsstry,age when first used smokeless tobacco
smklssyfu,year of first smokeless tobacco use - recode
smklssmfu,month of first smokeless tobacco use - recode
smklssrec,time since last used smokeless tobacco
smklss30n,how many days used smokeless tobacco past 30 days
smklss30e,best est. how many days used smklss tob pst 30 dys
cigarevr,ever smoked part or all of cigar
cigartry,age when first smoked cigar
cigaryfu,year of first cigar use - recode
cigarmfu,month of first cigar use - recode
cigarrec,time since last smoked cigar
cgr30use,how many days smoked cigar in past 30 days
ci30est,best est. # days smoked cigar past 30 days
cgr30br2,cigar brand used most often past mo - recode
pipever,ever smoked pipe tobacco
pipe30dy,have you smoked pipe tobacco in past 30 days
alcever,ever had drink of alcoholic beverage
alctry,age when first drank alcoholic beverage
alcyfu,year of first alcohol use - recode
alcmfu,month of first alcohol use - recode
alcrec,time since last drank alcoholic beverage
alcyrtot,total # of days used alcohol in past 12 mos
altotfg,trimming indicator for alcyrtot
alfqflg,trimmed alcyrtot if r used < 12 mos
albstway,easiest way to tell us # days drank alcohol
aldaypyr,number days drank alcohol in past 12 mos
aldaypmo,# days per month drank alcohol in past 12 mos
aldaypwk,# days per week drank alcohol in past 12 mos
alcdays,# days had one or more drinks past 30 days
al30est,best estimate # days had one or more drinks
aldysfg,revision indicator for alcdays
alcus30d,usual # of drinks per day past 30 days
alcbng30d,# days had four/five or more drinks past 30 dys
mjever,ever used marijuana/hashish
mjage,age when first used marijuana/hashish
mjyfu,year of first marijuana/hashish use - recode
mjmfu,month of first marijuana/hashish use - recode
mjrec,time since last used marijuana/hashish
mjyrtot,total # of days used marijuana in past 12 mos
mrtotfg,trimming indicator for mjyrtot
mjfqflg,trimmed mjyrtot if r used < 12 mos
mrbstway,easiest way to tell us # days used marijuana/hash
mrdaypyr,# days used marijuana/hashish past 12 months
mrdaypmo,# days per mo used marijuana/hashish past 12 mos
mrdaypwk,# days per week used marijuana/hashish past 12 mos
mjday30a,# days used marijuana/hashish past 30 days
mr30est,best est. # days used marijuana past 30 days
cocever,ever used cocaine
cocage,age when first used cocaine
cocyfu,year of first cocaine use - recode
cocmfu,month of first cocaine use - recode
cocrec,time since last used cocaine
cocyrtot,total # of days used cocaine in past 12 months
cctotfg,trimming indicator for cocyrtot
ccfqflg,trimmed cocyrtot if r used < 12 mos
ccbstway,easiest way to tell us # days used cocaine
ccdaypyr,# days used cocaine past 12 months
ccdaypmo,# days per month used cocaine past 12 months
ccdaypwk,# days per week used cocaine past 12 months
cocus30a,# days used cocaine past 30 days
cc30est,best estimate # days used cocaine past 30 days
crkever,ever used crack
crkage,age when first used crack
crkyfu,year of first crack use - recode
crkmfu,month of first crack use - recode
crakrec,time since last used crack
crkyrtot,total # days used crack in past 12 months
crtotfg,trimming indicator for crkyrtot
crfqflg,trimmed crkyrtot if r used < 12 mos
crbstway,easiest way to tell us # days used crack
crdaypyr,# days used crack past 12 months
crdaypmo,# days per month used crack past 12 months
crdaypwk,# days per week used crack past 12 months
crkus30a,# days used crack past 30 days
cr30est,best estimate # days used crack past 30 days
herever,ever used heroin
herage,age when first used heroin
heryfu,year of first heroin use - recode
hermfu,month of first heroin use - recode
herrec,time since last used heroin
heryrtot,total # of days used heroin in past 12 months
hrtotfg,trimming indicator for heryrtot
hrfqflg,trimmed heryrtot if r used < 12 mos
hrbstway,easiest way to tell us # days used heroin
hrdaypyr,# days used heroin past 12 months
hrdaypmo,# days per month used heroin past 12 months
hrdaypwk,# days per week used heroin past 12 months
her30use,# days used heroin past 30 days
hr30est,best est. # days used heroin past 30 days
lsd,"ever used lsd (""acid"")"
pcp,"ever used pcp (""angel dust,"" phencyclidine)"
peyote,ever used peyote
mesc,ever used mescaline
psilcy,ever used psilocybin (mushrooms)
ecstmolly,"ever used ""ecstasy"" or ""molly"" (mdma)"
ketminesk,ever used ketamine
dmtamtfxy,"ever used dmt, amt, foxy"
salviadiv,ever used salvia divinorum
hallucoth,ever used other hallucinogen
hallucot1,other hallucinogen - specify 1
hallucot2,other hallucinogen - specify 2
hallucot3,other hallucinogen - specify 3
hallucot4,other hallucinogen - specify 4
hallucot5,other hallucinogen - specify 5
hallucage,age when first used hallucinogens
hallucevr,ever used hallucinogens
hallucyfu,year of first hallucinogen use - recode
hallucmfu,month of first hallucinogen use - recode
hallucrec,time since last used hallucinogens
