Column1,entity:A_MainTableDatasets_id,Categories,Data,DataDictionary,FileFormat,Homepage,SizeGb,Source,Sponsor,Year,dataset_name,dataset_title,file_name,Column3,Column4,Column5,Column52
252,NSDUH_DrugUseAndHealth_2002-2019,Health Behaviors,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/HealthBehaviors/NSDUH_2002_2019_Tab.tsv,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/HealthBehaviors/NSDUH-2002-2019-DS0001-info-codebook.pdf,TSV,https://www.datafiles.samhsa.gov/dataset/nsduh-2002-2019-ds0001-nsduh-2002-2019-ds0001,13.37,National Survey on Drug Use and Health (NSDUH),CDC,2002-2019,nsduh_drug_use_and_health_2002,NSDUH Drug Use And Health 2002,nsduh_drug_use_and_health_2002.csv,,,,
279,ORS_OccupationalRequirements_2022,Neighborhood and Built Environment,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/NeighborhoodAndBuiltEnvironment/2022-ors-complete-dataset.csv,,CSV,https://www.bls.gov/opub/hom/ors/home.htm,0.00578,ORS,BLS,2022,ors_occupational_requirements,ORS Occupational Requirements,ors_occupational_requirements_2022.csv,,,,
280,ORS_OccupationalRequirements_2023,Neighborhood and Built Environment,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/NeighborhoodAndBuiltEnvironment/2023-ors-complete-dataset.csv,,CSV,https://www.bls.gov/opub/hom/ors/home.htm,0.011,ORS,BLS,2023,ors_occupational_requirements_2023,ORS Occupational Requirements 2023,ors_occupational_requirements_2023.csv,,,,
281,ORS_OccupationalRequirements_2024,Neighborhood and Built Environment,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/NeighborhoodAndBuiltEnvironment/2024-ors-complete-dataset.csv,,CSV,https://www.bls.gov/opub/hom/ors/home.htm,0.004,ORS,BLS,2024,ors_occupational_requirements_2024,ORS Occupational Requirements 2024,ors_occupational_requirements_2024.csv,,,,
235,NHANES_Continuous_DemographicsData_2010-2009,Economic Stability,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/EconomicStability/DEMO_F.csv,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/EconomicStability/DEMO_F.html,CSV,https://wwwn.cdc.gov/nchs/nhanes/Default.aspx,0.0036,NCHS,CDC,2010-2009,nhanes_continuous_demographics_data_2010,NHANES Continuous Demographics Data 2010,nhanes_continuous_demographics_data_2010.csv,,,,
236,NHANES_Continuous_DemographicsData_2012-2011,Economic Stability,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/EconomicStability/DEMO_G.csv,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/EconomicStability/DEMO_G.html,CSV,https://wwwn.cdc.gov/nchs/nhanes/Default.aspx,0.0038,NCHS,CDC,2012-2011,nhanes_continuous_demographics_data_2012,NHANES Continuous Demographics Data 2012,nhanes_continuous_demographics_data_2012.csv,,,,
237,NHANES_Continuous_DemographicsData_2014-2013,Economic Stability,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/EconomicStability/DEMO_H.csv,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/EconomicStability/DEMO_H.html,CSV,https://wwwn.cdc.gov/nchs/nhanes/Default.aspx,0.0038,NCHS,CDC,2014-2013,nhanes_continuous_demographics_data_2014,NHANES Continuous Demographics Data 2014,nhanes_continuous_demographics_data_2014.csv,,,,
238,NHANES_Continuous_DemographicsData_2016-2015,Economic Stability,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/EconomicStability/DEMO_I.csv,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/EconomicStability/DEMO_I.html,CSV,https://wwwn.cdc.gov/nchs/nhanes/Default.aspx,0.0038,NCHS,CDC,2016-2015,nhanes_continuous_demographics_data_2016,NHANES Continuous Demographics Data 2016,nhanes_continuous_demographics_data_2016.csv,,,,
239,NHANES_Continuous_DemographicsData_2018-2017,Economic Stability,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/EconomicStability/DEMO_J.csv,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/EconomicStability/DEMO_J.html,CSV,https://wwwn.cdc.gov/nchs/nhanes/Default.aspx,0.0034,NCHS,CDC,2018-2017,nhanes_continuous_demographics_data_2018,NHANES Continuous Demographics Data 2018,nhanes_continuous_demographics_data_2018.csv,,,,
241,NHANES_Continuous_DemographicsData_2021-2023,Economic Stability,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/EconomicStability/DEMO_L.csv,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/EconomicStability/DEMO_L.html,CSV,https://wwwn.cdc.gov/nchs/nhanes/Default.aspx,0.0025,NCHS,CDC,2021-2023,nhanes_continuous_demographics_data_2021,NHANES Continuous Demographics Data 2021,nhanes_continuous_demographics_data_2021.csv,,,,
240,NHANES_Continuous_DemographicsData_2020-2017,Economic Stability,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/EconomicStability/DEMO_P.csv,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/EconomicStability/P_DEMO.html,CSV,https://wwwn.cdc.gov/nchs/nhanes/Default.aspx,0.0036,NCHS,CDC,2020-2017,nhanes_continuous_demographics_data_2020,NHANES Continuous Demographics Data 2020,nhanes_continuous_demographics_data_2020.csv,,,,
