Variable,Description
jmhwide,edit flag for mhwide
jmilhh,edit flag for milhh
jmoldbasem,edit flag for moldbasem
jmoldbath,edit flag for moldbath
jmoldbedrm,edit flag for moldbedrm
jmoldkitch,edit flag for moldkitch
jmoldlroom,edit flag for moldlroom
jmoldother,edit flag for moldother
jmonlstocc,edit flag for monlstocc
jmonoxide,edit flag for monoxide
jmortamt,edit flag for mortamt
jmovdisfire,edit flag for movdisfire
jmovdisoth,edit flag for movdisoth
jmovforce,edit flag for movforce
jmovwhy,edit flag for movwhy
jmultigen,edit flag for multigen
jmust,edit flag for must
jmvg1cost,edit flag for mvg1cost
jmvg1loc,edit flag for mvg1loc
jmvg1per,edit flag for mvg1per
jmvg1stat,edit flag for mvg1stat
jmvg1ten,edit flag for mvg1ten
jmvg1type,edit flag for mvg1type
jmvg2cost,edit flag for mvg2cost
jmvg2loc,edit flag for mvg2loc
jmvg2per,edit flag for mvg2per
jmvg2stat,edit flag for mvg2stat
jmvg2ten,edit flag for mvg2ten
jmvg2type,edit flag for mvg2type
jmvg3cost,edit flag for mvg3cost
jmvg3loc,edit flag for mvg3loc
jmvg3per,edit flag for mvg3per
jmvg3stat,edit flag for mvg3stat
jmvg3ten,edit flag for mvg3ten
jmvg3type,edit flag for mvg3type
jnearaband,edit flag for nearaband
jnearbarcl,edit flag for nearbarcl
jneartrash,edit flag for neartrash
jnhqpcrime,edit flag for nhqpcrime
jnhqpubtrn,edit flag for nhqpubtrn
jnhqrisk,edit flag for nhqrisk
jnhqschool,edit flag for nhqschool
jnhqscrime,edit flag for nhqscrime
jnoise,edit flag for noise
jnorc,edit flag for norc
jnostep,edit flag for nostep
jnotoil,edit flag for notoil
jnotoilfreq,edit flag for notoilfreq
jnowat,edit flag for nowat
jnowatfreq,edit flag for nowatfreq
jnowire,edit flag for nowire
jnrate,edit flag for nrate
jnumadults,edit flag for numadults
jnumasthmast,edit flag for numasthmast
jnumcare,edit flag for numcare
jnumelders,edit flag for numelders
jnumerrnd,edit flag for numerrnd
jnumhear,edit flag for numhear
jnummemry,edit flag for nummemry
jnumnonrel,edit flag for numnonrel
jnumoldkids,edit flag for numoldkids
jnumpeople,edit flag for numpeople
jnumsecfam,edit flag for numsecfam
jnumsee,edit flag for numsee
jnumsubfam,edit flag for numsubfam
jnumvets,edit flag for numvets
jnumwalk,edit flag for numwalk
jnumyngkids,edit flag for numyngkids
joccapril,edit flag for occapril
joccaugust,edit flag for occaugust
joccdecem,edit flag for occdecem
joccfebru,edit flag for occfebru
joccjanur,edit flag for occjanur
joccjuly,edit flag for occjuly
joccjune,edit flag for occjune
joccmarch,edit flag for occmarch
joccmay,edit flag for occmay
joccnovem,edit flag for occnovem
joccoctob,edit flag for occoctob
joccseptem,edit flag for occseptem
joccyrrnd,edit flag for occyrrnd
joilamt,edit flag for oilamt
jotheramt,edit flag for otheramt
joutage,edit flag for outage
joutagefrq,edit flag for outagefrq
joutflood,edit flag for outflood
joutfood,edit flag for outfood
joutlet,edit flag for outlet
joutmed,edit flag for outmed
joutmeddev,edit flag for outmeddev
joutpipefz,edit flag for outpipefz
joutstay,edit flag for outstay
joutwork,edit flag for outwork
jownlot,edit flag for ownlot
jpaintpeel,edit flag for paintpeel
jpartner,edit flag for partner
jpermnear,edit flag for permnear
jperpovlvl,edit flag for perpovlvl
jplugs,edit flag for plugs
jpoolsafe,edit flag for poolsafe
jporch,edit flag for porch
jpovlvlinc,edit flag for povlvlinc
jprotaxamt,edit flag for protaxamt
jradontest,edit flag for radontest
jratinghs,edit flag for ratinghs
jratingnh,edit flag for ratingnh
jremodamt,edit flag for remodamt
jremodjobs,edit flag for remodjobs
jrent,edit flag for rent
jrentcntrl,edit flag for rentcntrl
jrentsub,edit flag for rentsub
jrmchange,edit flag for rmchange
jrmcommute,edit flag for rmcommute
jrmcosts,edit flag for rmcosts
jrmfamily,edit flag for rmfamily
jrmhome,edit flag for rmhome
jrmhood,edit flag for rmhood
jrmjob,edit flag for rmjob
jrmother,edit flag for rmother
jrmownhh,edit flag for rmownhh
jroach,edit flag for roach
jrodent,edit flag for rodent
jroofhole,edit flag for roofhole
jroofsag,edit flag for roofsag
jroofshin,edit flag for roofshin
jsafe,edit flag for safe
jsafeu7kd,edit flag for safeu7kd
jsamesexhh,edit flag for samesexhh
jsearchfam,edit flag for searchfam
jsearchlist,edit flag for searchlist
jsearchnet,edit flag for searchnet
jsearchoth,edit flag for searchoth
jsearchpub,edit flag for searchpub
jsearchrea,edit flag for searchrea
jsearchsign,edit flag for searchsign
jsearchstop,edit flag for searchstop
jsecsmk,edit flag for secsmk
jsewbreak,edit flag for sewbreak
jsewtype,edit flag for sewtype
jsewusers,edit flag for sewusers
jshadeblk,edit flag for shadeblk
jshadeunt,edit flag for shadeunt
jsleepleaks,edit flag for sleepleaks
jsleeplgt,edit flag for sleeplgt
jsleepnzein,edit flag for sleepnzein
jsleepnzeout,edit flag for sleepnzeout
jsleepodor,edit flag for sleepodor
jsleepothrw,edit flag for sleepothrw
jsleeppests,edit flag for sleeppests
jsleeptemp,edit flag for sleeptemp
jsmkr,edit flag for smkr
jsmokalrm,edit flag for smokalrm
jsogiresp,edit flag for sogiresp
jsolar,edit flag for solar
jsprnksystm,edit flag for sprnksystm
jstairbrk,edit flag for stairbrk
jstairgat,edit flag for stairgat
jstairhnd,edit flag for stairhnd
jstairlit,edit flag for stairlit
jstairnar,edit flag for stairnar
jstairsin,edit flag for stairsin
jstairslp,edit flag for stairslp
jstairsout,edit flag for stairsout
jstaycool,edit flag for staycool
jstories,edit flag for stories
jsubdiv,edit flag for subdiv
jsuityrrnd,edit flag for suityrrnd
jsupp1heat,edit flag for supp1heat
jsupp2heat,edit flag for supp2heat
jtenure,edit flag for tenure
jtimeshare,edit flag for timeshare
jtotbalamt,edit flag for totbalamt
jtothcamt,edit flag for tothcamt
jtotrooms,edit flag for totrooms
jtrashamt,edit flag for trashamt
jufinrooms,edit flag for ufinrooms
junitfloors,edit flag for unitfloors
junitsize,edit flag for unitsize
jupkeep,edit flag for upkeep
jutilamt,edit flag for utilamt
jvacancy,edit flag for vacancy
jvacinher,edit flag for vacinher
jvacinvest,edit flag for vacinvest
jvacmonths,edit flag for vacmonths
jvacoth,edit flag for vacoth
jvacprires,edit flag for vacprires
jvacrec,edit flag for vacrec
jvacresdays,edit flag for vacresdays
jvacrntdays,edit flag for vacrntdays
jvacsell,edit flag for vacsell
jventbath,edit flag for ventbath
jventkitc,edit flag for ventkitc
jwallcrack,edit flag for wallcrack
jwallside,edit flag for wallside
jwallslope,edit flag for wallslope
jwasher,edit flag for washer
jwateramt,edit flag for wateramt
jwatsafe,edit flag for watsafe
jwatsource,edit flag for watsource
jwinbars,edit flag for winbars
jwinboard,edit flag for winboard
jwinbroke,edit flag for winbroke
jworncord,edit flag for worncord
jyrbuilt,edit flag for yrbuilt
control,control number
sleeptemp,flag indicating too hot or cold when trying to sleep
sleeplgt,flag indicating too much light when trying to sleep
sleepnzein,flag indicating too much noise from mechanical systems inside home
sleepnzeout,flag indicating too much noise from outside or from neighborhood
sleepodor,flag indicating strong odors when trying to sleep
sleeppests,flag indicating worry about pests
sleepleaks,flag indicating worry about water leaks
sleepothrw,flag indicating other worries when trying to sleep
poolsafe,type of outdoor pool safety measures
outagefrq,number of times without power in the last 12 months
dpgenert,flag indicating generator
outage,flag indicating unit without power in the last 12 months
outflood,flag indicating water collected in basement because sump pump stopped working due to power outage in the last 12 months
outfood,flag indicating food spoiled due to power outage in the last 12 months
outmed,flag indicating medicine spoiled due to power outage in the last 12 months
outmeddev,flag indicating presence of medical devices that require electricity
outpipefz,flag indicating pipes froze due to power outage in the last12 months
outstay,flag indicating had to leave home and stay somewhere overnight due to power outage in the last 12 months
outwork,flag indicating missed work due to power outage in the last 12 months
noise,noise in neighborhood is bothersome
rent,monthly rent amount
bathexclu,bathroom facilities for household use only
dishwash,unit has working dishwasher
solar,unit has solar panels
garage,garage or carport
dining,number of dining rooms
laundy,number of laundry or utility rooms
nostep,no step entrance
condo,condominium
searchfam,"found home through family, friends, or other word of mouth"
searchlist,found home through apartment rental agency listing
searchnet,found home through the internet
searchoth,found home through some other way
searchpub,found home through newspaper or publication
searchrea,found home through real estate agent
searchsign,found home through sign outside of building
rmchange,moved because of change in household
rmcommute,moved to reduce commute
rmcosts,moved to reduce housing costs
rmfamily,moved for family
rmhome,moved for better home
rmhood,moved to be in more desirable neighborhood
rmjob,moved for job
rmownhh,moved to form household
rmother,moved for another reason
hmraccess,home improvements done in last two years to make home more accessible for those with physical limitations
hmreneff,home improvements done to make home more energy efficient in last two years
hmrsale,home improvements done to get house ready for sale in last two years
ratinghs,rating of unit
ratingnh,rating of neighborhood
nhqpcrime,neighborhood has a lot of petty crime
nhqpubtrn,neighborhood has public transportation
nhqrisk,neighborhood is at high risk for floods or other disasters
nhqschool,neighborhood has good schools
nhqscrime,neighborhood has a lot of serious crime
norc,respondent thinks the majority of neighbors 55 or older
subdiv,flag indicating house is part of a subdivision or housing development
chemstor,"storage of chemicals, pesticides, cleaning supplies, and medicines"
outlet,presence of tamper resistant outlet covers
secsmk,frequency of secondhand smoke entering home in the last 12 months
smkr,frequency of smoking in home in the last 12 months
nowire,electrical wiring concealed by walls
tenure,owner or renter status of unit
mhwide,manufactured/mobile home type
cellphone,number of adults with cell phones
landline,unit has a landline telephone
erheatrel,flag indicating visited emergency room in the last 12 months due to heat
shadeblk,amount of shade from trees or other buildings within 1/2 block
shadeunt,flag indicating exterior of unit shaded by trees or other buildings
staycool,how well home stays cool without aid of cooling device
hieviclk,likelihood of leaving home due to eviction
hilveforc,likelihood of leaving home due to foreclosure
himovfrc,how often worried about being forced to move in last 12 months
hinforc,flag indicating mortgage currently in foreclosure
hiafford,difficulty affording housing payments in last 12 months
hihalf,flag indicating housing payment more than half of household's monthly income
histpay,how often respondent worried about not having enough for housing payments in last 12 months
plugs,every room has working electrical plug
sogiresp,line number of sogi respondent
porch,"porch, deck, or balcony"
leako,outside water leaks in last 12 months
leaki,inside water leaks in last 12 months
notoil,toilet breakdowns in last 3 months
paintpeel,peeling paint larger than 8 x 11
howbuy,description of how owner obtained unit
occjanur,unit is typically occupied in january
occfebru,unit is typically occupied in february
occmarch,unit is typically occupied in march
occapril,unit is typically occupied in april
occmay,unit is typically occupied in may
occjune,unit is typically occupied in june
occjuly,unit is typically occupied in july
occaugust,unit is typically occupied in august
occseptem,unit is typically occupied in september
occoctob,unit is typically occupied in october
occnovem,unit is typically occupied in november
occdecem,unit is typically occupied in december
occyrrnd,unit is typically occupied year-round
leadinsp,lead pipes inspected before purchase
monlstocc,number months since occupied as permanent home
suityrrnd,unit suitable for year round use
timeshare,timeshare
vacresdays,number of nights owner spends at this unit
vacrntdays,number of nights unit was rented out
permnear,unit is within 150 miles of owners residence
vacprires,unit was a previous usual residence
vacrec,unit is used for recreational purposes
vacinvest,unit is used for investment purposes
vacsell,owner wishes to sell this unit
vacinher,unit was inherited
vacoth,unit is owned for some other reason
ownlot,owner owns the lot
rentcntrl,rent control
rentsub,type of rental subsidy or reduction (based on respondent report)
nearaband,buildings that are abandoned or vandalized buildings within 1/2 block
nearbarcl,buildings with bars on windows within 1/2 block
neartrash,"trash, litter, or junk in streets, lots, or properties within 1/2 block"
intlang,interview language
omb13cbsa,2013 omb cbsa code
division,census division
weight,final weight
sp1weight,final weight for split sample group 1
sp2weight,final weight for split sample group 2
intstatus,interview status
intmode,interview mode
intmonth,interview month
bld,type of housing unit
entrysys,building entry system
hhsex,sex of householder
hhmar,marital status of householder
hhspan,spanish origin of householder
hhcitshp,us citizenship of householder
milhh,type of military household
hhdthsp,detailed spanish origin of householder
hhage,age of householder
hhmove,year householder moved in
hhinusyr,year householder came to us
hhrace,race of householder
hhraceas,race of householder (asian group)
hhracepi,race of householder (native hawaiian or other pacific islander group)
hhgrad,educational level of householder
hhnatvty,country of birth of householder
hhenroll,householder currently enrolled in school
partner,flag indicating unmarried partner household
samesexhh,flag indicating same sex married household
hshldtype,type of household
numelders,number of persons age 65 and over living in this unit
numadults,number of persons age 18 and over living in this unit
numnonrel,number of non-relatives living in this unit
hhyngkids,"number of the householder's children under age 6, living in this unit"
hholdkids,"number of the householder's children age 6 through 17, living in this unit"
numvets,number of veterans living in this unit
numyngkids,number of children under age 6 living in this unit
numoldkids,number of children age 6 through 17 living in this unit
numsubfam,number of subfamilies living in this unit
numsecfam,number of secondary families living in this unit
numpeople,number of persons living in this unit
hhadltkids,"number of the householder's unmarried children age 18 and over, living in this unit"
grandhh,flag indicating grandparent headed household with no parent present
multigen,type of multigenerational household
samehhld,flag indicating if the household members are the same as the previous survey year
hhfntvty,country of birth of householder's father
hhmntvty,country of birth of householder's mother
hhprntpurch,flag indicating parents or parents-in-law owned a home when householder purchased home
hhprnthome,homeownership status of householder's parents or parents-in-law
hhgen,householder's generational status
hhsogilgbt,lgbt status of householder
hhsogiso,sexual orientation of householder
hhsogig,gender identity of householder
ufinrooms,number of other unfinished rooms
stories,stories in building
mhanchor,manufactured/mobile home anchor method
lotsize,lot size (acres)
finrooms,total number of other finished rooms
yrbuilt,year built
hoa,homeowner's association
foundtype,foundation type
unitfloors,floors in unit
unitsize,unit size (square feet)
bedrooms,number of bedrooms
kitchens,number of kitchens
monoxide,carbon monoxide detector
smokalrm,flag indicating unit has a working smoke alarm
sprnksystm,flag indicating unit has a sprinkler system
watsource,source of water for unit
sewusers,number of units connected to septic tank or cesspool
kitexclu,kitchen facilities for household use only
fridge,unit has working refrigerator
kitchsink,unit has kitchen sink
washer,unit has working washing machine
cooktype,type of cooking equipment
cookfuel,fuel used most for cooking
dryer,clothes dryer type
sewtype,type of sewer system
bathrooms,number of bathrooms
hotwater,type of hot water system
heatfuel,main heating fuel
fireplace,unit has useable fireplace
acprimary,primary ac
acsecndry,secondary ac
heattype,main heating equipment
supp1heat,first type of supplemental heating
supp2heat,second type of supplemental heating
hoteqfreq,number of times main cooling equipment broke down for 6 hours or more
hoteq,flag indicating unit was uncomfortably hot for 24 hours or more in the last 12 months because the main cooling equipment broke down
hot,flag indicating unit was uncomfortably hot for 24 hours or more in the last 12 months
hotutil,flag indicating unit was uncomfortably hot for 24 hours or more in the last 12 months due to utility interruption or power outage
hotclcap,flag indicating unit was uncomfortably hot for 24 hours or more in the last 12 months due to inadequate cooling capacity
hotleak,"flag indicating unit was uncomfortably hot for 24 hours or more in the last 12 months due to leaking windows, doors, and walls"
hotinsul,flag indicating unit was uncomfortably hot for 24 hours or more in the last 12 months due to inadequate insulation
hotcost,flag indicating unit was uncomfortably hot for 24 hours or more in the last 12 months due to cost of cooling
hotother,flag indicating unit was uncomfortably hot for 24 hours or more in the last 12 months because of some other reason
cold,unit uncomfortably cold for 24 hours or more
coldeq,main heating equipment broke down
nowat,unit completely without running water
coldutil,unit cold due to utility interruption
coldhtcap,unit cold due to inadequate heating capacity
coldinsul,unit cold due to inadequate insulation
coldcost,unit cold due to cost of heating
coldother,unit cold because of some other reason
leakoroof,water leak from roof
leakobase,water leak from basement
leakowall,water leak from wall or closed window or door
leakooth,water leak from somewhere else outside
leakiplum,water leak from own plumbing fixtures
leakipipe,water leak from pipes leaking
leakiwath,water leak from broken water heater
leakioth,water leak from somewhere else inside
leakidk,water leak with unknown inside source
wallcrack,walls or ceilings have open holes or cracks wider than dime
floorhole,floor has holes
fndcrumb,"foundation holes, cracks, or crumbling"
roofshin,roof missing shingles or other roofing materials
roofhole,roof has holes
roofsag,roof sags or is uneven
wallside,"outside walls missing siding, bricks, or other materials"
wallslope,"outside walls slope, lean, slant, or buckle"
winboard,windows boarded up
winbroke,windows broken
winbars,windows covered with metal bars
coldeqfreq,number of times main heating equipment broke down
nowatfreq,number of times completely without running water
notoilfreq,number of toilet breakdowns 6 hours or more
moldkitch,mold in kitchen
moldbath,mold in bathroom
moldbedrm,mold in bedroom
moldbasem,mold in basement
moldlroom,mold in living room
moldother,mold in other room
rodent,rodent frequency
roach,roach frequency
sewbreak,number of sewer breakdowns
fuseblow,fuses blown or circuit breakers tripped
vacmonths,number months unit has been vacant
dwnpaypct,down payment percentage
mhmove,mobile home to be moved
elecamt,monthly electric amount
gasamt,monthly gas amount
oilamt,monthly oil amount
otheramt,monthly amount for other fuels
trashamt,monthly trash amount
wateramt,monthly water amount
utilamt,monthly total utility amount
remodjobs,total number of home improvement jobs in last two years
fs,snap
hhhear,householder has difficulty hearing
hhsee,householder has difficulty seeing
hhmemry,householder has difficulty concentrating or remembering
hhwalk,householder has difficulty walking or climbing stairs
hhcare,householder has difficulty dressing or bathing
hherrnd,householder has difficulty doing errands
numhear,number of persons who have difficulty hearing
numsee,number of persons who have difficulty seeing
nummemry,number of persons who have difficulty concentrating or remembering
numwalk,number of persons who have difficulty walking or climbing stairs
numcare,number of persons who have difficulty dressing or bathing
numerrnd,number of persons who have difficulty doing errands
dishh,flag indicating disabled person household
hrate,rating of current home
nrate,rating of current neighborhood
mvg1type,type of structure of former home (mover group 1)
mvg2type,type of structure of former home (mover group 2)
mvg3type,type of structure of former home (mover group 3)
mvg1ten,tenure of former home (mover group 1)
mvg2ten,tenure of former home (mover group 2)
mvg3ten,tenure of former home (mover group 3)
mvg1per,number of people in former home (mover group 1)
mvg2per,number of people in former home (mover group 2)
mvg3per,number of people in former home (mover group 3)
mvg1cost,comparison of housing costs to former home (mover group 1)
mvg2cost,comparison of housing costs to former home (mover group 2)
mvg3cost,comparison of housing costs to former home (mover group 3)
mvg1stat,former home was owned/rented by someone in current home (mover group 1)
mvg2stat,former home was owned/rented by someone in current home (mover group 2)
mvg3stat,former home was owned/rented by someone in current home (mover group 3)
mvg1loc,move was more than 50 miles (mover group 1)
mvg2loc,move was more than 50 miles (mover group 2)
mvg3loc,move was more than 50 miles (mover group 3)
searchstop,reason for stopping housing search sooner than preferred
movforce,"forced to move by landlord, bank, government, or disaster"
movwhy,why respondent was forced to move
movdisfire,flag indicating unit affected by fire
movdisoth,flag indicating unit affected by other non-fire disaster
hibehindfrq,number of months missed housing payments in last 12 months
hinowhere,number of people living in unit because no where else to stay
hihmlessness,number of homeless household members in last 12 months
hiprevnum,number of months lived in previous home
hiworry,respondent's current level of worry about forced move
hievictht,flag indicating threatened with eviction in last 12 months
hievicnote,flag indicating received an eviction notice in last 12 months
himortforc,flag indicating received foreclosure notice in last 12 months
must,frequency of musty smells in the last 12 months
safe,how safe respondent feels inside home
hinumove,number of times respondent moved in the last 12 months
stairbrk,"flag indicating any stairs have steps that are missing, broken, or loose"
stairlit,flag indicating stairs have steps that are not well lit
stairhnd,"flag indicating stairs have handrails that are missing, broken, or not firmly attached"
stairnar,flag indicating stairs have steps that are too steep or narrow
stairslp,flag indicating stairs have steps that are sometimes slippery
worncord,"flag indicating extension cords used in home are cracked, worn, or get hot when used"
safeu7kd,flag indicating children under seven live in or regularly visit the unit
stairsin,flag indicating presence of stairs within unit
stairsout,flag indicating presence of stairs outside unit
stairgat,flag indicating stairs accessible to children have gates
watsafe,flag indicating respondent thinks water is safe for drinking and cooking
airrate,rating of indoor air quality in unit
radontest,flag indicating the home has been tested for radon
ventbath,flag indicating bathroom has a working exhaust fan
ventkitc,flag indicating kitchen has a working range hood with a fan
hlthrate,rating of respondent's health
hhldasthma,flag indicating household member ever diagnosed with asthma by doctor or other health professional
numasthmast,number of household members who still have asthma
hhldasthmaer,flag indicating household member visited an emergency room or urgent care center because of asthma
mgronsite,owner or property manager onsite
adequacy,housing adequacy
povlvlinc,federal poverty level threshold
hudsub,subsidized renter status and eligibility
upkeep,type of upkeep problems
splitsamp,flag indicating split sample group
vacancy,vacancy status
repweight1,replicate weight 1
repweight2,replicate weight 2
repweight3,replicate weight 3
repweight4,replicate weight 4
repweight5,replicate weight 5
repweight6,replicate weight 6
repweight7,replicate weight 7
repweight8,replicate weight 8
repweight9,replicate weight 9
repweight10,replicate weight 10
repweight11,replicate weight 11
repweight12,replicate weight 12
repweight13,replicate weight 13
repweight14,replicate weight 14
repweight15,replicate weight 15
repweight16,replicate weight 16
repweight17,replicate weight 17
repweight18,replicate weight 18
repweight19,replicate weight 19
repweight20,replicate weight 20
repweight21,replicate weight 21
repweight22,replicate weight 22
repweight23,replicate weight 23
repweight24,replicate weight 24
repweight25,replicate weight 25
repweight26,replicate weight 26
repweight27,replicate weight 27
repweight28,replicate weight 28
repweight29,replicate weight 29
repweight30,replicate weight 30
repweight31,replicate weight 31
repweight32,replicate weight 32
repweight33,replicate weight 33
repweight34,replicate weight 34
repweight35,replicate weight 35
repweight36,replicate weight 36
repweight37,replicate weight 37
repweight38,replicate weight 38
repweight39,replicate weight 39
repweight40,replicate weight 40
repweight41,replicate weight 41
repweight42,replicate weight 42
repweight43,replicate weight 43
repweight44,replicate weight 44
repweight45,replicate weight 45
repweight46,replicate weight 46
repweight47,replicate weight 47
repweight48,replicate weight 48
repweight49,replicate weight 49
repweight50,replicate weight 50
repweight51,replicate weight 51
repweight52,replicate weight 52
repweight53,replicate weight 53
repweight54,replicate weight 54
repweight55,replicate weight 55
repweight56,replicate weight 56
repweight57,replicate weight 57
repweight58,replicate weight 58
repweight59,replicate weight 59
repweight60,replicate weight 60
repweight61,replicate weight 61
repweight62,replicate weight 62
repweight63,replicate weight 63
repweight64,replicate weight 64
repweight65,replicate weight 65
repweight66,replicate weight 66
repweight67,replicate weight 67
repweight68,replicate weight 68
repweight69,replicate weight 69
repweight70,replicate weight 70
repweight71,replicate weight 71
repweight72,replicate weight 72
repweight73,replicate weight 73
repweight74,replicate weight 74
repweight75,replicate weight 75
repweight76,replicate weight 76
repweight77,replicate weight 77
repweight78,replicate weight 78
repweight79,replicate weight 79
repweight80,replicate weight 80
repweight81,replicate weight 81
repweight82,replicate weight 82
repweight83,replicate weight 83
repweight84,replicate weight 84
repweight85,replicate weight 85
repweight86,replicate weight 86
repweight87,replicate weight 87
repweight88,replicate weight 88
repweight89,replicate weight 89
repweight90,replicate weight 90
repweight91,replicate weight 91
repweight92,replicate weight 92
repweight93,replicate weight 93
repweight94,replicate weight 94
repweight95,replicate weight 95
repweight96,replicate weight 96
repweight97,replicate weight 97
repweight98,replicate weight 98
repweight99,replicate weight 99
repweight100,replicate weight 100
repweight101,replicate weight 101
repweight102,replicate weight 102
repweight103,replicate weight 103
repweight104,replicate weight 104
repweight105,replicate weight 105
repweight106,replicate weight 106
repweight107,replicate weight 107
repweight108,replicate weight 108
repweight109,replicate weight 109
repweight110,replicate weight 110
repweight111,replicate weight 111
repweight112,replicate weight 112
repweight113,replicate weight 113
repweight114,replicate weight 114
repweight115,replicate weight 115
repweight116,replicate weight 116
repweight117,replicate weight 117
repweight118,replicate weight 118
repweight119,replicate weight 119
repweight120,replicate weight 120
repweight121,replicate weight 121
repweight122,replicate weight 122
repweight123,replicate weight 123
repweight124,replicate weight 124
repweight125,replicate weight 125
repweight126,replicate weight 126
repweight127,replicate weight 127
repweight128,replicate weight 128
