Variable,Description
year,year
stateabbr,state abbreviation
statedesc,state name
locationname,incorporated or census designated place name
datasource,data source
category,topic
measure,measure full name
data_value_unit,"the unit, such as ""%"" for percentage"
data_value_type,"the data type, such as age-adjusted prevalence or crude prevalence"
data_value,"data value, such as 14.7"
data_value_footnote_symbol,footnote symbol
data_value_footnote,footnote text
low_confidence_limit,low confidence limit
high_confidence_limit,high confidence limit
totalpop18plus,total population 18 and plus of census 2020
totalpopulation,total population of census 2020
geolocation,"latitude, longitude of city centroid (format: point(longitude latitude))"
locationid,place fips
categoryid,identifier for topic/category
measureid,measure identifier
datavaluetypeid,identifier for the data value type
short_question_text,measure short name
