Variable,Description
provider_id,the 6-digit identification number for the skilled nursing facility on the claim.
facility_name,"the skilled nursing facility name, as reported in the pos file."
street_address,"the skilled nursing facility address, as reported in the pos file."
city,"the city where the skilled nursing facility is located, as reported in the pos file."
state,"the state where the skilled nursing facility is located, as reported in pos file. the fifty u.s. states and the district of columbia are reported by the state postal abbreviation."
zip_code,"the skilled nursing facility’s zip code, as reported in the pos file."
total_stays,total number of skilled nursing facility stays.
distinct_beneficiaries_per_provider,"number of distinct medicare beneficiaries with at least one skilled nursing facility day per provider. a beneficiary will only be counted once per provider, but may be double-counted across providers."
average_length_of_stays_days,"average lenth of stay, in days, for all medicare beneficiaries with at least one stay in the skilled nursing facility in the year."
total_snf_charge_amount,total of the charges that the skilled nursing facility submitted for all medicare stays in the year.
total_snf_medicare_allowed_amount,"total medicare allowed amount for all medicare stays in the year. this figure is the sum of the amount medicare pays, the deductible and coinsurance amounts that the beneficiary is responsible for paying, and any amounts that a third party is responsible for paying."
total_snf_medicare_payment_amount,total amount that medicare paid for all medicare stays in the year after deductible and coinsurance amounts have been deducted.
total_snf_medicare_standard_payment_amount,"total amount that medicare paid for all medicare stays in the year after deductible and coinsurance amounts have been deducted, adjusted for geographic differences in payment rates."
average_age,average age of beneficiaries. beneficiary age is calculated at the end of the calendar year or at the time of death.
male_beneficiaries,number of male beneficiaries.
female_beneficiaries,number of female beneficiaries.
nondual_beneficiaries,number of medicare beneficiaries qualified to receive medicare only benefits. beneficiaries are classified as medicare only entitlement if they received zero months of any medicaid benefits (full or partial) in the given calendar year.
dual_beneficiaries,number of medicare beneficiaries qualified to receive medicare and medicaid benefits. beneficiaries are classified as medicare and medicaid entitlement if in any month in the given calendar year they were receiving full or partial medicaid benefits.
white_beneficiaries,number of non-hispanic white beneficiaries.
black_beneficiaries,number of non-hispanic black or african american beneficiaries.
asian_pacific_islander_beneficiaries,number of asian pacific islander beneficiaries.
hispanic_beneficiaries,number of hispanic beneficiaries.
american_indian_or_alaska_native_beneficiaries,number of american indian or alaska native beneficiaries.
other_unknown_beneficiaries,number of beneficiaries with race not elsewhere classified.
average_hcc_score,average hierarchical condition category (hcc) risk score of beneficiaries. please refer to the “additional information” section of the methodology document for more details on hcc risk scores.
percent_of_beneficiaries_with_atrial_fibrillation,percent of beneficiaries meeting the ccw chronic condition algorithm for atrial fibrillation.
percent_of_beneficiaries_with_alzheimers,"percent of beneficiaries meeting the ccw chronic condition algorithm for alzheimer’s, related disorders, or dementia."
percent_of_beneficiaries_with_asthma,percent of beneficiaries meeting the ccw chronic condition algorithm for asthma.
percent_of_beneficiaries_with_cancer,"percent of beneficiaries meeting the ccw chronic condition algorithms for cancer. includes breast cancer, colorectal cancer, lung cancer and prostate cancer."
percent_of_beneficiaries_with_chf,percent of beneficiaries meeting the ccw chronic condition algorithm for heart failure.
percent_of_beneficiaries_with_chronic_kidney_disease,percent of beneficiaries meeting the ccw chronic condition algorithm for chronic kidney disease.
percent_of_beneficiaries_with_copd,percent of beneficiaries meeting the ccw chronic condition algorithm for chronic obstructive pulmonary disease.
percent_of_beneficiaries_with_depression,percent of beneficiaries meeting the ccw chronic condition algorithm for depression.
percent_of_beneficiaries_with_diabetes,percent of beneficiaries meeting the ccw chronic condition algorithm for diabetes.
percent_of_beneficiaries_with_hyperlipidemia,percent of beneficiaries meeting the ccw chronic condition algorithm for hyperlipidemia.
percent_of_beneficiaries_with_hypertension,percent of beneficiaries meeting the ccw chronic condition algorithm for hypertension.
percent_of_beneficiaries_with_ihd,percent of beneficiaries meeting the ccw chronic condition algorithm for ischemic heart disease.
percent_of_beneficiaries_with_osteoporosis,percent of beneficiaries meeting the ccw chronic condition algorithm for osteoporosis.
percent_of_beneficiaries_with_ra_oa,percent of beneficiaries meeting the ccw chronic condition algorithm for rheumatoid arthritis/osteoarthritis.
percent_of_beneficiaries_with_schizophrenia,percent of beneficiaries meeting the ccw chronic condition algorithm for schizophrenia and other psychotic disorders.
percent_of_beneficiaries_with_stroke,percent of beneficiaries meeting the ccw chronic condition algorithm for stroke.
