Variable,Description
rectype,file type identifier
srvy_yr,year of native hawaiian and pacific islander survey (nhpi)
hhx,household number
fmx,family number
wtfa_fam,weight - final annual
fint_y_p,year interview completed - year
fint_m_p,date of interview - month
teln_flg,supplied telephone number
curwrkn,working phone inside home
telceln,working cell phone in family
wrkcelnp,number of working cell phones
phoneuse,received calls cell/landline/both
flngintv,language of interview
fm_type,family type
fm_strn,family structure
fm_educn,education of adult with highest education in family
fchlmyn,any children under age 5 in family with play limitations?
fspedyn,any children in family receive special education/eis?
flaadlyn,any family member need help with an adl?
fliadlyn,any family member need help with an iadl?
fwklimyn,any family member have work limitations due to a health problem?
fwalkyn,any family member have difficulty walking without equipment?
frememyn,any family member limited by difficulty remembering?
fanylyn,is any family member limited in any way?
fsrunout,worried food would run out before got money to buy more
fslast,food did not last before had money to get more
fsbalanc,could not afford to eat balanced meals
fsskip,cut size or skipped meals because not enough money
fsskdayr,number of days cut size or skipped meals recode
fsless,eat less than felt should because not enough money
fshungry,hungry but did not eat because not enough money
fsweight,lose weight because not enough money for food
fsnoteat,not eat for a whole day because not enough money for food
fsnedayr,number of days did not eat recode
fdmedyn,"any family member delay seeking medical care, 12m?"
fnmedyn,"any family member need and not get medical care, 12m?"
fhosp2yn,"any family member in hospital overnight, 12m?"
fhchmyn,"any family member receive home care, 2wk?"
fhcphryn,"any family member get advice/test results over the phone, 2wk?"
fhcdvyn,"any family member have an office visit, etc., 2wk"
f10dvyn,"any family member receive care 10+ times, 12m?"
fhicovyn,any family member have health insurance coverage?
fprcooh,any persons covered living outside of the household
covconf,confidence in obtaining affordable coverage
fhicost,cost of family medical/dental care in the past 12 months
fmedbill,problems paying or unable to pay any medical bills
fmedbpay,medical bills being paid off over time
fmedbnop,unable to pay medical bills
fsaf,family has a flexible spending account
fsalyn,any family member receive income from wages or salary?
fseincyn,any family member receive income from self-employment?
fssrryn,any family member receive social security or railroad retirement income?
fpensyn,any family members receive disability pensions (see file layout)
fopensyn,any family member receive other survivor or retirement pensions?
fssiyn,any family member receive income from ssi?
ftanfyn,any family member receive income from a state or county welfare program?
fowbenyn,any family member receive other kind of welfare assistance?
fintr1yn,"any family member receive income from interest bearing accounts, funds, etc.?"
fdivdyn,"any family member receive dividends from stocks, etc.?"
fchspyn,any family member receive child support income?
fincotyn,any family member receive income from any other source?
incgrp4,total combined family income (grouped)
incgrp5,total combined family income (grouped)
rat_cat4,ratio of family income to the poverty threshold
rat_cat5,ratio of family income to the poverty threshold
houseown,home tenure status
fgah,paying lower rent due to government program
fssaplyn,any family member ever apply for ssi?
fsdaplyn,any family member ever apply for ssdi?
fsnap,any family member receive food stamp/snap benefits last calendar year?
fsnapmyr,"number of months family received food stamps/snap benefits, last calendar year"
fwicyn,any family member receiving wic benefits?
