Variable,Description
caseid,case identification number
state,state abbreviations
detox,offer detoxification (q.1)
treatmt,offer substance abuse treatment (q.1)
ownershp,ownership (q.7)
fedown,federal government agency (q.7a)
hospital,located in/operated by hospital (q.8)
locs,hospital type (q.8a)
assessment,number of assessment services offered (q.10)
testing,number of testing services offered (q.10)
transition,number of transition services offered (q.10)
ancillary,number of ancillary services offered (q.10)
other_srvc,number of other services offered (q.10)
srvc75,ancillary residential beds for children (q.10)
srvc71,pharmacotherapies - naltrexone (q.10)
srvc108,pharmacotherapies - vivitrol® (q.10)
srvc85,pharmacotherapies - methadone (q.10)
srvc87,pharmacotherapies - buprenorphine with naloxone (suboxone) (q.10)
srvc86,pharmacotherapies - buprenorphine without naloxone (q.10)
otp,operate an opioid treatment program (q.11)
otpall,all clients in otp (q.11a)
opioidmaint,maintenance services with methadone or buprenorphine (q.11b)
opioidwdraw,maintenance services with medically supervised withdrawal after
opioiddetox,detoxification services with methadone or burprenorphine (q.11b)
opioidnal,relapse prevention with naltrexone (vivitrol®) (q.11b)
compsat,use frequency of computerized substance abuse treatment (q.13)
dui_dwi,program for dui/dwi/other offenders (q.14)
onlydui,all substance abuse treatment clients identifying as dui/dwi offenders
signlang,treatment in sign language - y/n (q.15)
lang,treatment in language other than english - y/n (q.16)
lang16,do staff counselors provide substance abuse treatment in spanish
lang1,treatment in hopi (q.16b)
lang2,treatment in lakota (q.16b)
lang3,treatment in navajo (q.16b)
lang21,treatment in ojibwa (q.16b)
lang4,treatment in yupik (q.16b)
lang5,treatment in other american indian/alaska native language (q.16b)
lang6,treatment in arabic (q.16b)
lang7,treatment in chinese (q.16b)
lang8,treatment in creole (q.16b)
lang24,treatment in farsi (q.16b)
lang9,treatment in french (q.16b)
lang10,treatment in german (q.16b)
lang22,treatment in greek (q.16b)
lang25,treatment in hebrew (q.16b)
lang26,treatment in hindi (q.16b)
lang11,treatment in hmong (q.16b)
lang19,treatment in italian (q.16b)
lang23,treatment in japanese (q.16b)
lang12,treatment in korean (q.16b)
lang13,treatment in polish (q.16b)
lang14,treatment in portuguese (q.16b)
lang15,treatment in russian (q.16b)
lang20,treatment in tagalog (q.16b)
lang17,treatment in vietnamese (q.16b)
lang18,treatment in other language (q.16b)
srvc30,specific program/group for adolescents (q.17a)
srvc34,specific program/group for adult women (q.17a)
srvc33,specific program/group for pregnant/postpartum women (q.17a)
srvc64,specific program/group for adult men (q.17a)
srvc63,specific program/group for seniors (q.17a)
srvc62,specific program/group for clients who identified as
srvc113,specific program/group for veterans (q.17a)
srvc114,specific program/group for active duty military (q.17a)
srvc115,specific program/group for military families (q.17a)
srvc61,specific program/group for criminal justice clients (q.17a)
srvc31,specific program/group for co-occurring substance abuse and mental
srvc32,specific program/group for persons with hiv/aids (q.17a)
srvc116,specific program/group for persons who have experienced trauma
ctype4,hospital inpatient substance abuse care offered (q.18)
ctypehi1,hospital inpatient detoxification care offered (q.18a)
ctypehi2,hospital inpatient treatment care offered (q.18a)
ctype7,non-hospital residential substance abuse care offered (q.19)
ctyperc1,non-hospital residential detoxification care offered (q.19a)
ctyperc3,non-hospital residential short-term treatment offered (q.19a)
ctyperc4,non-hospital residential long-term treatment offered (q.19a)
ctype1,any outpatient substance abuse care offered (q.20)
ctype6,outpatient detoxification care offered (q.20a)
ctypeml,outpatient methadone maintenance care offered (q.20a)
ctypeop,day treatment/partial hospital offered (q.20a)
ctype2,intensive outpatient treatment offered (q.20a)
ctype3,regular outpatient treatment offered (q.20a)
feescale,uses sliding fee scale (q.24)
payasst,offers no charge or free treatment (q.25)
earmark,"receive any federal, state, county, or local funds (q.25)"
revchk3,free treatment to all clients (q.27)
revchk1,accepts cash or self-payment (q.26)
revchk8,accepts medicare payments (q.26)
revchk5,accepts medicaid payments (q.26)
revchk10,accepts state financed health insurance (q.26)
revchk15,accepts federal military insurance (q.26)
revchk2,accepts private health insurance (q.26)
revchk17,accepts ihs/638 contract care funds (q.26)
hinum,total number of hospital inpatients - for otp facilities (q.18b)
hinum,total number of hospital inpatients - for dui_dwi facilities (q.18b)
hinum,total number of hospital inpatients - for non-otp and non-dui_dwi
rcnum,total number of residential clients - for otp facilities (q.19b)
rcnum,total number of residential clients - for dui_dwi facilities (q.19b)
rcnum,total number of residential clients - for non-otp and non-dui_dwi
opnum,total number of outpatient clients - for otp facilities (q.20b)
opnum,total number of outpatient clients - for dui_dwi facilities (q.20b)
opnum,total number of outpatient clients - for non-otp and non-dui_dwi
loc5,"setting, halfway house (q.28)"
licen,licensed/certified/accredited by hospital or state authority (q.30)
accred,licensed/certified/accredited by jcaho/carf/ncqa/coa/hfap (q.30)
