Variable,Description
censustract,census tract
county,county
groupquartersflag,"group quarters, tract with high share"
hunvflag,"vehicle access, tract with low vehicle access"
la1and10,low access tract at 1 mile for urban areas or 10 miles for rural areas
la1and20,low access tract at 1 mile for urban areas or 20 miles for rural areas
lahalfand10,low access tract at 1/2 mile for urban areas or 10 miles for rural areas
lahunv1,"vehicle access, housing units without and low access at 1 mile, number"
lahunv10,"vehicle access, housing units without and low access at 10 miles, number"
lahunv10share,"vehicle access, percentage of housing units without and low access at 10 miles"
lahunv1share,"vehicle access, housing units without and low access at 1 mile, share"
lahunv20,"vehicle access, housing units without and low access at 20 miles, number"
lahunv20share,"vehicle access, housing units without and low access at 20 miles, share"
lahunvhalf,"vehicle access, housing units without and low access at 1/2 mile, number"
lahunvhalfshare,"vehicle access, housing units without and low access at 1/2 mile, share"
lakids1,"low access, children age 0-17 at 1 mile, number"
lakids10,"low access, children age 0-17 at 10 miles, number"
lakids10share,"low access, children age 0-17 at 10 miles, share"
lakids1share,"low access, children age 0-17 at 1 mile, share"
lakids20,"low access, children age 0-17 at 20 miles, number"
lakids20share,"low access, children age 0-17 at 20 miles, share"
lakidshalf,"low access, children age 0-17 at 1/2 mile, number"
lakidshalfshare,"low access, children age 0-17 at 1/2 mile, share"
lalowi1,"low access, low-income people at 1 mile, number"
lalowi10,"low access, low-income people at 10 miles, number"
lalowi10share,"low access, low-income people at 10 miles, share"
lalowi1share,"low access, low-income people at 1 mile, share"
lalowi20,"low access, low-income people at 20 miles, number"
lalowi20share,"low access, low-income people at 20 miles, share"
lalowihalf,"low access, low-income people at 1/2 mile, number"
lalowihalfshare,"low access, low-income people at 1/2 mile, share"
lapop1,"low access, people at 1 mile, number"
lapop10,"low access, people at 10 miles, number"
lapop10share,"low access, people at 10 miles, share"
lapop1share,"low access, people at 1 mile, share"
lapop20,"low access, people at 20 miles, number"
lapop20share,"low access, people at 20 miles, share"
lapophalf,"low access, people at 1/2 mile, number"
lapophalfshare,"low access, people at 1/2 mile, share"
laseniors1,"low access, seniors age 65+ at 1 mile, number"
laseniors10,"low access, seniors age 65+ at 10 miles, number"
laseniors10share,"low access, seniors age 65+ at 10 miles, share"
laseniors1share,"low access, seniors age 65+ at 1 mile, share"
laseniors20,"low access, seniors age 65+ at 20 miles, number"
laseniors20share,"low access, seniors age 65+ at 20 miles, share"
laseniorshalf,"low access, seniors age 65+ at 1/2 mile, number"
laseniorshalfshare,"low access, seniors age 65+ at 1/2 mile, share"
latracts_half,low access tract at 1/2 mile
latracts1,low access tract at 1 mile
latracts10,low access tract at 10 miles
latracts20,low access tract at 20 miles
latractsvehicle_20,low access tract using vehicle access and at 20 miles in rural areas
lilatracts_1and10,low income and low access measured at 1 and 10 miles
lilatracts_1and20,low income and low access measured at 1 and 20 miles
lilatracts_halfand10,low income and low access measured at 1/2 and 10 miles
lilatracts_vehicle,low income and low access using vehicle access
lowincometracts,low income tract
numgqtrs,"group quarters, tract population residing in, number"
ohu2010,"housing units, total"
pctgqtrs,"group quarters, tract population residing in, share"
pop2010,"population, tract total"
rural,rural tract
state,state
uatyp10,census urban area
urban,urban tract
