Variable,Description
acedeprs,"live with anyone depressed, mentally ill, or suicidal?"
acedivrc,were your parents divorced/seperated?
acedrink,live with a problem drinker/alcoholic?
acedrugs,live with anyone who used illegal drugs or abused prescriptions?
acehurt,how often did a parent physically hurt you in any way?
acehvsex,how often did anyone ever force you to have sex?
aceprisn,live with anyone who served time in prison or jail?
acepunch,how often did your parents beat each other up?
aceswear,how often did a parent swear at you?
acetouch,how often did anyone ever touch you sexually?
acetthem,how often did anyone make you touch them sexually?
addepev2,ever told you had a depressive disorder
adltchld,which household member was selected to be the focus of the callback.
age,reported age in years
alcday5,days in past 30 had alcoholic beverage
asactlim,activities limited due to asthma during past 12 months
asattack,asthma during past 12 months
asdrvist,urgent asthma treatment during past 12 months
aservist,emergency asthma care during past 12 months
asinhalr,times used asthma inhaler during an attack in past 30 days
asnoslep,sleep difficulty due to asthma during past 30 days
asrchkup,routine asthma care during past 12 months
asthma3,ever told had asthma
asthmage,age at asthma diagnosis
asthmed3,days used prescribed preventative asthma med in past 30 days
asthnow,still have asthma
asymptom,asthma symptoms during past 30 days
avedrnk2,avg alcoholic drinks per day in past 30
bldstool,ever had blood stool test using home kit
bldsugar,how often check blood for glucose
cadult,are you 18 years of age or older?
callback,asthma follow-up call back request
casthdx2,hlth pro ever said child has asthma
casthno2,child still have asthma?
cclghous,do you live in college housing?
cellfon,cellular telephone
cellfon2,is this a cellular telephone?
chccopd1,"(ever told) you have (copd) chronic obstructive pulmonary disease, emphysema or chronic bronchitis?"
chckidny,(ever told) you have kidney disease?
chcocncr,(ever told) you had any other types of cancer?
chcscncr,(ever told) you had skin cancer?
chcvisn1,"do you have any trouble seeing, even when wearing glasses or contact lenses?"
checkup1,length of time since last routine checkup
childage,child age
children,number of children in household
chkhemo3,times checked for glycosylated hemoglobin
cncrage,age told had cancer
cncrdiff,how many types of cancer?
cncrtyp1,type of cancer
colghous,do you live in college housing?
copddoc,have you seen doctor about shortness of breath?
copdhosp,been to e.r. or hospital because of copd?
copdmeds,how many medications do you take for copd?
copdqol,does shortness of breath affect quality of life?
copdtest,ever had a breathing test to diagnose your copd?
cpdemo1,do you have a cell phone for personal use?
