Variable,Descriptions
statecode,State FIPS Code
countycode,County FIPS Code
fipscode,5-digit FIPS Code
state,State Abbreviation
county,Name
year,Release Year
county_ranked,County Ranked (Yes=1/No=0)
v001_rawvalue,Premature death raw value
v001_numerator,Premature death numerator
v001_denominator,Premature death denominator
v001_cilow,Premature death CI low
v001_cihigh,Premature death CI high
v001_flag,Premature death flag (0 = No Flag/1=Unreliable/2=Suppressed)
v001_race_aian,Premature death (AIAN)
v001_race_aian_cilow,Premature death CI low (AIAN)
v001_race_aian_cihigh,Premature death CI high (AIAN)
v001_race_aian_flag,Premature death flag (AIAN) (. = No Flag/1=Unreliable/2=Suppressed)
v001_race_asian,Premature death (Asian/Pacific Islander)
v001_race_asian_cilow,Premature death CI low (Asian/Pacific Islander)
v001_race_asian_cihigh,Premature death CI high (Asian/Pacific Islander)
v001_race_asian_flag,Premature death flag (Asian/Pacific Islander) (. = No Flag/1=Unreliable/2=Suppressed)
v001_race_black,Premature death (Black)
v001_race_black_cilow,Premature death CI low (Black)
v001_race_black_cihigh,Premature death CI high (Black)
v001_race_black_flag,Premature death flag (Black) (. = No Flag/1=Unreliable/2=Suppressed)
v001_race_hispanic,Premature death (Hispanic)
v001_race_hispanic_cilow,Premature death CI low (Hispanic)
v001_race_hispanic_cihigh,Premature death CI high (Hispanic)
v001_race_hispanic_flag,Premature death flag (Hispanic) (. = No Flag/1=Unreliable/2=Suppressed)
v001_race_white,Premature death (White)
v001_race_white_cilow,Premature death CI low (White)
v001_race_white_cihigh,Premature death CI high (White)
v001_race_white_flag,Premature death flag (White) (. = No Flag/1=Unreliable/2=Suppressed)
v002_rawvalue,Poor or fair health raw value
v002_numerator,Poor or fair health numerator
v002_denominator,Poor or fair health denominator
v002_cilow,Poor or fair health CI low
v002_cihigh,Poor or fair health CI high
v036_rawvalue,Poor physical health days raw value
v036_numerator,Poor physical health days numerator
v036_denominator,Poor physical health days denominator
v036_cilow,Poor physical health days CI low
v036_cihigh,Poor physical health days CI high
v042_rawvalue,Poor mental health days raw value
v042_numerator,Poor mental health days numerator
v042_denominator,Poor mental health days denominator
v042_cilow,Poor mental health days CI low
v042_cihigh,Poor mental health days CI high
v037_rawvalue,Low birthweight raw value
v037_numerator,Low birthweight numerator
v037_denominator,Low birthweight denominator
v037_cilow,Low birthweight CI low
v037_cihigh,Low birthweight CI high
v037_flag,LBW unreliable indicator (Unreliable = Numerator < 20 or relative standard error > 20%)
v037_race_aian,Low birthweight (AIAN)
v037_race_aian_cilow,Low birthweight CI low (AIAN)
v037_race_aian_cihigh,Low birthweight CI high (AIAN)
v037_race_asian,Low birthweight (Asian/Pacific Islander)
v037_race_asian_cilow,Low birthweight CI low (Asian/Pacific Islander)
v037_race_asian_cihigh,Low birthweight CI high (Asian/Pacific Islander)
v037_race_black,Low birthweight (Black)
v037_race_black_cilow,Low birthweight CI low (Black)
v037_race_black_cihigh,Low birthweight CI high (Black)
v037_race_hispanic,Low birthweight (Hispanic)
v037_race_hispanic_cilow,Low birthweight CI low (Hispanic)
v037_race_hispanic_cihigh,Low birthweight CI high (Hispanic)
v037_race_white,Low birthweight (White)
v037_race_white_cilow,Low birthweight CI low (White)
v037_race_white_cihigh,Low birthweight CI high (White)
v009_rawvalue,Adult smoking raw value
v009_numerator,Adult smoking numerator
v009_denominator,Adult smoking denominator
v009_cilow,Adult smoking CI low
v009_cihigh,Adult smoking CI high
v011_rawvalue,Adult obesity raw value
v011_numerator,Adult obesity numerator
v011_denominator,Adult obesity denominator
v011_cilow,Adult obesity CI low
v011_cihigh,Adult obesity CI high
v133_rawvalue,Food environment index raw value
v133_numerator,Food environment index numerator
v133_denominator,Food environment index denominator
v133_cilow,Food environment index CI low
v133_cihigh,Food environment index CI high
v070_rawvalue,Physical inactivity raw value
v070_numerator,Physical inactivity numerator
v070_denominator,Physical inactivity denominator
v070_cilow,Physical inactivity CI low
v070_cihigh,Physical inactivity CI high
v132_rawvalue,Access to exercise opportunities raw value
v132_numerator,Access to exercise opportunities numerator
v132_denominator,Access to exercise opportunities denominator
v132_cilow,Access to exercise opportunities CI low
v132_cihigh,Access to exercise opportunities CI high
v049_rawvalue,Excessive drinking raw value
v049_numerator,Excessive drinking numerator
v049_denominator,Excessive drinking denominator
v049_cilow,Excessive drinking CI low
v049_cihigh,Excessive drinking CI high
v134_rawvalue,Alcohol-impaired driving deaths raw value
v134_numerator,Alcohol-impaired driving deaths numerator
v134_denominator,Alcohol-impaired driving deaths denominator
v134_cilow,Alcohol-impaired driving deaths CI low
v134_cihigh,Alcohol-impaired driving deaths CI high
v045_rawvalue,Sexually transmitted infections raw value
v045_numerator,Sexually transmitted infections numerator
v045_denominator,Sexually transmitted infections denominator
v045_cilow,Sexually transmitted infections CI low
v045_cihigh,Sexually transmitted infections CI high
v014_rawvalue,Teen births raw value
v014_numerator,Teen births numerator
v014_denominator,Teen births denominator
v014_cilow,Teen births CI low
v014_cihigh,Teen births CI high
v014_race_aian,Teen births (AIAN)
v014_race_aian_cilow,Teen births CI low (AIAN)
v014_race_aian_cihigh,Teen births CI high (AIAN)
v014_race_asian,Teen births (Asian/Pacific Islander)
v014_race_asian_cilow,Teen births CI low (Asian/Pacific Islander)
v014_race_asian_cihigh,Teen births CI high (Asian/Pacific Islander)
v014_race_black,Teen births (Black)
v014_race_black_cilow,Teen births CI low (Black)
v014_race_black_cihigh,Teen births CI high (Black)
v014_race_hispanic,Teen births (Hispanic)
v014_race_hispanic_cilow,Teen births CI low (Hispanic)
v014_race_hispanic_cihigh,Teen births CI high (Hispanic)
v014_race_white,Teen births (White)
v014_race_white_cilow,Teen births CI low (White)
v014_race_white_cihigh,Teen births CI high (White)
v085_rawvalue,Uninsured raw value
v085_numerator,Uninsured numerator
v085_denominator,Uninsured denominator
v085_cilow,Uninsured CI low
v085_cihigh,Uninsured CI high
v004_rawvalue,Primary care physicians raw value
v004_numerator,Primary care physicians numerator
v004_denominator,Primary care physicians denominator
v004_cilow,Primary care physicians CI low
v004_cihigh,Primary care physicians CI high
v004_other_data_1,Ratio of population to primary care physicians.
v088_rawvalue,Dentists raw value
v088_numerator,Dentists numerator
v088_denominator,Dentists denominator
v088_cilow,Dentists CI low
v088_cihigh,Dentists CI high
v088_other_data_1,Ratio of population to dentists.
v062_rawvalue,Mental health providers raw value
v062_numerator,Mental health providers numerator
v062_denominator,Mental health providers denominator
v062_cilow,Mental health providers CI low
