Variable,Description
anyins,health insurance offered to any employees
bonsamt,how much are person's bonuses
bonsunit,period which bonuses are based on
businc,business incorporated
commamt,how much are person's commissions
communit,period which commissions are based on
daywage,person's daily wage rate
diffplns,choice of different health insurance plans
diffwage,any change in wage amount
duid,panel # + encrypted du identifier
dupersid,person id (duid+pid)
earnbons,person earns bonuses
earncomm,person earns commission
earntips,person earns tips
emplins,has health insurance thru current main job
emplunionprov,employer or union is primary health insurer
estbidx,establishment identifier
estbthru,"offered insurance, did not take (review)"
estmate1_m19,categorical approximate establishment size
grosspay,person's salary before taxes (gross)
grossper,period in which gross salary was earned
hhmember_m18,any other hh member wrk at this business
hidisavw,capi q where health insur thru emp/union disavowed
howpaid,how is person paid
hrlywage,how much person makes per hour
hrs35wk,works at least 35 hours per week
hrsalbas,hours per week salary based on
hrsprdy,number of hours person worked in one day
hrsprwk,number of hours worked per week
indcodex,condensed industry code
insestb,insurance offered to any employees (review)
inunion,belongs to labor union
jobhashi,has health insurance thru job
jobidx,person's unique job identifier
jobnum,unique du-job identifier
jobsidx,job-round identifier
jobtype,self-employed or works for someone else
jstopm,job stop date - month
jstopy,job stop date - year
jstrtm,job start date - month
jstrty,job start date - year
main_job,still main job or business
makeamt,how much money does person make
more10,person makes more or less than $10/hour
more15,person makes more or less than $15/hour
moreloc,employer has more than one location
moreminm,person makes more or less than min. wage
nowtakei,now offered and take insurance
nowtakei_m22,now has health insurance through employer
numemps,establishment size at not self-employed job
occcodex,condensed occupation code
offrdins,offered insurance but chose not to take
offtakei,offered insurance and now take
origrnd,round job first reported
panel,panel to which jobholder belongs
paydrvst,has paid sick leave for doc visit thru job
payvactn,has paid vacation leave thru job
perunit_m18,period for which person is paid
pid,person number
propriet,proprietorship or partnership
provdins,"is health ins provided by employer, union or both"
retirjob,person retired from this job
retirpln,has pension/retirement plan thru job
rn,round
rvwtotnumemp,establishment size at continuing self-employed job
salaried,"person salaried, paid by hour, some other way"
salrywks,number of weeks per year salary is based
sesnljob,job is available certain time of year
sickpay,has paid sick leave thru job
stillat,still works at main job establishment
stillworkftpt,still works full or part time
stillwrk,still works at misc job establishment
subtype,job sub-type
tempjob,job at employer is temporary
tipsamt,how much are person's tips
tipsunit_m18,period which tip earnings are based on
totlemp_m18,current establishment size at self-employed job
totnumemp,establishment size at new self-employed job
typechgd,job sub-type changed between rounds
typeempl,employee type
why_left_m18,reason why no longer at job now
whychngfttopt,why change full to part time
whychngpttoft,why change part to full time
wklyamt,usual weekly gross income at misc job
yleft_m18,reason why no longer at job
ynobusn_m18,reason why no longer has business
