Variable,Description
cenglprg,enrolled in language program
hhtotalxx,total people in household
hhbrosx,brothers
hhsissx,sisters
hhmom,mothers
hhdad,fathers
hhauntsx,aunts
hhunclsx,uncles
hhgmasx,grandmothers
hhgpasx,grandfathers
hhcsnsx,cousins
hhprtnrsx,parent’s girlfriend/boyfriend/partner
hhorelsx,other relatives
hhonrelsx,other non - relatives
relation,relation to child
hhenglish,language spoken at home - english
hhspanish,language spoken at home - spanish
hhfrench,language spoken at home - french
hhchinese,language spoken at home - chinese
hhothlang,language spoken at home - other
p1rel,relation of first parent/guardian to child
p1sex,first parent/guardian sex
p1mrsta,first parent/guardian marital status
p1bfgf,first parent/guardian living with partner
p1frlng,first parent/guardian first language
p1speak,language spoken most often at home by first parent/guardian
p1diffi,first parent/guardian difficulty participating in child’s school due to language
p1scint,interpreters at school for first parent/guardian
p1wrmtl,written materials at school in first parent/guardian native language
p1plcbrth,first parent/guardian born in u.s
p1agemv,age of first parent/guardian when first moved to us
p1hispan,"first parent/guardian of spanish, hispanic, or latino origin"
p1amind,first parent/guardian race - american indian or alaska native
p1asian,first parent/guardian race - asian
p1black,first parent/guardian race - black or african american
p1paci,first parent/guardian race - native hawaiian or other pacific islander
p1white,first parent/guardian race - white
p1hisprm,"first parent/guardian race - hispanic, race not reported"
p1educ,first parent/guardian highest grade level completed
p1enrl,first parent/guardian attending school
p1empl,first parent/guardian employment status
p1hrswk,first parent/guardian hours worked per week
p1lkwrk,first parent/guardian looking for work
p1mthswrk,first parent/guardian months worked
p1age,first parent/guardian age
p2guard,second parent/guardian
p2rel,relation of second parent/guardian to child
p2sex,second parent/guardian sex
p2mrsta,second parent/guardian marital status
p2bfgf,second parent/guardian living with partner
p2frlng,second parent/guardian first language
p2speak,language spoken most often at home by second parent/guardian
p2diffi,second parent/guardian difficulty participating in child’s school due to language
p2scint,interpreters at school for second parent/guardian
p2wrmtl,written materials at school in second parent/guardian native language
p2plcbrth,second parent/guardian born in u.s.
p2agemv,age of second parent/guardian when first moved to us
p2hispan,"second parent/guardian of spanish, hispanic, or latino origin"
p2amind,second parent/guardian race - american indian or alaska native
p2asian,second parent/guardian race - asian
p2black,second parent/guardian race - black or african american
p2paci,second parent/guardian race - native hawaiian or other pacific islander
p2white,second parent/guardian race - white
p2hisprm,"second parent/guardian race - hispanic, race not reported"
p2educ,second parent/guardian highest grade level completed
p2enrl,second parent/guardian attending school
p2empl,second parent/guardian employment status
p2hrswk,second parent/guardian hours worked per week
p2lkwrk,second parent/guardian looking for work
p2mthswrk,second parent/guardian months worked
p2age,second parent/guardian age
hwelftanst,received tanf in past 12 months
hwic,received wic in past 12 months
hfoodst,received food stamps in past 12 months
hmedicaid,received medicaid in past 12 months
hchip,received chip in past 12 months
hsecn8,received section 8 in past 12 months
ttlhhinc,total income
ownrnthb,own/rent house
hvintspho,internet access on cell phone
hvintcom,internet access on computer or tablet
chldnt,child use of internet for learning at home
lrncomp,learning activities on computer
lrntab,learning activities on tablet
lrncell,learning activities on cell phone
sefuturex,expectations for child’s future education
dsblty,d - child currently has disability
par1educ,d - educational attainment of child’s first parent or guardian
par1empl,d - work status of child’s first parent or guardian
par1ftfy,d - first parent or guardian works full time
par1marst,d - first parent or guardian marital status
par1type,d - specific relationship of first parent or guardian to child
par1fstgn,d - first parent or guardian first generation immigrant status
par2educ,d - educational attainment of child’s second parent or guardian
par2empl,d - work status of child’s second parent or guardian
par2ftfy,d - second parent or guardian works full time
par2marst,d - second parent or guardian marital status
par2type,d - specific relationship of second parent or guardian to child
par2fstgn,d - second parent or guardian first generation immigrant status
hhparn19x,d - parental structure of household
hhparn19_brd,d - household has second parent or guardian
numsibsx,d - number of child’s siblings
family19x,d - family type with parents
family19_brd,d - family type with adults
hhundr6x,d - number of children younger than age 6
hhundr10x,d - number of children younger than age 10
hhundr16x,d - number of children younger than age 16
hhundr18x,d - number of children younger than age 18
hhunid,"d - other household member, not identified"
languagex,d - english spoken most by parents
pargradex,d - parent/guardian highest education
raceeth,d - race and ethnicity of child
raceeth2,d - detailed race and ethnicity of child
intacc,d - household has internet access
cenreg,d - census region where child lives
zip18po2,d - percent of families in zip code with children under 18 below the poverty line
zipblhi2,d - percent of persons in zip code who were black or hispanic
ziplocl,d - zip code classification by community type
s19chart,"d - school charter, magnet/regular public, other on ccd"
s19numst,d - total school enrollment of students on ccd/pss
s19pbpv,d - school is public or private on ccd/pss
s19type,d - type of school on ccd/pss
schlgrad,d - child’s school level classification on ccd/pss
englspanx,d - questionnaire in english or spanish
age2018,"d - age of child as of dec 31, 2018"
modecomp,d - completed on web or paper
chage1,d - age of 1st nonsampled child
chage2,d - age of 2nd nonsampled child
chage3,d - age of 3rd nonsampled child
chage4,d - age of 4th nonsampled child
chsex1,d - sex of 1st nonsampled child
chsex2,d - sex of 2nd nonsampled child
chsex3,d - sex of 3rd nonsampled child
chsex4,d - sex of 4th nonsampled child
chenrl1,d - enrollment status of 1st nonsampled child
chenrl2,d - enrollment status of 2nd nonsampled child
chenrl3,d - enrollment status of 3rd nonsampled child
chenrl4,d - enrollment status of 4th nonsampled child
chgrd1,d - grade of 1st nonsampled child
chgrd2,d - grade of 2nd nonsampled child
chgrd3,d - grade of 3rd nonsampled child
chgrd4,d - grade of 4th nonsampled child
ppsu,psu for taylor series var est
pstratum,stratum for taylor series var est
fpwt,final intv weight
fpwt1,"final intv replicate weight, fpwt1"
fpwt2,"final intv replicate weight, fpwt2"
fpwt3,"final intv replicate weight, fpwt3"
fpwt4,"final intv replicate weight, fpwt4"
fpwt5,"final intv replicate weight, fpwt5"
fpwt6,"final intv replicate weight, fpwt6"
fpwt7,"final intv replicate weight, fpwt7"
fpwt8,"final intv replicate weight, fpwt8"
fpwt9,"final intv replicate weight, fpwt9"
fpwt10,"final intv replicate weight, fpwt10"
fpwt11,"final intv replicate weight, fpwt11"
fpwt12,"final intv replicate weight, fpwt12"
fpwt13,"final intv replicate weight, fpwt13"
fpwt14,"final intv replicate weight, fpwt14"
fpwt15,"final intv replicate weight, fpwt15"
fpwt16,"final intv replicate weight, fpwt16"
fpwt17,"final intv replicate weight, fpwt17"
fpwt18,"final intv replicate weight, fpwt18"
fpwt19,"final intv replicate weight, fpwt19"
fpwt20,"final intv replicate weight, fpwt20"
fpwt21,"final intv replicate weight, fpwt21"
fpwt22,"final intv replicate weight, fpwt22"
fpwt23,"final intv replicate weight, fpwt23"
fpwt24,"final intv replicate weight, fpwt24"
fpwt25,"final intv replicate weight, fpwt25"
fpwt26,"final intv replicate weight, fpwt26"
fpwt27,"final intv replicate weight, fpwt27"
fpwt28,"final intv replicate weight, fpwt28"
fpwt29,"final intv replicate weight, fpwt29"
fpwt30,"final intv replicate weight, fpwt30"
fpwt31,"final intv replicate weight, fpwt31"
fpwt32,"final intv replicate weight, fpwt32"
fpwt33,"final intv replicate weight, fpwt33"
fpwt34,"final intv replicate weight, fpwt34"
fpwt35,"final intv replicate weight, fpwt35"
fpwt36,"final intv replicate weight, fpwt36"
fpwt37,"final intv replicate weight, fpwt37"
fpwt38,"final intv replicate weight, fpwt38"
fpwt39,"final intv replicate weight, fpwt39"
fpwt40,"final intv replicate weight, fpwt40"
fpwt41,"final intv replicate weight, fpwt41"
fpwt42,"final intv replicate weight, fpwt42"
fpwt43,"final intv replicate weight, fpwt43"
fpwt44,"final intv replicate weight, fpwt44"
fpwt45,"final intv replicate weight, fpwt45"
fpwt46,"final intv replicate weight, fpwt46"
fpwt47,"final intv replicate weight, fpwt47"
fpwt48,"final intv replicate weight, fpwt48"
fpwt49,"final intv replicate weight, fpwt49"
fpwt50,"final intv replicate weight, fpwt50"
fpwt51,"final intv replicate weight, fpwt51"
fpwt52,"final intv replicate weight, fpwt52"
fpwt53,"final intv replicate weight, fpwt53"
fpwt54,"final intv replicate weight, fpwt54"
fpwt55,"final intv replicate weight, fpwt55"
fpwt56,"final intv replicate weight, fpwt56"
fpwt57,"final intv replicate weight, fpwt57"
fpwt58,"final intv replicate weight, fpwt58"
fpwt59,"final intv replicate weight, fpwt59"
fpwt60,"final intv replicate weight, fpwt60"
fpwt61,"final intv replicate weight, fpwt61"
fpwt62,"final intv replicate weight, fpwt62"
fpwt63,"final intv replicate weight, fpwt63"
fpwt64,"final intv replicate weight, fpwt64"
fpwt65,"final intv replicate weight, fpwt65"
fpwt66,"final intv replicate weight, fpwt66"
fpwt67,"final intv replicate weight, fpwt67"
fpwt68,"final intv replicate weight, fpwt68"
fpwt69,"final intv replicate weight, fpwt69"
fpwt70,"final intv replicate weight, fpwt70"
fpwt71,"final intv replicate weight, fpwt71"
fpwt72,"final intv replicate weight, fpwt72"
fpwt73,"final intv replicate weight, fpwt73"
fpwt74,"final intv replicate weight, fpwt74"
fpwt75,"final intv replicate weight, fpwt75"
fpwt76,"final intv replicate weight, fpwt76"
fpwt77,"final intv replicate weight, fpwt77"
fpwt78,"final intv replicate weight, fpwt78"
fpwt79,"final intv replicate weight, fpwt79"
fpwt80,"final intv replicate weight, fpwt80"
f_allgradex,imputation flag for allgradex
f_edcpub,imputation flag for edcpub
f_edccat,imputation flag for edccat
f_edcrel,imputation flag for edcrel
f_edcpri,imputation flag for edcpri
f_edcintk12,imputation flag for edcintk12
f_edcintcol,imputation flag for edcintcol
f_edccol,imputation flag for edccol
f_edchsfl,imputation flag for edchsfl
f_homeschlx,imputation flag for homeschlx
f_hmscharr,imputation flag for hmscharr
f_hscoop,imputation flag for hscoop
f_hswhox,imputation flag for hswhox
f_hstutor,imputation flag for hstutor
f_hsintnet,imputation flag for hsintnet
f_onlnap,imputation flag for onlnap
f_onlnsc,imputation flag for onlnsc
f_onlneh,imputation flag for onlneh
f_onlnls,imputation flag for onlnls
f_onlnpr,imputation flag for onlnpr
f_onlnhs,imputation flag for onlnhs
f_onlnoth,imputation flag for onlnoth
f_onlbully,imputation flag for onlbully
f_onlhlth,imputation flag for onlhlth
f_onlspnds,imputation flag for onlspnds
f_onlavdpub,imputation flag for onlavdpub
f_hsimponli,imputation flag for hsimponli
f_hsintpub,imputation flag for hsintpub
f_hsintpri,imputation flag for hsintpri
f_hsintcol,imputation flag for hsintcol
f_hsintvrt,imputation flag for hsintvrt
f_hsintcmp,imputation flag for hsintcmp
f_hsintk12,imputation flag for hsintk12
f_hsintind,imputation flag for hsintind
f_hsintoh,imputation flag for hsintoh
f_hsintnum,imputation flag for hsintnum
f_hsintfee,imputation flag for hsintfee
f_hsinthrs,imputation flag for hsinthrs
f_hsstyl,imputation flag for hsstyl
f_hskactiv,imputation flag for hskactiv
f_hsintlib,imputation flag for hsintlib
f_hsintcat,imputation flag for hsintcat
f_hsintrel,imputation flag for hsintrel
f_hsintsch,imputation flag for hsintsch
f_hsintfrwb,imputation flag for hsintfrwb
f_hsintweb,imputation flag for hsintweb
f_hsintoth,imputation flag for hsintoth
f_hsclibrx,imputation flag for hsclibrx
f_hschspubx,imputation flag for hschspubx
f_hschsrelx,imputation flag for hschsrelx
f_hscpublx,imputation flag for hscpublx
f_hsccnvx,imputation flag for hsccnvx
f_hscevtx,imputation flag for hscevtx
f_hscfmly,imputation flag for hscfmly
f_hscoth,imputation flag for hscoth
f_hscours,imputation flag for hscours
f_homekx,imputation flag for homekx
f_home1,imputation flag for home1
f_home2,imputation flag for home2
f_home3,imputation flag for home3
f_home4,imputation flag for home4
f_home5,imputation flag for home5
f_home6,imputation flag for home6
f_home7,imputation flag for home7
f_home8,imputation flag for home8
f_home9,imputation flag for home9
f_home10,imputation flag for home10
f_home11,imputation flag for home11
f_home12,imputation flag for home12
f_hssafetyx,imputation flag for hssafetyx
f_hsdissatx,imputation flag for hsdissatx
f_hsrelgon,imputation flag for hsrelgon
f_hsmoral,imputation flag for hsmoral
f_hsdisablx,imputation flag for hsdisablx
f_hsillx,imputation flag for hsillx
f_hsspclndx,imputation flag for hsspclndx
f_hsaltx,imputation flag for hsaltx
f_hsfmly,imputation flag for hsfmly
f_hsotherx,imputation flag for hsotherx
f_hsbully,imputation flag for hsbully
f_hsmostx,imputation flag for hsmostx
f_hsassnx,imputation flag for hsassnx
f_hsfreqx,imputation flag for hsfreqx
f_hsnatl,imputation flag for hsnatl
f_hsmlty,imputation flag for hsmlty
f_hsenrl,imputation flag for hsenrl
f_distassi,imputation flag for distassi
f_schrtschl,imputation flag for schrtschl
f_schlmagnet,imputation flag for schlmagnet
f_sneighbrx,imputation flag for sneighbrx
f_scchoice,imputation flag for scchoice
f_spubchoix,imputation flag for spubchoix
f_sconsidr,imputation flag for sconsidr
f_locale,imputation flag for locale
f_schlsafety,imputation flag for schlsafety
f_schlstfquality,imputation flag for schlstfquality
f_availcourse,imputation flag for availcourse
f_xtracurric,imputation flag for xtracurric
f_studntchar,imputation flag for studntchar
f_studntperform,imputation flag for studntperform
f_religsor,imputation flag for religsor
f_specaledservs,imputation flag for specaledservs
f_specalfacilts,imputation flag for specalfacilts
f_clssize,imputation flag for clssize
f_schlcost,imputation flag for schlcost
f_findschl,imputation flag for findschl
f_findfrnd,imputation flag for findfrnd
f_findfam,imputation flag for findfam
f_findnews,imputation flag for findnews
f_findrpt,imputation flag for findrpt
f_findweb,imputation flag for findweb
f_findads,imputation flag for findads
f_findfly,imputation flag for findfly
f_findstf,imputation flag for findstf
f_findchrc,imputation flag for findchrc
f_findoth,imputation flag for findoth
f_s1stchoi,imputation flag for s1stchoi
f_ssamsc,imputation flag for ssamsc
f_schlhrswk,imputation flag for schlhrswk
f_eintnet,imputation flag for eintnet
f_advccrse,imputation flag for advccrse
f_spclcrse,imputation flag for spclcrse
f_mkupcrse,imputation flag for mkupcrse
f_addcrse,imputation flag for addcrse
f_help,imputation flag for help
f_conflct,imputation flag for conflct
f_disablx,imputation flag for disablx
f_tempill,imputation flag for tempill
f_spclnd,imputation flag for spclnd
f_lrnstyle,imputation flag for lrnstyle
f_nochoice,imputation flag for nochoice
f_schlplce,imputation flag for schlplce
f_onlinepref,imputation flag for onlinepref
f_onlineoth,imputation flag for onlineoth
f_mostimpt,imputation flag for mostimpt
f_spbsch,imputation flag for spbsch
f_sprivt,imputation flag for sprivt
f_sunivsch,imputation flag for sunivsch
f_scyber,imputation flag for scyber
f_scompany,imputation flag for scompany
f_sothrsch,imputation flag for sothrsch
f_stutr,imputation flag for stutr
f_sothsch,imputation flag for sothsch
f_intnum,imputation flag for intnum
f_sinstfee,imputation flag for sinstfee
f_inthrs,imputation flag for inthrs
f_seenjoy,imputation flag for seenjoy
f_segrades,imputation flag for segrades
f_seadplcxx,imputation flag for seadplcxx
f_sebehavx,imputation flag for sebehavx
f_seschwrk,imputation flag for seschwrk
f_segbehav,imputation flag for segbehav
f_segwork,imputation flag for segwork
f_seabsnt,imputation flag for seabsnt
f_serepeat,imputation flag for serepeat
f_sereptk,imputation flag for sereptk
f_serept1,imputation flag for serept1
f_serept2,imputation flag for serept2
f_serept3,imputation flag for serept3
f_serept4,imputation flag for serept4
f_serept5,imputation flag for serept5
f_serept6,imputation flag for serept6
f_serept7,imputation flag for serept7
f_serept8,imputation flag for serept8
f_serept9,imputation flag for serept9
f_serept10,imputation flag for serept10
f_serept11,imputation flag for serept11
f_serept12,imputation flag for serept12
f_sesusout,imputation flag for sesusout
f_sesuspin,imputation flag for sesuspin
f_seexpel,imputation flag for seexpel
f_segradeq,imputation flag for segradeq
f_fssportx,imputation flag for fssportx
f_fsvol,imputation flag for fsvol
f_fsmtng,imputation flag for fsmtng
f_fsptmtng,imputation flag for fsptmtng
f_fsatcnfn,imputation flag for fsatcnfn
f_fsfundrs,imputation flag for fsfundrs
f_fscommte,imputation flag for fscommte
f_fscounslr,imputation flag for fscounslr
f_fsfreq,imputation flag for fsfreq
f_fsnotesx,imputation flag for fsnotesx
f_fsmemo,imputation flag for fsmemo
f_fsphonchx,imputation flag for fsphonchx
f_fsspperf,imputation flag for fsspperf
f_fssphw,imputation flag for fssphw
f_fsspcour,imputation flag for fsspcour
f_fssprole,imputation flag for fssprole
f_fsspcoll,imputation flag for fsspcoll
f_fcschool,imputation flag for fcschool
f_fcteachr,imputation flag for fcteachr
f_fcstds,imputation flag for fcstds
f_fcorder,imputation flag for fcorder
f_fcsupprt,imputation flag for fcsupprt
f_fhhome,imputation flag for fhhome
f_fhwkhrs,imputation flag for fhwkhrs
f_fhamount,imputation flag for fhamount
f_fhcamt,imputation flag for fhcamt
f_fhplace,imputation flag for fhplace
f_fhcheckx,imputation flag for fhcheckx
f_fhhelp,imputation flag for fhhelp
f_fostory2x,imputation flag for fostory2x
f_focrafts,imputation flag for focrafts
f_fogames,imputation flag for fogames
f_fobuildx,imputation flag for fobuildx
f_fosport,imputation flag for fosport
f_forespon,imputation flag for forespon
f_fohistx,imputation flag for fohistx
f_fodinnerx,imputation flag for fodinnerx
f_folibrayx,imputation flag for folibrayx
f_fobookstx,imputation flag for fobookstx
f_foconcrtx,imputation flag for foconcrtx
f_fomuseumx,imputation flag for fomuseumx
f_fozoox,imputation flag for fozoox
f_fogroupx,imputation flag for fogroupx
f_fosprtevx,imputation flag for fosprtevx
f_hdhealth,imputation flag for hdhealth
f_hdintdis,imputation flag for hdintdis
f_hdspeechx,imputation flag for hdspeechx
f_hddistrbx,imputation flag for hddistrbx
f_hddeafimx,imputation flag for hddeafimx
f_hdblindx,imputation flag for hdblindx
f_hdorthox,imputation flag for hdorthox
f_hdautismx,imputation flag for hdautismx
f_hdpddx,imputation flag for hdpddx
f_hdaddx,imputation flag for hdaddx
f_hdlearnx,imputation flag for hdlearnx
f_hddelayx,imputation flag for hddelayx
f_hdtrbrain,imputation flag for hdtrbrain
f_hdotherx,imputation flag for hdotherx
f_hdiepx,imputation flag for hdiepx
f_hdcommux,imputation flag for hdcommuxx
f_hdspcled,imputation flag for hdspcled
f_hdlearn,imputation flag for hdlearn
f_hdplay,imputation flag for hdplay
f_hdout,imputation flag for hdout
f_hdfrnds,imputation flag for hdfrnds
f_cdobmm,imputation flag for cdobmm
f_cdobyy,imputation flag for cdobyy
f_cplcbrth,imputation flag for cplcbrth
f_cmoveage,imputation flag for cmoveage
f_chispan,imputation flag for chispan
f_camind,imputation flag for camind
