Variable,Description
objectid_1 ,object id_1
objectid ,object id
geoid ,geographic identifier - fully concatenated geographic code (state fips and district number)
state ,census 2-digit fips state code
county ,census 5-digit fips county code
tract ,census 11-digit fips tract code
stusab ,state abbreviation
blockgroup ,block group
households ,number of households
area_media ,area median income
blkgrp_med ,block group median income (homeowners)
blkgrp_m_1 ,block group median income (renters)
avg_hh_siz ,average homeowner household size
avg_hh_s_1 ,average renter household size
commuters_ ,average commuters per homeowner household
commuter_1 ,average commuters per renter household
pct_renter ,percent of units occupied by renters
gross_hh_d ,households per acre
median_roo ,median rooms per unit for homeowners
median_r_1 ,median rooms per unit for renters
pct_detatc ,percent of units that are single-family detached
median_com ,median commute distance
block_dens ,blocks per acre
employment ,employment access index
local_job_ ,local job density (overall)
local_reta ,local job density (retail)
retail_acc ,retail access index
hh_type1_i ,hh profile 1 income
hh_type1_s ,hh profile 1 size
hh_type1_w ,hh profile 1 number of commuters
hh_type1_h ,hh profile 1 estimated housing+transportation costs % of income
hh_type1_1 ,hh profile 1 estimated housing costs % of income
hh_type1_t ,hh profile 1 estimated transportation costs % of income
hh_type1_a ,hh profile 1 estimated autos owned
hh_type1_v ,hh profile 1 estimated annual vmt
hh_type1_2 ,hh profile 1 estimated annual transit trips
hh_type1_3 ,hh profile 1 estimated housing+transportation costs % of income (owners)
hh_type1_4 ,hh profile 1 estimated housing costs % of income (owners)
hh_type1_5 ,hh profile 1 estimated transportation costs % income (owners)
hh_type1_6 ,hh profile 1 estimated autos owned (owners)
hh_type1_7 ,hh profile 1 estimated annual vmt (owners)
hh_type1_8 ,hh profile 1 estimated annual transit trips (owners)
hh_type1_9 ,hh profile 1 estimated housing+transportation costs % of income (renters)
hh_type110 ,hh profile 1 estimated housing costs % of income (renters)
hh_type111 ,hh profile 1 estimated transportation costs % of income (renters)
hh_type112 ,hh profile 1 estimated autos owned (renters)
hh_type113 ,hh profile 1 estimated annual vmt (renters)
hh_type114 ,hh profile 1 estimated annual transit trips (renters)
hh_type2_i ,hh profile 2 income
hh_type2_s ,hh profile 2 size
hh_type2_w ,hh profile 2 number of commuters
hh_type2_h ,hh profile 2 estimated housing+transportation costs % of income
hh_type2_1 ,hh profile 2 estimated housing costs % of income
hh_type2_t ,hh profile 2 estimated transportation costs % of income
hh_type2_a ,hh profile 2 estimated autos owned
hh_type2_v ,hh profile 2 estimated annual vmt
hh_type2_2 ,hh profile 2 estimated annual transit trips
hh_type2_3 ,hh profile 2 estimated housing+transportation costs % of income (owners)
hh_type2_4 ,hh profile 2 estimated housing costs % of income (owners)
hh_type2_5 ,hh profile 2 estimated transportation costs % income (owners)
hh_type2_6 ,hh profile 2 estimated autos owned (owners)
hh_type2_7 ,hh profile 2 estimated annual vmt (owners)
hh_type2_8 ,hh profile 2 estimated annual transit trips (owners)
hh_type2_9 ,hh profile 2 estimated housing+transportation costs % of income (renters)
hh_type210 ,hh profile 2 estimated housing costs % of income (renters)
hh_type211 ,hh profile 2 estimated transportation costs % of income (renters)
