Variable,Description
year,year
stateabbr,state abbreviation
statedesc,state name
cityname,city name
geographiclevel,identifies either city level or tract level
datasource,data source
category,topic
uniqueid,"at city-level, it is the fips code of cityfips. for tract-level data, it is a combined id of cityfips and tractfips for tracts within the respective city with the exception of honolulu, which only uses tractfips"
measure,measure full name
data_value_unit,"the data value unit, such as ""%"" for percentage"
datavaluetypeid,identifier for the data value type
data_value_type,"the data type, such as age-adjusted prevalence or crude prevalence"
data_value,"data value, such as 14.7"
data_value_footnote_symbol,footnote symbol
data_value_footnote,footnote text
low_confidence_limit,low confidence limit
high_confidence_limit,high confidence limit
population2010,population count from census 2010
geolocation,"latitude, longitude of city or census tract centroid"
categoryid,identifier for topic/category
measureid,measure identifier
cityfips,fips code
tractfips,fips code
short_question_text,measure short name
