Variable,Description
mprid,master id generated case (record) identifier
insu,facility is included in the substance use i-tf
inmh,facility is included in the mental health i-tf
locationstate,facility state
locationstate,facility state
focus,primary treatment focus (q.1)
sutrtmntalso,offered substance use treatment also (q.1a)
jail,"jail, prison, or other (q.2)"
othnontx,offered intake/assessment/referral (q.a1)
detox,offered detoxification (q.a1)
treatmt_su,offered substance use treatment (q.a1)
smisedsud_su,"offered co-occurring serious mental illness (smi)/serious emotional disturbance (sed)
and substance use disorder (sud) (q.a1)"
admin,any other substance use services offered (q.a1)
mhtxsa,offers mental health treatment to substance use clients (q.a1a)
mhtxnonsa,offers mental health treatment to non-substance use clients (q.a1a)
nomhtx,offers no mental health treatment (q.a1a)
detxalc,detoxify from alcohol (q.a2)
detxben,detoxify from benzodiazepines (q.a2)
detxcoc,detoxify from cocaine (q.a2)
detxmet,detoxify from methamphetamines (q.a2)
detxop,detoxify from opioids (q.a2)
detxoth,detoxify from other substances (q.a2)
detxmed,routinely uses detoxification with medications (q.a2a)
loc15_su,solo practice (q.a3)
ctype4,hospital inpatient substance use care offered currently (q.a4)
ctypehi1,hospital inpatient detoxification care offered (q.a4a)
ctypehi2,hospital inpatient treatment care offered (q.a4a)
ctype7,non-hospital residential substance use care offered currently (q.a5)
ctyperc1,non-hospital residential detoxification care offered (q.a5a)
ctyperc3,non-hospital residential short-term treatment offered (q.a5a)
ctyperc4,non-hospital residential long-term treatment offered (q.a5a)
ctype1,any outpatient substance use care offered currently (q.a6)
ctype6,outpatient detoxification offered (q.a6a)
ctypeml,outpatient methadone maintenance offered (q.a6a)
ctypeop,day treatment/partial hospitalization offered (q.a6a)
ctype2,intensive outpatient treatment offered (q.a6a)
ctype3,regular outpatient treatment offered (q.a6a)
srvc89,assessment screening substance use (q.a7)
srvc90,assessment screening mental disorders (q.a7)
srvc1,assessment comprehensive substance use (q.a7)
srvc2,assessment mental health (q.a7)
srvccompexam,complete medical history and physical examination done (q.a7)
srvc107,assessment screening tobacco use (q.a7)
srvc91,assessment outreach (q.a7)
srvc93,assessment interim services (q.a7)
srvcedcon,assessment professional consultant (q.a7)
nopretxsrvc,none of the above assessment or pretreatment services (q.a7)
srvcoral,testing drug/alcohol oral fluid (q.a7)
srvc10,testing blood/alcohol (q.a7)
srvc11,testing drug/alcohol urine screen (q.a7)
srvc73,testing hepatitis b (hbv) (q.a7)
srvc74,testing hepatitis c (hcv) (q.a7)
srvc14,testing hiv (q.a7)
srvc15,testing sexually transmitted disease (std) (q.a7)
