Variable,Description
peridnum,22-digit unique person identifier
ph_seq,household seq number
p_seq,sequence number of person in hhld
a_lineno,roster line number
pf_seq,pointer to the sequence number of family record in household (related subfamilies point to primary family)
phf_seq,pointer to the sequence number of own family record in household. (care should be exercised when using these data as the related subfamilies are a part of the primary family and usually their characteristics come from the primary family record)
oed_typ1,source 1 other than gi bill received (oed_typ1- source of other government assistance)
oed_typ2,"source 2 other than gi bill received (oed_typ2- scholarships, grants etc. from the school)"
oed_typ3,"source other than gi bill received (oed_typ3- other assistance (employers friends, etc.)"
perrp,expanded relationship categories
pxrrp,allocation flag for perrp
pxmaritl,allocation flag for a_maritl
pxrace1,allocation flag for prdtrace
pehspnon,"are you spanish, hispanic, or latino?"
pxhspnon,allocation flag for pehspnon
peafever,did you ever serve on active duty in the u.s. armed forces?
pxafever,allocation flag for peafever
peafwhn1,when did you serve?
pxafwhn1,allocation flag for peafwhn1
peafwhn2,when did you serve?
peafwhn3,when did you serve?
peafwhn4,when did you serve?
pxspouse,allocation flag for a_spouse
penatvty,in what country were you born?
pxnatvty,allocation flag for penatvty
pemntvty,in what country was your mother born?
pxmntvty,allocation flag for pemntvty
pefntvty,in what country was your father born?
pxfntvty,allocation flag for pefntvty
peinusyr,when did you come to the u.s. to stay?
pxinusyr,allocation flag for peinusyr
pepar1,line number of parent 1
pxpar1,demographics allocation flag for pepar1
pepar2,line number of parent 2
pxpar2,allocation flag for pepar2
pepar1typ,demographics type of parent 1 (pepar1)
pxpar1typ,allocation flag for pepar1typ
pepar2typ,demographics type of parent 2 (pepar2)
pxpar2typ,allocation flag for pepar2typ
prdasian,detailed asian subgroup
prdthsp,detailed hispanic recode
prdtrace,race
prpertyp,type of person record recode
prcitflg,allocation flag for prcitshp
prcitshp,citizenship group
pecohab,line number of cohabiting partner
pxcohab,demographics allocation flag for pecohab
peabsrsn,what was the main reason...was absent from work last week?
pehruslt,hours usually worked last week
pemlr,major labor force recode
prdisc,discouraged worker recode
prptrea,detailed reason for part-time
pruntype,reason for unemployment
prwkstat,full/part-time work status
peio1cow,individual class of worker on first job.
prcow1,class of worker recode-job 1
prerelg,earnings eligibility flag
prwernal,allocation flag for a_grswk
prhernal,allocation flag for a_hrspay
prnlfsch,not in labor force (nlf) activity in school or not in school
pedisear,is...deaf or does ...have serious difficulty hearing?
pediseye,is...blind or does...have serious difficulty seeing even when wearing glasses?
pedisrem,"because of a physical, mental, or emotional condition, does...have serious difficulty concentrating, remembering, or making decisions?"
pedisphy,does...have serious difficulty walking or climbing stairs?
pedisdrs,does...have difficulty dressing or bathing?
pedisout,"because of a physical, mental, or emotional condition, does...have difficulty doing errands alone such as visiting a doctor’s office or shopping?"
pxdisear,allocation flag
pxdiseye,allocation flag
pxdisrem,allocation flag
pxdisphy,allocation flag
pxdisdrs,allocation flag
pxdisout,allocation flag
prdisflg,does this person have any of these disability conditions?
pecert1,do you have a currently active professional certification or a state or industry license?
pecert2,"were any of your certifications or licenses issued by the federal, state, or local government?"
pecert3,is your certification required for your job? main job? job from which you are on layoff? job at which you last worked?
pxcert1,allocation flag for pecert1
pxcert2,allocation flag for pecert2
pxcert3,allocation flag for pecert3
a_age,age
a_sex,sex
a_dtind,detailed industry recode see appendix a for list of legal codes
