Column1,entity:A_MainTableDatasets_id,Categories,Data,DataDictionary,FileFormat,Homepage,SizeGb,Source,Sponsor,Year,dataset_name,dataset_title,file_name,,
11,AHS_National_Household_2015,Economic Stability,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/EconomicStability/AHS 2015 National PUF v3.1 household.csv,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/EconomicStability/2015_AHS_Table_Specifications.xlsx,CSV,https://www.census.gov/programs-surveys/ahs/data/2015/ahs-2015-public-use-file--puf-/ahs-2015-national-public-use-file--puf-.html,0.491,AHS,HUD,2015,ahs_national_household_2015,AHS National Household 2015,ahs_national_household_2015.csv,key_ahs_national_household_2015.csv,done
12,AHS_National_Household_2017,Economic Stability,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/EconomicStability/AHS 2017 National PUF v3.1 household.csv,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/EconomicStability/2017 Table Specifications and PUF Estimates for User Verification.xlsx,CSV,https://www.census.gov/programs-surveys/ahs/data/2017/ahs-2017-public-use-file--puf-/ahs-2017-national-public-use-file--puf-.html,0.463,AHS,HUD,2017,ahs_national_household_2017,AHS National Household 2017,ahs_national_household_2017.csv,key_ahs_national_household_2017.csv,done
13,AHS_National_Household_2019,Economic Stability,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/EconomicStability/AHS 2019 National PUF v1.1 household.csv,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/EconomicStability/2019 AHS Table Specifications and PUF Estimates for User Verification.xlsx,CSV,https://www.census.gov/programs-surveys/ahs/data/2019/ahs-2019-public-use-file--puf-/ahs-2019-national-public-use-file--puf-.html,0.439,AHS,HUD,2019,ahs_national_household_2019,AHS National Household 2019,ahs_national_household_2019.csv,key_ahs_national_household_2019.csv,done
14,AHS_National_Household_2021,Economic Stability,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/EconomicStability/AHS 2021 National PUF v1.0 household.csv,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/EconomicStability/2021 AHS Table Specifications and PUF Estimates for User Verification.xlsx,CSV,https://www.census.gov/programs-surveys/ahs/data/2021/ahs-2021-public-use-file--puf-/ahs-2021-national-public-use-file--puf-.html,0.444,AHS,HUD,2021,ahs_national_household_2021,AHS National Household 2021,ahs_national_household_2021.csv,key_ahs_national_household_2021.csv,done
15,AHS_National_Household_2023,Economic Stability,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/EconomicStability/AHS_2023_National_PUF_v1.0_household.csv,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/EconomicStability/2023_AHS_Table_Specifications_and_PUF_Estimates.xlsx,CSV,https://www.census.gov/programs-surveys/ahs/data/2021/ahs-2021-public-use-file--puf-.html,0.39,AHS,HUD,2023,ahs_national_household_2023,AHS National Household 2023,ahs_national_household_2023.csv,key_ahs_national_household_2023.csv,done
16,AHS_National_Mortage_2015,Economic Stability,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/EconomicStability/AHS 2015 National PUF v3.1 mortgage.csv,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/EconomicStability/2015_AHS_Table_Specifications.xlsx,CSV,https://www.census.gov/programs-surveys/ahs/data/2015/ahs-2015-public-use-file--puf-/ahs-2015-national-public-use-file--puf-.html,0.002,AHS,HUD,2015,ahs_national_mortage_2015,AHS National Mortage 2015,ahs_national_mortage_2015.csv,key_ahs_national_mortage_2015.csv,
17,AHS_National_Mortage_2017,Economic Stability,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/EconomicStability/AHS 2017 National PUF v3.1 mortgage.csv,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/EconomicStability/2017 Table Specifications and PUF Estimates for User Verification.xlsx,CSV,https://www.census.gov/programs-surveys/ahs/data/2017/ahs-2017-public-use-file--puf-/ahs-2017-national-public-use-file--puf-.html,0.002,AHS,HUD,2017,ahs_national_mortage_2017,AHS National Mortage 2017,ahs_national_mortage_2017.csv,key_ahs_national_mortage_2017.csv,
18,AHS_National_Mortage_2019,Economic Stability,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/EconomicStability/AHS 2019 National PUF v1.1 mortgage.csv,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/EconomicStability/2019 AHS Table Specifications and PUF Estimates for User Verification.xlsx,CSV,https://www.census.gov/programs-surveys/ahs/data/2019/ahs-2019-public-use-file--puf-/ahs-2019-national-public-use-file--puf-.html,0.002,AHS,HUD,2019,ahs_national_mortage_2019,AHS National Mortage 2019,ahs_national_mortage_2019.csv,key_ahs_national_mortage_2019.csv,
19,AHS_National_Mortage_2021,Economic Stability,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/EconomicStability/AHS 2021 National PUF v1.0 mortgage.csv,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/EconomicStability/2021 AHS Table Specifications and PUF Estimates for User Verification.xlsx,CSV,https://www.census.gov/programs-surveys/ahs/data/2021/ahs-2021-public-use-file--puf-/ahs-2021-national-public-use-file--puf-.html,0.003,AHS,HUD,2021,ahs_national_mortage_2021,AHS National Mortage 2021,ahs_national_mortage_2021.csv,key_ahs_national_mortage_2021.csv,
20,AHS_National_Mortgage_2023,Economic Stability,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/EconomicStability/AHS_2023_National_PUF_v1.0_mortgage.csv,gs://fc-secure-d6e25d73-4b50-4dbc-ac10-ec689987eaa9/uploads/EconomicStability/2023_AHS_Table_Specifications_and_PUF_Estimates.xlsx,CSV,https://www.census.gov/programs-surveys/ahs/data/2021/ahs-2021-public-use-file--puf-.html,0.002,AHS,HUD,2023,ahs_national_mortgage_2023,AHS National Mortgage 2023,ahs_national_mortgage_2023.csv,key_ahs_national_mortgage_2023.csv,
