Variable,Description
unitid,unique identification number of the institution
xscugrad,imputation field for scugrad - total number of undergraduates - financial aid cohort
scugrad,total number of undergraduates - financial aid cohort
xscugdgsk,imputation field for scugdgsk - total number of degree/certificate-seeking undergraduate students
scugdgsk,total number of degree/certificate-seeking undergraduate students
xscugndgs,imputation field for scugndgs - total number of non-degee/non-certificate seeking undergraduate students
scugndgs,total number of non-degee/non-certificate seeking undergraduate students
xscugffn,imputation field for scugffn - total number of full-time first-time degree/certificate seeking undergraduates - financial aid cohort
scugffn,total number of full-time first-time degree/certificate seeking undergraduates - financial aid cohort
xscugffp,imputation field for scugffp - full-time first-time degree/certificate seeking undergraduates as a percent of all undergraduates - financial aid cohort
scugffp,full-time first-time degree/certificate seeking undergraduates as a percent of all undergraduates - financial aid cohort
xscfa2,imputation field for scfa2 - total number of undergraduates - fall cohort
scfa2,total number of undergraduates - fall cohort
xscfa2dg,imputation field for scfa2dg - total number of degree/certificate-seeking undergraduates - fall cohort
scfa2dg,total number of degree/certificate-seeking undergraduates - fall cohort
xscfa2nd,imputation field for scfa2nd - total number of non-degee/non-certificate seeking undergraduates - fall cohort
scfa2nd,total number of non-degee/non-certificate seeking undergraduates - fall cohort
xscfa1n,imputation field for scfa1n - number of students in fall cohort
scfa1n,number of students in fall cohort
xscfa1p,imputation field for scfa1p - students in fall cohort as a percentage of all undergraduates
scfa1p,students in fall cohort as a percentage of all undergraduates
xscfa11n,imputation field for scfa11n - number of students in fall cohort who are paying in-district tuition rates
scfa11n,number of students in fall cohort who are paying in-district tuition rates
xscfa11p,imputation field for scfa11p - percentage of students in fall cohort who are paying in-district tuition rates
scfa11p,percentage of students in fall cohort who are paying in-district tuition rates
xscfa12n,imputation field for scfa12n - number of students in fall cohort who are paying in-state tuititon rates
scfa12n,number of students in fall cohort who are paying in-state tuititon rates
xscfa12p,imputation field for scfa12p - percentage of students in fall cohort who paying in-state tuition rates
scfa12p,percentage of students in fall cohort who paying in-state tuition rates
xscfa13n,imputation field for scfa13n - number of students in fall cohort who are paying out-of-state tuition rates
scfa13n,number of students in fall cohort who are paying out-of-state tuition rates
xscfa13p,imputation field for scfa13p - percentage of students in fall cohort who are paying out-of-state tuition rates
scfa13p,percentage of students in fall cohort who are paying out-of-state tuition rates
xscfa14n,imputation field for scfa14n - number of students in fall cohort whose residence/tuition rate is unknown
scfa14n,number of students in fall cohort whose residence/tuition rate is unknown
xscfa14p,imputation field for scfa14p - percentage of students in fall cohort whose residence/ tuition rate is unknown
scfa14p,percentage of students in fall cohort whose residence/ tuition rate is unknown
xscfy2,imputation field for scfy2 - total number of undergraduates - full-year cohort
scfy2,total number of undergraduates - full-year cohort
xscfy2dg,imputation field for scfy2dg - total number of degree/certificate-seeking undergraduates - full-year cohort
scfy2dg,total number of degree/certificate-seeking undergraduates - full-year cohort
xscfy2nd,imputation field for scfy2nd - total number of non-degee/non-certificate seeking undergraduates - full-year cohort
scfy2nd,total number of non-degee/non-certificate seeking undergraduates - full-year cohort
xscfy1n,imputation field for scfy1n - number of students in full-year cohort
scfy1n,number of students in full-year cohort
xscfy1p,imputation field for scfy1p - students in full-year cohort as a percentage of all undergraduates
scfy1p,students in full-year cohort as a percentage of all undergraduates
xuagrntn,"imputation field for uagrntn - number of undergraduate students awarded federal, state, local, institutional or other sources of grant aid"
uagrntn,"number of undergraduate students awarded federal, state, local, institutional or other sources of grant aid"
xuagrntp,"imputation field for uagrntp - percent of undergraduate students awarded federal, state, local, institutional or other sources of grant aid"
uagrntp,"percent of undergraduate students awarded federal, state, local, institutional or other sources of grant aid"
xuagrntt,"imputation field for uagrntt - total amount of federal, state, local, institutional or other sources of grant aid awarded to undergraduate students"
uagrntt,"total amount of federal, state, local, institutional or other sources of grant aid awarded to undergraduate students"
xuagrnta,"imputation field for uagrnta - average amount of federal, state, local, institutional or other sources of grant aid awarded to undergraduate students"
uagrnta,"average amount of federal, state, local, institutional or other sources of grant aid awarded to undergraduate students"
xudgagrntn,"imputation field for udgagrntn - number of degree/certificate-seeking undergraduate students awarded federal, state, local, institutional or other sources of grant aid"
udgagrntn,"number of degree/certificate-seeking undergraduate students awarded federal, state, local, institutional or other sources of grant aid"
xudgagrntp,"imputation field for udgagrntp - percent of degree/certificate-seeking undergraduate students awarded federal, state, local, institutional or other sources of grant aid"
udgagrntp,"percent of degree/certificate-seeking undergraduate students awarded federal, state, local, institutional or other sources of grant aid"
xudgagrntt,"imputation field for udgagrntt - total amount of federal, state, local, institutional or other sources of grant aid awarded to degree/certificate-seeking undergraduate students"
udgagrntt,"total amount of federal, state, local, institutional or other sources of grant aid awarded to degree/certificate-seeking undergraduate students"
xudgagrnta,"imputation field for udgagrnta - average amount of federal, state, local, institutional or other sources of grant aid awarded to degree/certificate-seeking undergraduate students"
udgagrnta,"average amount of federal, state, local, institutional or other sources of grant aid awarded to degree/certificate-seeking undergraduate students"
xundagrntn,"imputation field for undagrntn - number of non-degree/non-certificate-seeking undergraduate students awarded federal, state, local, institutional or other sources of grant aid"
undagrntn,"number of non-degree/non-certificate-seeking undergraduate students awarded federal, state, local, institutional or other sources of grant aid"
xundagrntp,"imputation field for undagrntp - percent of non-degree/non-certificate-seeking undergraduate students awarded federal, state, local, institutional or other sources of grant aid"
undagrntp,"percent of non-degree/non-certificate-seeking undergraduate students awarded federal, state, local, institutional or other sources of grant aid"
xundagrntt,"imputation field for undagrntt - total amount of federal, state, local, institutional or other sources of grant aid awarded to non-degree/non-certificate-seeking undergraduates"
undagrntt,"total amount of federal, state, local, institutional or other sources of grant aid awarded to non-degree/non-certificate-seeking undergraduates"
xundagrnta,"imputation field for undagrnta - average amount of federal, state, local, institutional or other sources of grant aid awarded to non-degree/non-certificate-seeking undergraduates"
undagrnta,"average amount of federal, state, local, institutional or other sources of grant aid awarded to non-degree/non-certificate-seeking undergraduates"
xupgrntn,imputation field for upgrntn - number of undergraduate students awarded pell grants
upgrntn,number of undergraduate students awarded pell grants
xupgrntp,imputation field for upgrntp - percent of undergraduate students awarded pell grants
upgrntp,percent of undergraduate students awarded pell grants
xupgrntt,imputation field for upgrntt - total amount of pell grant aid awarded to undergraduate students
upgrntt,total amount of pell grant aid awarded to undergraduate students
xupgrnta,imputation field for upgrnta - average amount pell grant aid awarded to undergraduate students
upgrnta,average amount pell grant aid awarded to undergraduate students
xudgpgrntp,imputation field for udgpgrntp - percent of degree/certificate-seeking undergraduate students awarded federal pell grants
udgpgrntp,percent of degree/certificate-seeking undergraduate students awarded federal pell grants
xufloann,imputation field for ufloann - number of undergraduate students awarded federal student loans
ufloann,number of undergraduate students awarded federal student loans
xufloanp,imputation field for ufloanp - percent of undergraduate students awarded federal student loans
ufloanp,percent of undergraduate students awarded federal student loans
xufloant,imputation field for ufloant - total amount of federal student loans awarded to undergraduate students
ufloant,total amount of federal student loans awarded to undergraduate students
xufloana,imputation field for ufloana - average amount of federal student loans awarded to undergraduate students
ufloana,average amount of federal student loans awarded to undergraduate students
xudgfloanp,imputation field for udgfloanp - percent of degree/certificate-seeking undergraduate students awarded federal student loans
udgfloanp,percent of degree/certificate-seeking undergraduate students awarded federal student loans
xanyaidn,imputation field for anyaidn - number of full-time first-time undergraduates awarded any financial aid
anyaidn,number of full-time first-time undergraduates awarded any financial aid
xanyaidp,imputation field for anyaidp - percent of full-time first-time undergraduates awarded any financial aid
anyaidp,percent of full-time first-time undergraduates awarded any financial aid
xaidfsin,imputation field for aidfsin - number of full-time first-time undergraduates awarded any loans to students or grant aid from federal state/local government or the institution
aidfsin,number of full-time first-time undergraduates awarded any loans to students or grant aid from federal state/local government or the institution
xaidfsip,imputation field for aidfsip - percent of full-time first-time undergraduates awarded any loans to students or grant aid from federal state/local government or the institution
aidfsip,percent of full-time first-time undergraduates awarded any loans to students or grant aid from federal state/local government or the institution
xagrnt_n,"imputation field for agrnt_n - number of full-time first-time undergraduates awarded federal, state, local or institutional grant aid"
agrnt_n,"number of full-time first-time undergraduates awarded federal, state, local or institutional grant aid"
xagrnt_p,"imputation field for agrnt_p - percent of full-time first-time undergraduates awarded federal, state, local or institutional grant aid"
agrnt_p,"percent of full-time first-time undergraduates awarded federal, state, local or institutional grant aid"
xagrnt_t,"imputation field for agrnt_t - total amount of federal, state, local or institutional grant aid awarded to full-time first-time undergraduates"
agrnt_t,"total amount of federal, state, local or institutional grant aid awarded to full-time first-time undergraduates"
xagrnt_a,"imputation field for agrnt_a - average amount of federal, state, local or institutional grant aid awarded"
agrnt_a,"average amount of federal, state, local or institutional grant aid awarded"
xfgrnt_n,imputation field for fgrnt_n - number of full-time first-time undergraduates awarded federal grant aid
fgrnt_n,number of full-time first-time undergraduates awarded federal grant aid
xfgrnt_p,imputation field for fgrnt_p - percent of full-time first-time undergraduates awarded federal grant aid
fgrnt_p,percent of full-time first-time undergraduates awarded federal grant aid
xfgrnt_t,imputation field for fgrnt_t - total amount of federal grant aid awarded to full-time first-time undergraduates
fgrnt_t,total amount of federal grant aid awarded to full-time first-time undergraduates
xfgrnt_a,imputation field for fgrnt_a - average amount of federal grant aid awarded to full-time first-time undergraduates
fgrnt_a,average amount of federal grant aid awarded to full-time first-time undergraduates
xpgrnt_n,imputation field for pgrnt_n - number of full-time first-time undergraduates awarded pell grants
pgrnt_n,number of full-time first-time undergraduates awarded pell grants
xpgrnt_p,imputation field for pgrnt_p - percent of full-time first-time undergraduates awarded pell grants
pgrnt_p,percent of full-time first-time undergraduates awarded pell grants
xpgrnt_t,imputation field for pgrnt_t - total amount of pell grant aid awarded to full-time first-time undergraduates
pgrnt_t,total amount of pell grant aid awarded to full-time first-time undergraduates
xpgrnt_a,imputation field for pgrnt_a - average amount of pell grant aid awarded to full-time first-time undergraduates
pgrnt_a,average amount of pell grant aid awarded to full-time first-time undergraduates
xofgrt_n,imputation field for ofgrt_n - number of full-time first-time undergraduates awarded other federal grant aid
ofgrt_n,number of full-time first-time undergraduates awarded other federal grant aid
xofgrt_p,imputation field for ofgrt_p - percent of full-time first-time undergraduates awarded other federal grant aid
ofgrt_p,percent of full-time first-time undergraduates awarded other federal grant aid
xofgrt_t,imputation field for ofgrt_t - total amount of other federal grant aid awarded to full-time first-time undergraduates
ofgrt_t,total amount of other federal grant aid awarded to full-time first-time undergraduates
xofgrt_a,imputation field for ofgrt_a - average amount of other federal grant aid awarded to full-time first-time undergraduates
ofgrt_a,average amount of other federal grant aid awarded to full-time first-time undergraduates
xsgrnt_n,imputation field for sgrnt_n - number of full-time first-time undergraduates awarded state/local grant aid
sgrnt_n,number of full-time first-time undergraduates awarded state/local grant aid
xsgrnt_p,imputation field for sgrnt_p - percent of full-time first-time undergraduates awarded state/local grant aid
sgrnt_p,percent of full-time first-time undergraduates awarded state/local grant aid
xsgrnt_t,imputation field for sgrnt_t - total amount of state/local grant aid awarded to full-time first-time undergraduates
sgrnt_t,total amount of state/local grant aid awarded to full-time first-time undergraduates
xsgrnt_a,imputation field for sgrnt_a - average amount of state/local grant aid awarded to full-time first-time undergraduates
sgrnt_a,average amount of state/local grant aid awarded to full-time first-time undergraduates
xigrnt_n,imputation field for igrnt_n - number of full-time first-time undergraduates awarded institutional grant aid
