Variable,Description
acceli42,pers eligible for access supplement-r4/2
actdty31,military full-time active duty - r3/1
actdty42,military full-time active duty - r4/2
actdty53,military full-time active duty - r5/3
actlim31,any limitation work/housewrk/schl-rd 3/1
actlim53,any limitation work/housewrk/schl-rd 5/3
adappt42,saq 12 mos: # visits to med off for care
adcape42,saq 4wks: felt calm/peaceful sf-12v2
adclim42,saq: hlth limits climbing stairs sf-12v2
adcmpd42,saq: date completed - day
adcmpm42,saq: date completed - month
adcmpy42,saq: date completed - year
addaya42,saq: hlth limits mod activities sf-12v2
addown42,saq 4wks: felt downhearted/depr sf-12v2
addprs42,saq 2 wks: felt down/depressed/hopeless
addrbp42,saq 2 yrs: dr checked blood pressure
adefrt42,saq 30 days: how oftn evrythng an effort
adegmc42,saq 12mos: easy getting needed med care
adexpl42,saq 12 mos: doc explained so understood
adezun42,saq 12 mos: dr given instr. ez undrstd
adffrm42,saq 12 mos: had to fill out/sign forms
adfhlp42,saq 12 mos: offrd help filling out forms
adgenh42,saq: health in general sf-12v2
adhdaddx,adhdadd diagnosis (5-17)
adhdaged,age of diagnosis-adhd/add
adhecr42,saq 12 mos: rating of health care
adhope42,saq 30 days: how often felt hopeless
adilcr42,saq 12mos: ill/injury needing immed care
adilww42,saq 12 mos: got care when needed ill/inj
adinsa42,saq: do not need health insurance
adinsb42,saq: health insurance not worth cost
adinst42,saq 12 mos: dr gave spcifc instrctns
adintr42,saq 2 wks: little interest in things
adl3mo31,adl help 3+ months - rd 3/1
adl3mo42,adl help 3+ months - rd 4/2
adl3mo53,adl help 3+ months - rd 5/3
adlang42,saq: language of saq interview
adlhlp31,adl screener - rd 3/1
adlhlp42,adl screener - rd 4/2
adlhlp53,adl screener - rd 5/3
adlist42,saq 12 mos: doctor listened to you
admals42,saq 4wks:accmp less b/c mnt prbs sf-12v2
admwlm42,saq 4wks:work limt b/c mnt probs sf-12v2
adndcr42,"saq 12mos: need any care, test, treatmnt"
adnerv42,saq 30 days: how often felt nervous
adnrgy42,saq 4wks: had a lot of energy sf-12v2
adnsmk42,saq 12mos: dr advised to quit smoking
adover42,saq: can overcome ills without med help
adpain42,saq 4wks:pain limits normal work sf-12v2
adpals42,saq 4wks:accmp less b/c phy prbs sf-12v2
adprtm42,saq 12 mos: dr spent enuf time with you
adprx42,saq: relationship of proxy to adult
adpwlm42,saq 4wks:work limt b/c phy probs sf-12v2
adresp42,saq 12 mos: dr showed respect
adrest42,saq 30 days: how often felt restless
adrisk42,saq: more likely to take risks
adrtcr42,saq 12 mos: made appt routine med care
adrtww42,saq 12 mos: got med appt when wanted
adsad42,saq 30 days: how often felt sad
adsmok42,saq: currently smoke
adsoca42,saq 4wks: hlth stopped soc activ sf-12v2
adspec42,saq 12 mos: needed to see specialist
adsprf42,saq 12mos: how esy getting spec referral
adtlhw42,saq 12 mos: dr asked r desc how follow
adupro42,prblm getting along w/adults (5-17)-r4/2
adwrth42,saq 30 days: how often felt worthless
afdc11,did person's check include tanf
afthou42,ac25 how diff contact usc aft hours-r4/2
age11x,age as of 12/31/11 (edited/imputed)
age31x,age - r3/1 (edited/imputed)
age42x,age - r4/2 (edited/imputed)
age53x,age - r5/3 (edited/imputed)
agelast,person's age last time eligible
aidhlp31,used assistive devices - rd 3/1
aidhlp53,used assistive devices - rd 5/3
aliimp11,alimony income imputation flag
alimp11x,person's alimony income
amaexp11,totl ambultry (ob+op) phys ass t exp 11
amamcd11,phys ass t amb vsts-medicaid amt 11
amamcr11,phys ass t amb vsts-medicare amt 11
