Variable,Description
year,year
locationabbr,location abbreviation
locationdesc,location description
datasource,abbreviation of data source name
category,category description
indicator,indicator description
response,indicator response
data_value_unit,the unit for a data value such as %
data_value_type,the data type such as age-adjusted prevalence and prevalence
data_value,the data value such as 14.7
data_value_alt,"equal to data value, but formatting is numeric"
data_value_footnote_symbol,"footnote symbol (i.e., - or *)"
data_value_footnote,footnote text
low_confidence_limit,95% confidence interval lower bound
high_confidence_limit,95% confidence interval upper bound
number,the crude unweighted number of respondents
weightednumber,an adjusted version of the crude number of respondents that reflects the number of persons with the attribute in the population.
stratificationcategory1,"the category of the stratification, such as disability status, disability type, and overall"
stratification1,"stratifications within the stratification category such as any disability, no disability, cognitive disability, mobility disability, vision disability, hearing disability, self-care disability, independent living disability, and overall"
stratificationcategory2,"the category of the stratification such as age, sex, race/ethnicity"
stratification2,"stratification within the statification categories such as 18 -24, 25 - 44, 20 - 44, 21 - 35, 36 - 50, 51 - 65, 50 - 74, 50 - 75,18 - 44, 45-64, 65+, male, female, white, black, hispanic, multirace/other"
categoryid,category identifier
indicatorid,indicator identifier
geolocation,location identifier
locationid,location identifier
responseid,response identifier
datavaluetypeid,identifier for the data value type
stratificationcategoryid1,stratification category 1 identifier
stratificationid1,stratification 1 identifier
stratificationcategoryid2,stratification category 2 identifier
stratificationid2,stratification 2 identifier
rowid,row id
