Variable,Description
geoid,11-digit fip identifier (state + county + tract)
cluster,census region/ division
pden_group_ua,level of urbanicity
est_pmiles2007_11,person miles
est_ptrp2007_11,person trips
est_vmiles2007_11,vehicle miles
est_vtrp2007_11,vehicle trips
median_hh_inc2007_11,household income
mean_hh_veh2007_11,count of household vehicles
mean_hh_mem2007_11,count of household members
pct_owner2007_11,homeowner (percent)
mean_hh_worker2007_11,number of workers
pct_lchd2007_11,life cycle (1+ child <18) (percent)
pct_lhd12007_11,"life cycle ( 1 person household, <65) (percent)"
pct_lhd22007_11,"life cycle (2+ person household, 0 65+) (percent)"
pct_lhd42007_11,"life cycle (2+ person household, 1+ 65+) (percent)"
ptrp_1mem_0veh,person trips assuming 1 person household with 0 vehicles available
ptrp_1mem_1veh,person trips assuming 1 person household with 1 vehicle available
ptrp_1mem_2veh,person trips assuming 1 person household with 2 vehicles available
ptrp_1mem_3veh,person trips assuming 1 person household with 3 vehicles available
ptrp_1mem_4veh,person trips assuming 1 person household with 4 or more vehicles available
ptrp_2mem_0veh,person trips assuming 2 person household with 0 vehicles available
ptrp_2mem_1veh,person trips assuming 2 person household with 1 vehicle available
ptrp_2mem_2veh,person trips assuming 2 person household with 2 vehicles available
ptrp_2mem_3veh,person trips assuming 2 person household with 3 vehicles available
ptrp_2mem_4veh,person trips assuming 2 person household with 4 or more vehicles available
ptrp_3mem_0veh,person trips assuming 3 person household with 0 vehicles available
ptrp_3mem_1veh,person trips assuming 3 person household with 1 vehicle available
ptrp_3mem_2veh,person trips assuming 3 person household with 2 vehicles available
ptrp_3mem_3veh,person trips assuming 3 person household with 3 vehicles available
ptrp_3mem_4veh,person trips assuming 3 person household with 4 or more vehicles available
ptrp_4mem_0veh,person trips assuming 4 person household with 0 vehicles available
ptrp_4mem_1veh,person trips assuming 4 person household with 1 vehicle available
ptrp_4mem_2veh,person trips assuming 4 person household with 2 vehicles available
ptrp_4mem_3veh,person trips assuming 4 person household with 3 vehicles available
ptrp_4mem_4veh,person trips assuming 4 person household with 4 or more vehicles available
ptrp_5mem_0veh,person trips assuming household with 5 or more persons and with 0 vehicles available
ptrp_5mem_1veh,person trips assuming household with 5 or more persons and with 1 vehicle available
ptrp_5mem_2veh,person trips assuming household with 5 or more persons and with 2 vehicles available
ptrp_5mem_3veh,person trips assuming household with 5 or more persons and with 3 vehicles available
ptrp_5mem_4veh,person trips assuming household with 5 or more persons and with 4 or more vehicles available
pmiles_1mem_0veh,person miles assuming 1 person household with 0 vehicles available
pmiles_1mem_1veh,person miles assuming 1 person household with 1 vehicle available
pmiles_1mem_2veh,person miles assuming 1 person household with 2 vehicles available
pmiles_1mem_3veh,person miles assuming 1 person household with 3 vehicles available
pmiles_1mem_4veh,person miles assuming 1 person household with 4 or more vehicles available
pmiles_2mem_0veh,person miles assuming 2 person household with 0 vehicles available
pmiles_2mem_1veh,person miles assuming 2 person household with 1 vehicle available
pmiles_2mem_2veh,person miles assuming 2 person household with 2 vehicles available
pmiles_2mem_3veh,person miles assuming 2 person household with 3 vehicles available
pmiles_2mem_4veh,person miles assuming 2 person household with 4 or more vehicles available
pmiles_3mem_0veh,person miles assuming 3 person household with 0 vehicles available
pmiles_3mem_1veh,person miles assuming 3 person household with 1 vehicle available
pmiles_3mem_2veh,person miles assuming 3 person household with 2 vehicles available
pmiles_3mem_3veh,person miles assuming 3 person household with 3 vehicles available
pmiles_3mem_4veh,person miles assuming 3 person household with 4 or more vehicles available
pmiles_4mem_0veh,person miles assuming 4 person household with 0 vehicles available
pmiles_4mem_1veh,person miles assuming 4 person household with 1 vehicle available
pmiles_4mem_2veh,person miles assuming 4 person household with 2 vehicles available
pmiles_4mem_3veh,person miles assuming 4 person household with 3 vehicles available
pmiles_4mem_4veh,person miles assuming 4 person household with 4 or more vehicles available
pmiles_5mem_0veh,person miles assuming household with 5 or more persons and with 0 vehicles available
pmiles_5mem_1veh,person miles assuming household with 5 or more persons and with 1 vehicle available
pmiles_5mem_2veh,person miles assuming household with 5 or more persons and with 2 vehicles available
pmiles_5mem_3veh,person miles assuming household with 5 or more persons and with 3 vehicles available
pmiles_5mem_4veh,person miles assuming household with 5 or more persons and with 4 or more vehicles available
vtrp_1mem_0veh,vehicle trips assuming 1 person household with 0 vehicles available
vtrp_1mem_1veh,vehicle trips assuming 1 person household with 1 vehicle available
vtrp_1mem_2veh,vehicle trips assuming 1 person household with 2 vehicles available
vtrp_1mem_3veh,vehicle trips assuming 1 person household with 3 vehicles available
vtrp_1mem_4veh,vehicle trips assuming 1 person household with 4 or more vehicles available
vtrp_2mem_0veh,vehicle trips assuming 2 person household with 0 vehicles available
vtrp_2mem_1veh,vehicle trips assuming 2 person household with 1 vehicle available
vtrp_2mem_2veh,vehicle trips assuming 2 person household with 2 vehicles available
vtrp_2mem_3veh,vehicle trips assuming 2 person household with 3 vehicles available
vtrp_2mem_4veh,vehicle trips assuming 2 person household with 4 or more vehicles available
vtrp_3mem_0veh,vehicle trips assuming 3 person household with 0 vehicles available
vtrp_3mem_1veh,vehicle trips assuming 3 person household with 1 vehicle available
vtrp_3mem_2veh,vehicle trips assuming 3 person household with 2 vehicles available
vtrp_3mem_3veh,vehicle trips assuming 3 person household with 3 vehicles available
vtrp_3mem_4veh,vehicle trips assuming 3 person household with 4 or more vehicles available
vtrp_4mem_0veh,vehicle trips assuming 4 person household with 0 vehicles available
vtrp_4mem_1veh,vehicle trips assuming 4 person household with 1 vehicle available
vtrp_4mem_2veh,vehicle trips assuming 4 person household with 2 vehicles available
vtrp_4mem_3veh,vehicle trips assuming 4 person household with 3 vehicles available
vtrp_4mem_4veh,vehicle trips assuming 4 person household with 4 or more vehicles available
vtrp_5mem_0veh,vehicle trips assuming household with 5 or more persons and with 0 vehicles available
vtrp_5mem_1veh,vehicle trips assuming household with 5 or more persons and with 1 vehicle available
vtrp_5mem_2veh,vehicle trips assuming household with 5 or more persons and with 2 vehicles available
vtrp_5mem_3veh,vehicle trips assuming household with 5 or more persons and with 3 vehicles available
vtrp_5mem_4veh,vehicle trips assuming household with 5 or more persons and with 4 or more vehicles available
vmiles_1mem_0veh,vehicle miles assuming 1 person household with 0 vehicles available
vmiles_1mem_1veh,vehicle miles assuming 1 person household with 1 vehicle available
vmiles_1mem_2veh,vehicle miles assuming 1 person household with 2 vehicles available
vmiles_1mem_3veh,vehicle miles assuming 1 person household with 3 vehicles available
vmiles_1mem_4veh,vehicle miles assuming 1 person household with 4 or more vehicles available
vmiles_2mem_0veh,vehicle miles assuming 2 person household with 0 vehicles available
vmiles_2mem_1veh,vehicle miles assuming 2 person household with 1 vehicle available
vmiles_2mem_2veh,vehicle miles assuming 2 person household with 2 vehicles available
vmiles_2mem_3veh,vehicle miles assuming 2 person household with 3 vehicles available
