Variable,Description
basmid,unique child identifier
rcnow,regular care from relative
rcweek,care from relative regularly scheduled
rctype,relative relation to child
rcage,age of relative care provider
rcplace,home for relative care
rctime,time from home to relative’s home
rcdays,days a week child receives care from relative
rchrs,hours a week child receives care from relative
rccvrwk,relative care covers work hours
rcstrty,child’s age when care began from relative (years)
rcstrtm,child’s age when care began from relative (months)
rcspeak,language spoken by relative when caring for child
rcsknfv,relative care for child sick without a fever
rcskfv,relative care for child sick with a fever
rcotch,how many children under relative’s care
rcfee,charge for care by relative
rcrel,outside relative pays for care by relative
rctanf,tanf pays for care by relative
rcssac,other social service pays for care by relative
rcempl,employer pays for care by relative
rcother,someone else pays for care by relative
rccost,amount household pays for care by relative
rcunit,unit of time for cost of relative care
rccsthnx,number of children in household amount covers for relative care
rcothc,other regular relative care arrangements
rctlhr,hours each week spent in other relative care
ncnow,care from non-relative
ncweek,care from non-relative regularly scheduled
ncinhh,care provider live in household
ncplace,home for non-relative care
nctime,time from home to non-relative’s home
ncdays,days a week child receives non-relative care
nchrs,hours each week child receives non-relative care
nccvrwk,non-relative care covers work hours
ncstrty,child’s age when care began from non-relative (years)
ncstrtm,child’s age when care began from non-relative (months)
ncalkne,non-relative care provider already known
ncage,non-relative care provider 18 or older
ncspeak,language spoken by non-relative when caring for child
ncsknfv,non-relative care for child sick without a fever
ncskfv,non-relative care for child sick with a fever
ncotch,how many children under non-relative’s care
ncrcmdpt,recommend non-relative care provider to another
ncfee,charge for care by non-relative
ncrel,relative pays for care by non-relative
nctanf,tanf pays for care by non-relative
ncssac,other social service pays for care by non-relative
ncempl,employer pays for care by non-relative
ncother,someone else pays for care by non-relative
nccost,amount household pays for care by non-relative
ncunit,unit of time for cost of non-relative care
nccsthnx,number of children in household amount covers for non-relative care
ncothc,other regular non-relative care arrangements
nctlhr,total hours per week in care with non-relatives
cpnnowx,attending program not in private home
cpweekx,attend program at least once a week
cpplacex,program location
cpsprlg,program teaches religious content
cpwork,program location at workplace
cpheadst,(early) head start program
cpdays,days each week child attends program
cphrs,hours each week child attends program
cpcvrwk,program covers work hours
cpstrty,age of child when starting program (years)
cpstrtm,age of child when starting program (months)
cpspeak,language spoken by program provider when caring for child
cptime,time from home to program
cprcmdpt,recommend program to another
cptest,"provide hearing, speech, vision testing"
cpphyse,provide physical examinations
cpdenta,provide dental examinations
cpdisab,provide testing for learning problems
cpmedam,provide medication administration
cpsknfv,provide care when child is sick without fever
cpskfv,provide care when child is sick with fever
cpfee,charge for program
cprel,relative pays for program care
cptanf,tanf pays for program care
cpssac,other social service pays for program care
cpempl,employer pays for program care
cpother,someone else pays for program care
cpcost,amount household pays for program care
cpunit,unit of time for cost of program care
cpcsthnx,number of children in household amount covers for program
cpothc,other regular program care arrangements
cptlhr,total hours per week at programs
pcevrhdx,ever attended (early) head start program
mainresn,reason for wanting care
ppchoic,feel good choices for care
crsrch,searched for care
ppdifclt,difficulty finding care
whydifclt,reason finding care was difficult
ccpy,care arrangement in the past year
ccreasn1,main reason household chose care arrangement - code 1
ccreasn2,main reason household chose care arrangement - code 2
ccreasn3,main reason household chose care arrangement - code 3
ccreasn4,main reason household chose care arrangement - code 4
ccreasn5,main reason household chose care arrangement - code 5
dcloa,importance of location
dcost,importance of cost
drely,importance of reliability
dlern,importance of learning activities
dchil,importance of child interaction with other kids
dhrop,importance of caregiver availability
dnbgrp,importance of number of children in group
drtweb,importance of website ratings
drecfam,importance of personal recommendations
dqual,importance of qualifications of staff
drelor,importance of religious orientation
habooks,books child owns
foreadtox,time spent reading to child
forddayx,minutes spent each time reading to child
fostoryx,"in the past week, times child has been told a story"
fowordsx,"in the past week, times child has been taught letters, words, or numbers"
fosang,"in the past week, times sang with child"
focraftsx,"in the past week, time spent on arts and crafts with child"
fodinnerx,times eaten evening meal together
folibray,visited a library in the past month
fobookst,visited a bookstore in the past month
dpiage,child older or younger than 2 years
dpletter,recognize letters of alphabet
dpname,ability to write first name
dpltrsnd,recognize beginning sound of a word
dpexpln,explain things he or she has seen
dpcount,count up to n
dpshape,identify basic shapes
hdhealth,health of child
hdintdis,intellectual disability
hdspeechx,speech or language impairment
hddistrbx,serious emotional disturbance
hddeafimx,deafness or another hearing impairment
hdblindx,blindness or another visual impairment
hdorthox,orthopedic impairment
hdautismx,autism
hdpddx,pervasive developmental disorder
hdaddx,attention deficit disorder
hdlearnx,learning disability
hddelayx,developmental delay
hdtrbrain,traumatic brain injury
hdotherx,another health impairment
hddlyrsk,at-risk for delay
hdifspiep,services provided by isfp or iep
hdcommux,satisfaction with service provider communication
hdspcled,enrollment in special education classes
hdlearn,condition interferes with learning
hdplay,condition interferes with participation in play
hdout,condition interferes with going on outings
hdfrnds,condition interferes with making friends
hdchdcare,condition interferes with ability to attend care
cdobmm,month child born
cdobyy,year child born
cplcbrth,country where child born
cmoveage,age of child when first moved to us
chispan,"child of spanish, hispanic, or latino origin"
camind,child race - american indian or alaska native
casian,child race - asian
cblack,child race - black or african american
cpaci,child race - native hawaiian or other pacific islander
cwhite,child race - white
chisprm,"child race - hispanic, race not reported"
csex,child sex
clivyn,child lives at another address
clivelswx,address where child spends most time
cspeakx,language spoken by child at home
cenglprg,enrolled in language program
hhtotalxx,total people in household
hhbrosx,brothers
hhsissx,sisters
hhmom,mothers
hhdad,fathers
hhauntsx,aunts
hhunclsx,uncles
hhgmasx,grandmothers
hhgpasx,grandfathers
hhcsnsx,cousins
hhprtnrsx,parent’s girlfriend/boyfriend/partner
hhorelsx,other relatives
hhonrelsx,other non-relatives
relation,relation to child
hhenglish,language spoken at home - english
hhspanish,language spoken at home - spanish
hhfrench,language spoken at home - french
hhchinese,language spoken at home - chinese
hhothlang,language spoken at home - other
p1rel,relation of first parent/guardian to child
p1sex,first parent/guardian sex
p1mrsta,first parent/guardian marital status
p1bfgf,first parent/guardian living with partner
p1frlng,first parent/guardian first language
p1speak,language spoken most often at home by first parent/guardian
p1plcbrth,first parent/guardian born in u.s.
p1agemv,age of first parent/guardian when first moved to us
p1hispan,"first parent/guardian of spanish, hispanic, or latino origin"
p1amind,first parent/guardian race - american indian or alaska native
p1asian,first parent/guardian race - asian
p1black,first parent/guardian race - black or african american
p1paci,first parent/guardian race - native hawaiian or other pacific islander
p1white,first parent/guardian race - white
p1hisprm,"first parent/guardian race - hispanic, race not reported"
p1educ,first parent/guardian highest grade level completed
p1enrl,first parent/guardian attending school
p1empl,first parent/guardian employment status
p1hrswk,first parent/guardian hours worked per week
p1lkwrk,first parent/guardian looking for work
p1mthswrk,first parent/guardian months worked
p1age,first parent/guardian age
p2guard,second parent/guardian
p2rel,relation of second parent/guardian to child
p2sex,second parent/guardian sex
p2mrsta,second parent/guardian marital status
p2bfgf,second parent/guardian living with partner
p2frlng,second parent/guardian first language
p2speak,language spoken most often at home by second parent/guardian
p2plcbrth,second parent/guardian born in u.s.
p2agemv,age of second parent/guardian when first moved to us
p2hispan,"second parent/guardian of spanish, hispanic, or latino origin"
p2amind,second parent/guardian race - american indian or alaska native
p2asian,second parent/guardian race - asian
p2black,second parent/guardian race - black or african american
p2paci,second parent/guardian race - native hawaiian or other pacific islander
p2white,second parent/guardian race - white
p2hisprm,"second parent/guardian race - hispanic, race not reported"
p2educ,second parent/guardian highest grade level completed
p2enrl,second parent/guardian attending school
p2empl,second parent/guardian employment status
p2hrswk,second parent/guardian hours worked per week
p2lkwrk,second parent/guardian looking for work
p2mthswrk,second parent/guardian months worked
p2age,second parent/guardian age
hwelftanst,received tanf in past 12 months
hwic,received wic in past 12 months
hfoodst,received food stamps in past 12 months
hmedicaid,received medicaid in past 12 months
hchip,received chip in past 12 months
hsecn8,received section 8 in past 12 months
ttlhhinc,total income
ownrnthb,own/rent house
hvintspho,internet access on a cell phone
hvintcom,internet access on a computer or tablet
chldnt,child use of internet for learning at home
lrncomp,learning activities on computer
lrntab,learning activities on tablet
lrncell,learning activities on cell phone
dsblty,d-child currently has disability
par1educ,d-educational attainment of child’s first parent or guardian
par1empl,d-work status of child’s first parent or guardian
par1ftfy,d-first parent or guardian works full time
par1marst,d-first parent or guardian marital status
par1type,d-specific relationship of first parent or guardian to child
par1fstgn,d-first parent or guardian first generation immigrant status
par2educ,d-educational attainment of child’s second parent or guardian
par2empl,d-work status of child’s second parent or guardian
par2ftfy,d-second parent or guardian works full time
par2marst,d-second parent or guardian marital status
par2type,d-specific relationship of second parent or guardian to child
par2fstgn,d-second parent or guardian first generation immigrant status
hhparn19x,d-parental structure of household
hhparn19_brd,d-household has second parent or guardian
numsibsx,d-number of child’s siblings
family19x,d-family type with parents
family19_brd,d-family type with adults
hhundr6x,d-number of children younger than age 6
hhundr10x,d-number of children younger than age 10
hhundr16x,d-number of children younger than age 16
hhundr18x,d-number of children younger than age 18
hhunid,"d-other household member, not identified"
languagex,d-english spoken most by parents
pargradex,d-parent/guardian highest education
raceeth,d-race and ethnicity of child
raceeth2,d-detailed race and ethnicity of child
intacc,d-household has internet access
anycarex,d-child participates in any nonparental care or program arrangements
anycare2x,d-child has nonparental care at least once a week
carehourx,d-total hours a week child is in nonparental care
cparrnewx,d-number of center-based programs at least once a week
mosthrsx,d-care arrangement in which the child spends the most hours per week
ncarrnewx,d-number of nonrelative arrangements at least once a week
rcarrnewx,d-number of relative care arrangements at least once a week
cenreg,d-census region where child lives
zip18po2,d-percent of families in zip code with children under 18 below the poverty line
zipblhi2,d-percent of persons in zip code who were black or hispanic
ziplocl,d-zip code classification by community type
englspanx,d-questionnaire in english or spanish
age2018,"d-child’s age as of dec 31, 2018"
modecomp,d-completed on web or paper
chage1,d-age of 1st nonsampled child
chage2,d-age of 2nd nonsampled child
chage3,d-age of 3rd nonsampled child
chage4,d-age of 4th nonsampled child
chsex1,d-sex of 1st nonsampled child
chsex2,d-sex of 2nd nonsampled child
chsex3,d-sex of 3rd nonsampled child
chsex4,d-sex of 4th nonsampled child
chenrl1,d-enrollment status of 1st nonsampled child
chenrl2,d-enrollment status of 2nd nonsampled child
chenrl3,d-enrollment status of 3rd nonsampled child
chenrl4,d-enrollment status of 4th nonsampled child
chgrd1,d-grade of 1st nonsampled child
chgrd2,d-grade of 2nd nonsampled child
chgrd3,d-grade of 3rd nonsampled child
chgrd4,d-grade of 4th nonsampled child
epsu,psu for taylor series var est
estratum,stratum for taylor series var est
fewt,final intv weight
fewt1,"final intv replicate weight, fewt1"
fewt2,"final intv replicate weight, fewt2"
fewt3,"final intv replicate weight, fewt3"
fewt4,"final intv replicate weight, fewt4"
fewt5,"final intv replicate weight, fewt5"
fewt6,"final intv replicate weight, fewt6"
fewt7,"final intv replicate weight, fewt7"
