Variable,Description
puf_id,unique puf identification number
surveyyr,survey year
version,version number
adm_h_medsta,medicare status code as of 12/31
adm_h_ghpsw,some group health participation in year
adm_h_pdrs,rds indicator for the year
adm_op_mdcd,medicare-medicaid dual eligibility
adm_dual_flag_yr,dual eligibility flag for the year
adm_ffs_flag_yr,fee-for-service flag for the year
adm_ma_flag_yr,medicare advantage flag for the year
adm_partd,part d plan flag for the year
adm_lis_flag_yr,low income subsidy indicator for the yr
adm_prem_amt_yr,premium subsidy coverage for the year
adm_h_hhasw,1+ hha visit current year (ffs)
adm_h_hossw,1+ hospice bill current yr (ffs)
adm_h_inpsw,1+ inpatient discharge current yr (ffs)
adm_h_outsw,1+ outpatient visit current yr (ffs)
adm_h_pbsw,1+ part b claim current yr (ffs)
adm_h_snfsw,1+ snf admission current yr (ffs)
adm_h_actsty,number inpatient stays current yr (ffs)
adm_h_actday,number ip covered days current yr (ffs)
adm_h_snfsty,total snf stays current yr (ffs)
adm_h_snfday,total snf covered days current yr (ffs)
adm_h_hhvis,total hha visits current yr (ffs)
adm_h_phyevt,total office visits in current yr (ffs)
ins_privrx,private plan covers rx drugs (excl. rds)
ins_privltc,private plan covers nursing home
ins_privvis,private plan covers vision
ins_privds,private plan covers dental
ins_d_madv,enrolled in medicare advantage
ins_d_privnum,one or more private plans (excl. rds)
ins_d_privnumc,number of private plans (excl. rds)
ins_d_pvesi,has employer-sponsored insurance
ins_d_pvself,has self-purchased private insurance
ins_d_rds,has retiree drug subsidy (rds)
ins_madvrxht,medicare advantage plan covers drugs
int_lang,language of interview
int_spproxy,self - respondent or proxy
dem_age,age group
dem_sex,gender
dem_race,race/ethnicity group
dem_re_age,race/ethnicity age group
dem_edu,highest grade completed
dem_marsta,marital status
dem_income,income group
dem_incsrce,source of income data
dem_armed,ever served in armed forces
dem_cbsa,metro residence designated by cbsa
dem_ipr_ind,income poverty ratio medicare threshold
acc_hctroubl,has sp had troub get needed health care?
acc_hctrbmny,"troub getting care: cost, insuff. money"
acc_hcdelay,last year ever delay in care due to cost
acc_payprob,problem paying medical bills
acc_payovrtm,medical bills being paid off over time
acc_mcqualty,satisfaction: qual of med care last year
acc_mcavail,satisfaction: medical care night/wkend
acc_mcease,satisfaction: ease get to dr from home
acc_mccosts,satisfaction: oop costs for med services
acc_mcinfo,satisfaction: info abt what was wrong
acc_mcconcrn,satisfaction: dr concern w/overall hlth
acc_mcsamloc,satisfaction: med care at same location
acc_mcspecar,satisfaction: avail care by specialists
acc_mctelans,satisfaction: phone answers for tx or rx
acc_mcworry,worry abt hlth more than others your age
acc_mcavoid,do almost anything to avoid going to dr
acc_mcsick,when sick - try keeping sickness to self
acc_mcdrsoon,usually go to dr as soon as feel bad
hlt_hysterec,hysterectomy (ever)
hlt_ocartery,hardening of arteries (ever)
hlt_ochbp,hypertension/high bp (ever)
hlt_ocmyocar,mi/heart attack (ever)
hlt_occhd,angina pectoris/chd (ever)
hlt_occfail,congestive heart failure (ever)
hlt_ochrtcnd,"other heart cond, eg valve/rhythm (ever)"
hlt_ocstroke,stroke/brain hemorrhage (ever)
hlt_occholes,high cholesterol (ever)
hlt_occskin,skin cancer (ever)
hlt_occancer,other (non-skin) cancer (ever)
hlt_ocarthrh,rheumatoid arthritis (ever)
hlt_ocosarth,osteoarthritis (ever)
hlt_ocarthot,"arthritis, other (ever)"
hlt_alzdem,ever told alzheimer's or dx of dementia
hlt_ocdeprss,depression (ever)
hlt_ocpsycho,ever told had mental disorder
hlt_ocosteop,osteoporosis/soft bones (ever)
hlt_ocbrkhip,broken hip (ever)
hlt_ocemphys,emphysema/asthma/copd (ever)
hlt_ocpparal,complete/partial paralysis (ever)
hlt_havepros,enlarged prostate/bph (ever)
hlt_ockidny,chronic kidney disease (ever)
hlt_ocbetes,diabetes/high blood sugar (ever)
hlt_ocdtype,type of diabetes diagnosed
hlt_ocdvisit,told on 2+ visits had diabetes
hlt_losturin,how often lost urine control (past year)
hlt_talkurin,talked to dr about urine control
hlt_reasurin,medical exam for urine control problem
hlt_surgurin,dr talked urine control meds/surgery
hlt_hypetold,told on 2+ visits had high bp
hlt_hypeyrs,years since 1st told of hgh bld pressure
hlt_hypehome,measures bp at home
hlt_hypemeds,takes meds for high bp
hlt_hypedrnk,reducing alcohol intake due to high bp
hlt_hypelong,how long taken meds for high bp (years)
hlt_hypecond,side effects from bp meds
hlt_hypectrl,how confident in control of bp
hlt_hypepay,difficulty paying for bp meds
hlt_hypeskip,skip/share bp meds b/c high cost
hlt_prossurg,prostate surgery (ever)
hlt_genhelth,general health compared others same age
hlt_comphlth,general health compared to one year ago
hlt_helmtact,limited social activities (past month)
hlt_bmi_cat,bmi categories (kg/m^2)
hlt_diainsul,takes insulin
hlt_diameds,takes prescribed diabetes pill/medicine
hlt_diatest,tests own blood for sugar/glucose
hlt_contgluc,uses continuous glucose monitor
hlt_diatenyr,foot exam in last year
hlt_diactrlp,blood sugar well controlled
hlt_diahypo,ever experience hypoglycemia
hlt_diamnge,had diabetes self management course
hlt_disteeth,lost all upper and lower natural teeth
hlt_disdecsn,difficulty concentrate/remember/decide
hlt_diswalk,difficulty walking/stairs
hlt_disbath,difficulty dressing/bathing
hlt_diserrnd,difficulty doing errands
