Variable,Description
typeabc,type of noninterview
typea,reason for type a
typebobs,type b by observation
rectype,record type
srvy_yr,year of the national health interview survey
hhx,randomly assigned household number unique to a household
outcome1,"outcome code--restricted to 201, 203, type a, select type b codes"
region,household region
pstrat,pseudo-stratum for public-use file variance estimation
ppsu,pseudo-psu for public-use file variance estimation
totcount,total count of chi records for this case
mode_p,number of personal visit attempts for this case
mode_t,number of telephone attempts for this case
ctstat1,number of contacts with sample unit members
ctstat2,number of contacts with non-sample unit members
ctstat3,number of noncontacts
unable1r,"number of times ""eligible person not available"" was entered"
unable2r,"number of times ""inconvenient time"" was entered"
unable3r,"number of times ""respondent is reluctant"" was entered"
unable4r,"number of times ""language problem--specify"" was entered"
unable5r,"number of times ""health problem"" was entered"
unabl99r,"number of times ""other--specify"" was entered"
lang1r,"number of times ""specify language or dialect"" was entered"
lang2r,"number of times ""no household member able to translate"" was entered"
lang3r,"number of times ""contact ro about language problem"" was entered"
lang4r,"number of times ""unable to find translator"" was entered"
lang5r,"number of times ""no time left to find translator"" was entered"
nctp01r,"number of times ""no one home/no eligible person home"" was entered"
nctpr03r,"number of times ""no one home--previous note/letter taken"" was entered"
nctpr04r,"number of times ""household does not answer door--someone is home"" entered"
nctp05r,"number of times ""observed hh from vehicle"" was entered"
nctpr07r,"number of times ""unable to reach/locked gate/buzzer entry"" was entered"
nctpr08r,"number of times ""address does not exist/unable to locate"" was entered"
nctpr09r,"number of times ""on vacation, away from home/at second home"" was entered"
nctpr10r,"number of times ""spoke with neighbor"" was entered"
nctpr11r,"number of times ""building management/doorman contact"" was entered"
nctp12r,"number of times ""completed case (type b or c or vacant interview)"" entered"
nctpr99r,"number of times ""other--specify"" was entered"
nctl01r,"number of times ""got answering machine"" was entered"
nctl02r,"number of times ""ring, no answer"" was entered"
nctel03r,"number of times ""busy signal"" was entered"
nctel04r,"number of times ""disconnected"" was entered"
nctel05r,"number of times ""wrong number"" was entered"
nctl06r,"number of times ""spoke with ineligible person"" was entered"
nctl07r,"number of times ""respondent left message"" was entered"
nctel99r,"number of times ""other-specify"" was entered"
relc01r,"number of times ""not interested"" was entered"
reluc02r,"number of times ""too busy"" was entered"
reluc03r,"number of times ""interview takes too much time"" was entered"
reluc05r,"number of times ""scheduling difficulties"" was entered"
reluc06r,"number of times ""survey is voluntary"" was entered"
reluc07r,"number of times ""privacy concerns"" was entered"
relc08r,"number of times ""local/state/fed. govt. concerns"" was entered"
relc09r,"number of times ""asks questions about the survey"" was entered"
reluc11r,"number of times ""hang-up/slams door on fr"" was entered"
reluc12r,"number of times ""hostile or threatens fr"" was entered"
relc15r,"number of times ""family issues (death, illness, etc.)"" entered"
reluc98r,"number of times ""no concerns"" was entered"
reluc99r,"number of times ""other-specify"" was entered"
strat01r,"number of times ""advance letter given"" was entered"
strat02r,"number of times ""scheduled appointment"" was entered"
strat03r,"number of times ""left note/appointment card"" was entered"
strat04r,"number of times ""left promotional packet/informational brochure"" was entered"
strat05r,"number of times ""called household"" was entered"
strat06r,"number of times ""left message on answering machine"" was entered"
strt11r,"number of times ""waited for respondent"" was entered"
strat12r,"number of times ""checked with neighbors"" was entered"
strat13r,"number of times ""contacted other family members"" was entered"
strt14r,"number of times ""contacted property manager/doorman"" was entered"
strat98r,"number of times ""no strategies"" was entered"
strat99r,"number of times ""other--specify"" was entered"
reassign,case reassignment to another interviewer (fr)
sa_tod,time of day that the sample adult section was started
sastrpnt,point in the interview period when the sample adult section was started
sc_tod,time of day that the sample child section was started
scstrpnt,point in the interview period when the sample child section was started
onefam_flg,all people in the household are in the same family
quality_sa,sa overall flag indicating the record is being removed for a quality reason
quality_sc,sc overall flag indicating the record is being removed for a quality reason
sarespsc_flg,sample adult is sample child respondent
intv_qrt,interview quarter
intv_mon,interview month
hh_pclass,household phone classification
ad_pclass,adult phone classification
wtia_pd,paradata file weight
hhc_tod,time of day that the household composition section was started
strtpnt,point in the interview period when the household composition section was
endpnt,point in the interview period when the case was finished
telcurwrk_a,house has non-cell phone
telcel_a,cell phone
phonelive_a,cell phone in hh
phoneuse_a,calls answered
rlink_a,link without ssn/medicare numbers
telcurwrk_c,landline phone
phonelive_c,working cell phone
rlink_c,link without ssn
intlangsa,language of sa interview
intrptsa,interpreter used in adult interview
otherssa,other people present during sample adult interview
intlangsc,language of sc interview
intrptsc,interpreter used in sample child interview
otherssc,other people present during sample child interview
intmodesa,sample adult section primarily conducted by phone
intmodewhysa,main reason primarily conducted by phone
intmodesc,sample child section primarily conducted by phone
intmodewhysc,main reason primarily conducted by phone
parwhy,reason interview not complete
brkreason,main reason respondent terminated interview
brkhhc,break off in household section
brksa,break off in sample adult section
brksc,break off in sample child section
ncomhhc,household section not complete
ncomsa,sample adult section not complete
ncomsc,sample child section not complete
location01,location of interview - inside respondent's home
location02,location of interview - immediately outside respondent's home
location03,location of interview - over the telephone
location04,location of interview - inside interviewer's/respondent's car
location05,location of interview - at respondent's place of work
location06,location of interview - common area of apartment
location07,location of interview - public area
location08,"location of interview - in a home of a neighbor, friend, or relative"
location09,location of interview - other location
